title,content,author,category,published_date,page_url
Let's treat persons with disability right  Director urges GHS staff,"Dr Caroline Reindorf Amissah, the Acting Deputy Director-General,
Ghana Health Service
(GHS), has advised staff of the
Ghana Health Service
to treat all clients right, with particular attention to persons with disability (PWDs).
She said there were attitudinal barriers among health workers regarding persons with disability, a situation which was wrong and needed to be worked on.
So, sometimes as health workers, we are the major culprits. We know the challenges. We are even well aware that these challenges among persons with disability are health challenges, but we are the same people that would not treat them the way that we are preaching to other people to recognise.
So, I think it is some of these negative perceptions that go far to increase or deepen the stigma that these people face or the challenges they face when they try to access healthcare, she noted.
Dr Amissah gave the advice at the commemoration of the International Day of Persons with Disability by the GHS, in partnership with the Ghana Federation of Disability Organisations, the National Council on PWDs, the World Health Organization and Sightsavers, on the theme: Building Inclusive Health Service Delivery for Social Progress.
She reiterated: Some of the barriers are our favourite  stigma and discrimination  so we refuse to acknowledge or accept persons with disabilities as part of us.
We tend to discriminate against them. When we have a crowd of patients and we want to try and see who should be seen first, I doubt disability is on our mind. We do not look there at all, she said.
The 2023 Disability Inclusive Health Landscape Review conducted by the Health Promotion Division of the Service, she said, highlighted some major barriers faced by PWDs, such as knowledge barriers  thus limited understanding of persons with disability among health staff  and lack of sign language interpreters in health facilities.
Moreover, there are financing barriers which make it difficult for PWDs to access assistive facilities.
Dr Amissah noted that the GHS had, however, developed guidelines to remove the physical, communication and attitudinal barriers to ensure that no Ghanaian was denied or discouraged from accessing health services because of his or her disability.
We have also tried to build some capacity for our staff. I must say that we have trained some frontline staff, but to me this is woefully inadequate, and we need to do more.
We have launched an e-learning course on disability inclusion, but there still remain some gaps because people do not see the importance of it.
They do not attach that importance to it. So, probably the courses are there, but people are not registering and signing on to these programmes, she lamented.
The Acting Deputy Director-General called for a budget line for disability inclusion within the Service to ensure that there were funds to support disability inclusion.
Disability inclusion, for me, is not a charity at all. We are not having mercy on anybody. We could all be disabled at any point in our lives, she added.
Dorcas Efe Mensah, a Disability Inclusion Advisor, GFD, in a speech delivered on her behalf, said health was a right and not a privilege; therefore, this years theme reminded all that the strength of the nations health system was measured not by how it served the majority, but by how it embraced those who had long been excluded.
And more importantly, we realise that in disaster scenarios, we find a number of cases that need urgent responses, but by leveraging solutions for persons with disabilities in such times of crisis, we are able to deliver at a faster and more efficient rate to ensure that no one is left behind, she added.
To single out a few of the key interventions, the disability desks and sign language integration into the nursing training institutions, she said, were more relevant due to the fact that technology failure would certainly be met with well-equipped health professionals who were able to assist in real time and prevent delay while ensuring improved efficiency to eventually save lives.
Edwin Kweku Andoh, the Executive Secretary, National Council on PWDs, said key challenges included limited accessibility in some healthcare facilities, exclusion from health policy decision-making processes, stigma and discrimination against persons with disabilities, and insufficient training for healthcare professionals on these key challenges.
He appealed for disability-inclusive health guidelines and service delivery to be strengthened and for the capacity building of staff to be enhanced on disability-inclusive care.",,Health,  7 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Let-s-treat-persons-with-disability-right-Director-urges-GHS-staff-2012542
AHF expands Global HIV programme to Ghana,"The AIDS Healthcare Foundation (AHF), the worlds largest HIV/AIDS care organisation, has announced the expansion of its global public health services to Ghana.
Dr Penninah Iutung, the Executive Vice President of the Foundation, said this at a media briefing on the sidelines of the ongoing International Conference on AIDS and STIs (ICASA ) in Accra.
She said AHF officials were already in talks with the Ministry of Health, as their Ghana programme would be built primarily through partnerships with the government, beginning with a formal Memorandum of Understanding currently under legal review.
Our entry point is always the government; this gives us the opportunity to align with national HIV priorities and strengthen existing healthcare structures, she said.
Dr Iutung said the AHF was known for rapid deployment and urgent care, saying, HIV is a matter of life and death; people can live long, healthy lives now, so we dont delay. Our value is in our speed and how fast we respond.
She said that while AHFs main model was facility-based support, the foundation may adapt community outreach strategies such as youth and key population-focused approaches in Ghana.
Dr Iutung said AHFs roots could be traced to the early days of the HIV epidemic, when no treatment was available, and patients required significant post-hospitalisation care.
With the advent of antiretroviral therapy (ART) in the 1990s, AHF was formed to deliver lifesaving treatment to people living with HIV.
She said 24 years ago, AHF began scaling globally, launching its first ART programmes in South Africa and later Uganda.
It presently operates in 50 countries and provides care to more than 2.7 million people.
Ambassador Angelina Wapakabulo, Vice Global Chair and a founding member of AHF, said the foundations Uganda Cares programme, a community clinic model set up inside some of Ugandas busiest markets, has been one of AHFs most impactful innovations.
In the early 2000s, many organisations rejected the idea of providing HIV services in informal market spaces.
People said it was impossible, markets are chaotic, vendors calling customers, no formal structures. But AHF said, This is exactly where we are needed, she said.
Madam Wapakabulo said the approach   of establishing clinics inside markets has, over the years, allowed women vendors to access HIV testing, treatment, TB care, and STI services without leaving their
stalls.
Today, the market clinic takes care of over 10,000 patients. It addresses stigma and removes access barriers for communities that cannot spend hours in hospital queues, she said.
AHF: The Worlds Largest HIV Organization, Driven by Local Leadership
Dr. Jorge Saavedra, Executive Director of AHFs Global Public Health Institute, underscored AHFs commitment to local ownership of its country programs.
He said AHFs expansion beyond HIV is driven partly by lessons from the COVID-19 pandemic and global inequities in access to vaccines and therapeutics.
He said the foundations decision to expand into Ghana was inspired by President John Dramani Mahamas strong advocacy for increased investment in public health.
Developing countries must understand that health spending is not a cost, it is an investment, Dr. Saavedra said. Adding We see Ghanas vision and want to support it.
He praised the African Unions model of continental health cooperation through the Africa CDC, describing it as a model that other regions can replicate.
The International Conference of HIV and STIs in Africa is the largest continental gathering on HIV/AIDS, STIs, TB, Malaria, and health system strengthening in Africa.
The 23rd edition is presently underway in Accra, from Dec 3-8, on the theme: ""Africa in Action: Catalysing Integrated Sustainable Responses to End AIDS, TB & Malaria.
The conference aims to foster an environment free from stigma and advance Africas progress in health.",,Health,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/AHF-expands-Global-HIV-programme-to-Ghana-2012498
Family Health University graduates 318 healthcare professionals,"Family Health University (FHU) has held its December 2025 graduation ceremony at the forecourt of the university in Accra, celebrating the achievements of 318 new healthcare professionals from its Medical School and School of Nursing and Midwifery.
The event was held under the theme Building Bridges and Raising Ladders for the Next Generation of Healthcare Providers.
Delivering the keynote address, Professor Enyonam Yao Kwawukume, Founder and Vice Chancellor of Family Health University/Hospital, applauded the graduates for their resilience, discipline, and commitment to excellence.
A total of 73 medical students graduated, with 30 receiving the Bachelor of Science in Medical Sciences for completing their pre-clinical studies and progressing to the clinical phase of their training.
The remaining 43 medical candidates completed their clinical requirements and now qualify for the Bachelor of Medicine and Bachelor of Surgery (MBChB) degree.
Prof Kwawukume noted that these young doctors are poised to contribute meaningfully to Ghanas pursuit of accessible and quality healthcare.
The School of Nursing and Midwifery presented 245 graduates, including 111 Bachelor of Science in Nursing, 64 Bachelor of Science in Midwifery, and 70 Nurse Assistant Clinical graduates.
He commended them for embracing a profession that demands not only knowledge and skill, but empathy, compassion, and dedication to service.
The vice chancellor highlighted the universitys steady growth, including the recruitment of competent faculty, expansion of lecture halls, the acquisition of additional vehicles for clinical rotations, and ongoing construction of student hostels, office spaces, and more learning facilities.
He emphasised the importance of international partnerships in strengthening research and academic exchange.
FHUs longstanding collaboration with the University of Virginia (UVA) continues to yield results, with the two institutions jointly researching adolescent sexual and reproductive health in the Greater Accra and Volta Regions.
As part of its exchange programme, FHU recently hosted 10 students and 3 faculty members from UVA, who joined FHU nursing students in Community Needs Assessment exercises in Old Ningo, focusing on continuity of care under the Expanded Programme on Immunisation.
Partnerships with the University of Michigan, including the Schweitzer Mich-Ghana Student Research Grant, were also highlighted for supporting maternal and child health research among FHU students.
Prof Kwawukume reaffirmed the universitys mission to train competent, ethical, and compassionate professionals capable of addressing real health challenges.
He called on stakeholders to continue supporting the institutions growth and community impact.
Guest of Honour, Air Commodore D A Akrong, Acting Commandant of the Kofi Annan International Peacekeeping Training Centre (KAIPTC), praised the graduates for their dedication and encouraged them to uphold the highest standards of service.
He reminded them that healthcare professionals serve as bridges between pain and healing, despair and hope, and urged them to lift others as they progress.
Air Commodore Akrong commended FHU leadership and faculty for shaping professionals grounded in humanity and leadership, and applauded families and guardians for their sacrifices.
Five exceptional graduates received top honours:
Overall Best BSc Medical Science  Bediako Felicity Akunor Dede;
Overall Best MBChB Student  Quaye Millicent;
Overall Best Nursing Graduate  Gwyn Antoinette;
Overall Best Midwifery Graduate  Kuatsenu Jessica;
Overall Best Nurse Assistant Clinical  Okoawo Osamudiamen Daisy.
The ceremony ended with congratulatory messages to all graduates as they embark on their professional journeys.
Among the dignitaries  present at the ceremony were Dr Susu Bridget Kwawukume, Founder of Family Health University and Hospital, and Chief Medical Director of the Hospital; the Chairman of Council, Brig Gen Daniel K Frimpong (Rtd); the Paramount Chief of Teshie Traditional Council, Gbetsorlor Nii Ashitey Akomfra III; the MP for Ledzokuku Krowor Municipal Assembly, Benjamin Ayiku; and Reverend Father Andrew Campbell of the Weija Leprosarium.", William Sarpong,Health,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Family-Health-University-graduates-318-healthcare-professionals-2012471
Why MoFFA has partially closed down some mortuaries in the Eastern Region,"Several mortuaries in the Eastern Region have been partially closed after failing to meet basic sanitation and safety standards, the Mortuary and Funeral Facilities Agency (MoFFA) has announced.
The update was shared on the Ministry of Healths Facebook page on Thursday, December 4, 2025.
According to the statement, The Mortuary and Funeral Facilities Agency (MoFFA) has begun a two-day enforcement exercise in the Eastern Region, targeting mortuaries operating without licences and those falling short of basic environmental and safety standards.
""The operation, which forms part of efforts to safeguard public health and the dignity of the deceased, has already led to the partial closure of several facilities.
Deaths have increased since nurses' strike began' - Mortuary Workers
The affected mortuaries include the Suhum Government Hospital Mortuary, Adom Funeral Home Mortuary, Great Consolidated Diamonds Ghana Limited (GCDGL), and the Kwahu Government Hospital Mortuary.
Others are the Agyakwa Hospital Limited Mortuary in Nkawkaw and CHAD Medical Services Mortuary in Osino.
The post further noted that Francis Ennin, Registrar of MoFFA, said the affected facilities had been given two months to rectify their shortcomings but failed to comply.
He explained that inspections focus on waste disposal, water and power supply, sanitation, PPE availability, and the proper arrangement of bodies, all aimed at protecting public health and preserving the dignity of the deceased.
We are here to ensure compliance and safeguard the welfare of Ghanaians, he emphasised, warning that all non-compliant facilities would be surcharged and monitored closely.
The exercise will continue until all operators do the right thing. We also urge mortuary owners to register with the Agency, it stated.
Public, private mortuaries to be closed down on Thursday as mortuary workers begin strike
MoFFA was established under the Health Institutions and Facilities Act 829, and is responsible for regulating, licensing, and monitoring all establishments involved in the storage, transportation, and disposal of human remains.
Read the post below:
JKB/MA
Netizens descend on Kwakye Ofosu for defending Mahamas broken promise:",,Health,  5 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Why-MoFFA-has-partially-closed-down-some-mortuaries-in-the-Eastern-Region-2012365
Ghana charges African countries to unite to end AIDS by 2030,"Professor Jane Naana Opoku-Agyeman, the Vice President, has charged African countries to bring to the fore unity, consistency, and the courage to prioritize sustainable solutions over short-term fixes to ensure the continent ends AIDS by 2030.
The next five years are the critical moment that will determine whether we can reach the 2030 target of ending AIDS as a public health threat. We know that this is Africas decisive moment. We possess the science, the knowledge,  the leadership, and the resilience.
What we need to bring to the fore are unity, consistency, and the courage to prioritize sustainable solutions over short-term fixes.
Let us advance our focus on discipline, scaling integrated sustainable responses that can end AIDS, TB, and malaria. And position Africa for long-term health resilience, she said.
The Vice President made the call at the opening of the 23rd International Conference on AIDS and STIs in Africa (ICASA 2025) held in Accra on Wednesday.
The conference, which begins on 3-8 December, is organised by the Society for AIDS in Africa (SAA) on the theme, Africa in Action: Catalysing Integrated and Resilient Health Systems for Sustainable Responses to end HIV, Other Infectious Diseases, and Emerging Threats.
She said health emergencies were testing health systems, thus the space for global solidarity, though still important, was narrowing, adding that, in such a moment, Africa must step forward with vision and leadership.
We must hold our agenda, define our priorities, and build strong, sustainable, self-reliant systems across the world. We have witnessed remarkable progress in reducing new HIV infections and AIDS-related deaths with Antiretroviral therapy saving millions of lives, the Vice President stated.
She said innovations such as HIV self-testing and long-acting injectables were driving prevention, yet the pandemic persists, and progress was uneven in Africa, facing profound disparities in access and outcomes.
According to the Vice President, while the 95-95-95 targets were within reach for many nations, others remained far behind.
In Ghana, however, around 65 per cent of people living with HIV know their status and many are receiving lifesaving treatments.
New infections have steadily declined, and community-led organizations remain the backbone of the countrys response, she said.
These notwithstanding, Africa demands sustained political, financial, and social policy as young people, especially adolescent girls and young women, account for a disproportionate share of new infections.
She said as stigma and discrimination remained barriers to testing, disclosure, and adherence, with global support shrinking, Africa must refuse to let her hard-earned
This is our chance to be bold, to rethink, redesign, and rebuild a sustainable financial foundation for the next generation of health security, she added.
The Vice President said to end AIDS by 2030, Africa must lead their own response. We must strengthen domestic finance, build regional pharmaceutical manufacturing capacity, enhance disease surveillance and laboratory systems, and empower communities and civil society organizations.
Our national approach is anchored in our broader research agenda. This is a long-term strategy to build a self-sustaining, technology-driven, data-enabled and equitable health system.
She called for sustainable and credible financing and strengthening universal health coverage as the government had unpacked the end-AIDS to expand fiscal space for essential health services.
She said it was as a result of this that the government, through the Ghana Medical Care Trust Fund, would provide support for citizens living with chronic and lifelong conditions.
This initiative, to be launched in January 2026, would guarantee access to essential services for every community, decentralizing care and removing financial barriers, Local pharmaceutical manufacturing, the Veep stated.
Dr David Pagwesese Parirenyatwa, the President of SAA and ICASA 2025, commended Ghana for its hospitality and hosting this years conference.
Speaking on the importance of the conference, he said ICASA was by Africans for Africa and charged countries to commit domestic funding to end AIDS by 20230 on the continent.
ICASA is a major, bilingual AIDS conference held exclusively in Africa, alternating biannually between Anglophone and Francophone countries.
For over 30 years, ICASA has been instrumental in mitigating the impact of HIV/AIDS, Tuberculosis, Hepatitis, and Malaria, while promoting an inclusive environment free from stigma and discrimination against people living with HIV (PLHIV) and their families.",,Health,  5 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Ghana-charges-African-countries-to-unite-to-end-AIDS-by-2030-2012347
Ashanti Regional Director of Health educates public on PrEP,"Dr Fred Adomako-Boateng, Ashanti Regional Director of Health Services, has urged the public to take advantage of Pre-Exposure Prophylaxis (PrEP), a highly effective HIV prevention method that many people are still unaware of.
PrEP is a medication that can be taken to prevent HIV transmission from a partner living with HIV and AIDS to a negative partner during sexual intercourse.
It significantly lowers ones risk of contracting HIV and is a highly effective prevention method, reducing the risk of getting HIV from sex by about 99 per cent when used as prescribed.
Speaking during a media briefing in Kumasi to mark World AIDS Day, Dr Adomako-Boateng stressed that while HIV prevention efforts had traditionally focused on abstinence, condom use, and treatment, PrEP had emerged as an additional tool that could significantly reduce new infections.
Many people do not know that PrEP exists, and even fewer know that it is available for free in several health facilities across the Ashanti region, he said.
He explained that PrEP was especially useful for people at higher risk of HIV exposure, including young men and women, discordant coupleswhere one partner is HIV positive and the other negative, key populations, and anyone who feels vulnerable.
According to him, HIV prevention had evolved, and PrEP was safe, simple, and highly effective.
Dr Adomako-Boateng highlighted the urgency of expanding prevention awareness due to the regions HIV treatment gap.
Although the Ashanti region has seen a 28.2 per cent rise in the number of clients on treatment, only 52.9 per cent of people estimated to be living with HIV are currently receiving care.
This means thousands of people either do not know their status or are not yet on medication.
To close this gap, we must strengthen both testing and prevention
and PrEP is one of the surest ways to avoid infection altogether, he stated.
He encouraged the public, especially youth and men, who often test late, to access free and confidential testing services.
Knowing ones status, he said, remained the first step in taking control of ones health, whether through early treatment or preventive options like PrEP.
Dr Adomako-Boateng also called for an end to stigma and discrimination, which continued to hinder people from testing and seeking care.
HIV is a health condition, not a moral failure, he noted, stressing that people living with HIV deserved love, respect, and dignity.
The Regional Health Directorate, he said, would continue to collaborate with traditional leaders, assembly members, faith-based groups, schools, youth organisations, and the media to increase awareness about PrEP and other HIV services.",,Health,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Ashanti-Regional-Director-of-Health-educates-public-on-PrEP-2012260
Low HIV testing rates threaten progress toward 95-95-95 targets - GAC warns,"The Acting Director-General of the Ghana AIDS Commission (GAC), Dr Prosper Akanbong, has raised concerns about Ghanas slow progress toward achieving the global 95-95-95 HIV targets.
Dr Akambo said intensified efforts to expand testing, strengthen treatment uptake, eliminate stigma and discrimination across communities were necessary.
Speaking at the launch of the 23rd International Conference on AIDS and STIs in Africa (ICASA 2025) in Accra, Dr Akanbong said the country was still far from meeting the first two UNAIDS benchmarks.
He explained that the 95-95-95 targets aim for 95 per cent of all people living with HIV to know their status, 95 per cent of those diagnosed to be on sustained treatment, and 95 per cent of those on treatment to achieve viral suppression.
Currently, only 68 per cent of people living with HIV in Ghana know their status. Of those who know their status, 69 per cent are on treatment, and 90 per cent of those on treatment have achieved viral suppression, he said.
We are doing relatively well with viral suppression, but the first two targets are nowhere near where we need to be. It is a worry, he added.
Dr Akanbong emphasised that the viral suppression, where the virus becomes undetectable in the blood, was only possible when individuals adhered to their medication.
He said: You suppress it to a point where the virus is no longer a threat to your health. At that stage, people can even safely have children. But this can only happen when people know their status and stay on treatment.
The Acting Director General attributed the low testing rates, especially among males with less than 20 per cent testing annually, to deeply rooted stigmatisation and discriminatory attitudes.
Ghanas HIV stigma index stands at 72 per cent, one of the highest in the sub-region, saying, People still fear sitting in the same room with someone living with HIV. Many prefer to seek help first from pastors or alternative healers instead of health facilities. These behaviours limit testing and prevent early treatment.
To address these challenges, the GAC is expanding access to HIV self-testing kits across the country through Antiretroviral Therapy Centres (ARTCs) and partnerships with the Youth Employment Agency.
About 5,000 young volunteers have been trained to serve as HIV self-testing ambassadors.
You can walk into any ARTC and request a self-test kit. You will be counselled and guided on how to use it. The aim is to bring testing closer to people and remove the fear of visiting hospitals, Dr Akanbong explained.
Dr Fiona Braka, World Health Organisation (WHO) Country Representative, urged African governments to invest in integrated health systems and ensure permanent budget allocations for HIV responses.
Our path to 2030 is short and challenging, but clear. We must unite in the fight against AIDS, TB, and malaria under the umbrella of universal health coverage.
Dr Braka urged the media and civil society organisations to support and serve as watchdogs, holding all stakeholders accountable.
The 23rd ICASA Conference, organised by the Society for AIDS in Africa (SAA), is on the theme: Africa in Action: Catalysing Integrated and Resilient Health Systems for Sustainable Responses to End HIV, Other Infectious Diseases and Emerging Threats.
The conference, which is being hosted in Ghana for the first time from
December 38 would convene about 3,000 delegates from 85 countries.",,Health,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Low-HIV-testing-rates-threaten-progress-toward-95-95-95-targets-GAC-warns-2012259
Gov't strengthens measures to improve basic healthcare systems - Sanaa,"The Deputy Chief Executive of the Youth Employment Agency (YEA), Abdul Sanaa, says the government is working to strengthen measures to help improve basic healthcare systems across the country.
He said the government was putting in place sustainable policies that would make healthcare easily accessible to every Ghanaian.
He was speaking at the passing-out of 427 Community Medical First Responders (CMFR) trained at the Paramedics and Emergency Care training School, at Nkenkaasu in the Offinso north district.
The participants received intensive training in human anatomy, airway management, psychology, and first aid management, among others.
Mr Saanu said the YEA, through its policy initiatives, was implementing pragmatic measures to create opportunities for more youth to be engaged in basic health care delivery and other areas that would help improve the basic living conditions of Ghanaians.
He said the government was reviewing the allowances paid to YEA beneficiaries and ensuring prompt payment.
This, he said, would motivate them to deliver effectively and be dedicated to duty.
Dr George Owusu, CEO of the National Ambulance Service (NAS), said the Service was partnering with YEA to provide the Responders with the skills needed to enable them to discharge their duties effectively.
Nana Dwamena Akenten, Paramount Chief of the Offinso traditional area, commended the government for helping to sustain the YEA policy
He called on the government to place some of them on highways and accident-prone areas to help reduce road accidents and their related deaths.",,Health,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Gov-t-strengthens-measures-to-improve-basic-healthcare-systems-Sanaa-2012256
Ghana not meeting HIV targets despite declining new infections - Prof Opoku-Agyemang,"The Vice President, Professor
Naana Jane Opoku-Agyemang
, says that although global progress toward the 95-95-95 HIV targets is encouraging, Ghana continues to lag in several key areas.
Speaking at the 23rd International Conference on AIDS and STIs in Accra on Thursday, December 4, 2025, she noted that while many countries are close to ensuring that 95 percent of people living with HIV know their status, receive sustained treatment and achieve viral suppression, the figures in Ghana show a significant gap, with only about 65 percent of people living with HIV currently aware of their status.
Over 45% of people living with HIV in Ashanti not on treatment
""While the 95, 95, 95 targets are within reach for many nations, others remain far behind in Ghana. Around 65% of people living with HIV know their status, and many are receiving life-saving treatment.
New infections have steadily declined, and community-led organizations remain the backbone of our response"", Prof Opoku-Agyemang noted.
The vice president said persons living with HIV in Africa continue to face challenges in accessing healthcare.
https://www.ghanaweb.com/GhanaHomePage/NewsArchive/The-biggest-hitch-in-HIV-fight-is-the-stop-work-order-from-US-government-GHANET-1980965
""Africa, home to over two-thirds of the global HIV burden, continues to face profound disparities in access and outcomes. While the 95, 95, 95 targets are within reach for many nations, others remain far behind in Ghana"", she added.
The UNAIDS 95-95-95 global target adopted by Member States in June 2021 requires countries to ensure that 95 per cent of people living with HIV are diagnosed, 95 per cent of those diagnosed are receiving antiretroviral therapy (ART), and 95 per cent of those on ART achieve viral suppression (VLS) by 2025.
JKB/SEA
Netizens descend on Kwakye Ofosu for defending Mahama's 'broken promise':",,Health,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Ghana-not-meeting-HIV-targets-despite-declining-new-infections-Prof-Opoku-Agyemang-2012221
"Govt receives GH42m midwifery equipment, family planning supplies from UNFPA","The Deputy Minister of Health and Member of Parliament for Essikado-Ketan, Professor Grace Ayensu-Danquah, has received a significant consignment of midwifery training equipment under the Midwifery Education and Practice Centers of Excellence Programme (MEPCEP), aimed at strengthening competency-based training for student midwives across the country.
At a brief handover ceremony in Accra, Prof Ayensu-Danquah described the support as timely, noting that it aligns with Ghanas ongoing reforms to improve the standards of midwifery training and maternal health services.
This support comes at a time when we are working to improve the standards of midwifery training across the country. It will go a long way in strengthening the practical competencies of our students, she said.
The Deputy Minister expressed gratitude to the United Nations Population Fund (UNFPA) for its continued commitment to maternal and newborn health in Ghana, describing the partnership as invaluable.
She emphasised that building a strong midwifery workforce begins with access to quality learning tools and well-resourced training environments.
We expect that these resources will be used solely for teaching and skills training. Proper records must be maintained to ensure accountability, she added, urging heads of training institutions to safeguard the equipment and ensure its impact is sustained over time.
Delivering remarks on behalf of the UNFPA, its Country Representative, Dr Wilfred Ochan, announced that the agency had provided midwifery training equipment valued at GH2 million, alongside family planning commodities worth GH40 million, which are supplied to the Government of Ghana annually.
He described the donation not merely as a transfer of assets, but as an investment in the hands that will bring lives into the world, stressing the critical role midwives play in maternal health outcomes.
Evidence shows that a well-trained and well-supported midwife can provide up to 90% of essential reproductive, maternal, and newborn health services, Dr Ochan stated.
With midwives conducting about 70% of all deliveries in Ghana, he noted that practical, simulation-based training remains essential to reducing preventable maternal deaths. The donated items include anatomical models, simulation tools, and essential clinical equipment designed to bridge the gap between theory and real-life practice.
UNFPA currently procures 40% of Ghanas national contraceptive requirements, with USAID previously supplying another 45%. However, he warned that USAIDs withdrawal from contraceptive procurement has created a major supply gap that could worsen the countrys 33% unmet need for family planning.
He appealed to the Government of Ghana to scale up its co-financing commitments under the UNFPA Supplies Partnership to help close the gap.
#TrendingGH: Extension of IGP's contract draws praise and criticism
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Health,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/health/Gov-t-receives-GH-42m-midwifery-equipment-family-planning-supplies-from-UNFPA-2012189
