title,content,author,category,published_date,page_url
Increasing human rights abuse and criminalisation of speech under present regime worrying - Dr Zaato,"Political analyst Dr George Jebuntie Zaato has expressed concern over the recent increasing spate of arrests of citizens by state investigative institutions under the new Mahama administration.
Since the assumption of the second Mahama administration, EOCO and the Office of the Special Prosecutor (OSP) have been in the news over the detention of several members of the erstwhile government and for demanding bail conditions, which have been roundly condemned.
The latest was the surprise detention of Lawyer Martin Kpebu last week by the OSP, and a demand for landed property as a condition for his bail.
Speaking on the issue on TV3's Big Issues yesterday, Dr Zaato condemned the arrest of Martin Kpebu and expressed worry over the abuse of the rights of citizens under a government which is claiming to be more democratic than the previous government, which he said did not abuse the rights of citizens for speaking their mind.
""Martin Kpebu said worse things about Akufo-Addo and Bawumia but he was never arrested. Nobody touched him,"" Dr. Zaato said.
""Then all of a sudden under a so-called liberalised regime, under the so-called new freedom  we are told that the Akufo-Addo regime was repressive and we are told that we are in a second independence  and under the new liberalised regime, Martin Kpebu cannot express his mind without the state arresting him.""
Martin Kpebu detained by OSP
Dr Zaato said Kissi Agyebeng, like those in charge of EOCO who have also been abusing the rights of citizens, were state officers acting in the name of the state under the present regime.
""Kissi Agyebeng was not acting in his personal capacity. He was acting as an agent of the state.""
""What the OSP is doing is not different from what EOCO has done. They have all done that. How do you take somebody in and then you say landed property? Where is Martin Kpebu going? I'm not a lawyer but I'm just asking, where is Martin Kpebu going?""
Dr Zaato added that if without the new cyber security law, which the Mahama government has proposed, the likes of Martin Kpebu and Paul Adom-Otchere could be arrested and their rights abused, he wondered what would be the fate of citizens and their rights to free speech if the cyber security law, which has been condemned as seeking to restrict free speech, is passed.
""My point is that both Martin and Paul are victims of a state that is increasingly criminalising speech. And all this is happening before the new cyber law or whatever is yet to come. Imagine for a minute if that law passes.""
Watch the promo to GhanaWeb's latest documentary, which uncovers the evolution of kayamata,' an exploitative practice fueled by love charms and manipulation, titled, The Dark Side of Kayamata,' below:
Netizens descend on Kwakye Ofosu for defending Mahamas broken promise:
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics,  7 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Dr-Zaato-warns-of-rising-human-rights-abuses-under-current-regime-2012540
Is OSP's office unconstitutional? - Kofi Bentil weighs in,"The Vice President of Imani Africa, Kofi Bentil, has stated that the Office of the Special Prosecutor (OSP) is not unconstitutional.
Speaking on TV3's Keypoints on Saturday, December 6, 2025, he emphasised that although it is not unconstitutional, its powers are limited.
The Office of Special Prosecutor has no constitutional basis' - Speaker Bagbin
The OSP is not unconstitutional. It is specific for anti-corruption issues and related matters. They are given some police powers, not plenary powers. They didnt have any jurisdiction to arrest Martin Kpebu. Absolutely zero.
It is Martins right as a citizen to say whatever he wants to say to anybody, without due respect from President Mahama down to any public office holder. If offended, sue him for defamation, Bentil said.
He recalled the historical context of the OSPs creation.
It really got into gear around President Kufuors time We got the search charge and disallowance, we got RTI, we got all kinds of things done. But the Attorney General had consistently failed for almost a century,"" he noted.
On the recent invitation of private legal practitioner Martin Kpebu, Bentil said he was only invited voluntarily to provide information.
He has no charge. He is invited to assist the OSP in the investigation. No man has a responsibility to assist the state institution, but if you want to help, fine. That is voluntary,"" he remarked.
Martin Kpebu drops bombshell on Kissi Agyebeng's OSP appointment
He further questioned claims that Kpebu was obstructing justice.
What was he obstructing? And if he was obstructing, is that within the rules, the powers of the OSP to deal with that? he asked.
Watch the video below:
Bentils comments follow Kpebus recent invitation to the OSP, which sparked public debate over the offices jurisdiction.
@tv3gh_official
OSP vs Kpebu: The OSP has no jurisdiction to arrest Lawyer Martin Kpebu. If you don't have the skin to hear criticism from citizens, don't take public office. - VP IMANI Africa, Kofi Bentil to the OSP #TheKeyPoints #TV3GH
 original sound  - TV3 Ghana
JKB/EB
Netizens descend on Kwakye Ofosu for defending Mahamas broken promise:",,Politics,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Is-OSP-s-office-unconstitutional-Kofi-Bentil-weighs-in-2012486
Fearmongers Online: Stop or we will come after you - Muntaka tells citizens,"Individuals who use online platforms to spread fear and panic have been warned by the Minister of Interior, Mohammed Muntaka Mubarak, that security agencies now have the tools to track and apprehend them.
He issued the caution on December 5, 2025, in Ho, during the inauguration of the Volta Regional Command of the National Signals Bureau (NSB), where he joined President John Dramani Mahama to commission the new facility.
Highlighting the expanded regional presence of the NSB, Muntaka said it had strengthened national security operations.
Interior minister condemns attacks on security personnel, urges professional conduct
He noted that following the opening of the Eastern Regional Office in Koforidua in September, additional offices in Sunyani and Techiman are set to serve the Bono and Bono East regions. By the end of the year, four more regional commands are expected to be operational, bringing intelligence support closer to local communities and enhancing coordination among security agencies.
The new Volta Regional Command is equipped with advanced surveillance systems, analytical tools, and real-time data equipment. The facility will act as a hub for intelligence gathering and speed up security responses across the region.
Muntaka called on the Ghana Police Service, Ghana National Fire Service, Ghana Immigration Service, and Ghana Prisons Service to collaborate closely with the NSB, emphasising that security challenges cannot be handled by a single agency.
To our citizens who use technology online and other means to create panic and fear, the time for you to stop is here. And I can assure you, we will come after you. You will have to stop or we will come after you. Now we have what it takes to track you, to observe what you are doing, to trace you wherever you are hiding, he said.
He reassured the public that the upgraded systems are not meant to intrude on private lives.
This facility is not to spy on you. It is to make sure every citizen goes about his or her duty without watching his or her back, he stated.
Meanwhile, watch some videos from the NPP's 2025 Constitution Amendment
AK/AM",,Politics,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Fearmongers-Online-Stop-or-we-will-come-after-you-Muntaka-tells-citizens-2012441
What did Nana Konadu do to deserve this 'low-class' funeral?  Adomako Baafi asks,"Former Communications Director of the
New Patriotic Party
(NPP), Yaw Adomako Baafi, has accused the
National Democratic Congress
(NDC) of failing to honour the late former First Lady,
Nana Konadu Agyeman-Rawlings
properly, despite her significant contributions to the party founded by her husband, the late former President Jerry John Rawlings.
Nana Konadu Agyeman-Rawlings
, wife of the late former President Rawlings, was given a state burial on November 28, 2025.
However, speaking in an interview on Movement TV on December 5, 2025, Adomako Baafi criticised what he described as a low-class funeral held for the late former First Lady.
According to him, the publicity surrounding the funeral was so minimal that many Ghanaians were still unaware that she had been buried.
See Konadu Agyeman-Rawlings funeral. Till date, people dont even know that she is dead and has been buried. What the NDC has done to the woman is painful. If there is life after death she would think twice. They didnt even do posters for the funeral, he lamented.
He further compared the situation to preparations for the burial of highlife legend Daddy Lumba, noting the number of posters and billboards already circulating even before his funeral.
Look at Lumba, his funeral is not even up yet but look at the number of posters and billboards in town. But
Nana Konadu Agyeman-Rawlings
did not get that publicity.
Adomako Baafi also contrasted her funeral with that of her late husband, which he said received massive support from the state during the tenure of former President Nana Addo Dankwa Akufo-Addo.
Compare her funeral to that of her late husband when Akufo-Addo was President, the kind of honour they gave him. So, what wrong did she do? If nothing at all, the Greater Accra NDC could have mobilised members to attend. The low-class funeral they did for her was painful. So wicked. Even her own child is part of the NDC.
Nana Konadu Agyeman-Rawlings
makes final journey home
Ghana on Friday, November 28, 2025, laid to rest one of its illustrious daughters,
Nana Konadu Agyeman-Rawlings
, the countrys longest-serving First Lady.
Despite the solemn atmosphere at the State Funeral held at Independence Square in Accra, there were moments of humour that briefly lifted the spirits of mourners.
AM
#TrendingGH: Extension of IGP's contract draws praise and criticism
Watch some videos from the NPPs 2025 Constitution Amendment
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/What-did-Nana-Konadu-do-to-deserve-this-low-class-funeral-Adomako-Baafi-asks-2012431
'Wontumi is financially struggling; MTN even reverses MoMo sent to him'  Yandoh alleges,"The
New Patriotic Party
(NPP) Ashanti Regional Communications Director, Paul Kwabena Yandoh, has alleged that the Ashanti Regional Chairman of the NPP, Bernard Antwi Boasiako, popularly known as Chairman Wontumi, is facing severe hardships due to his ongoing trial with the state.
According to Paul Yandoh, Chairman Wontumis mobile money (MoMo) number has been blocked by the government as part of actions linked to his trial.
He explained that Wontumis financial situation has become extremely challenging, alleging that the chairman is currently suffering financially.
Yandoh further claimed that he has personally attempted to assist Wontumi through mobile money transfers.
However, anytime money is sent, the service provider, MTN, allegedly reverses the funds back into his account a situation he described as worrying.
Speaking on Kumasi-based Ezra FM, in an interview that has since been shared on social media, he stated, When you send the money, MTN sends it back. His account has been frozen and MTN will tell you not to send money into that account.
So, Wontumi has been deprived a lot. Now, if he will talk, its only through WhatsApp. They even want to take his number from him.
Meanwhile, Chairman Wontumi is currently being prosecuted by the state for allegedly engaging in illegal mining (galamsey) activities.
In the first case, the state has charged the Ashanti Regional Chairman, his company Akonta Mining Limited, and the companys director, Kwame Antwi, with six criminal offences.
'Trial yet to commence' - Wontumis lawyer dismisses claims of 15-year jail sentence
The charge sheet indicates that Wontumi and the other accused persons face three counts of assigning mineral rights without the necessary approval and three counts of facilitating an unlicensed mining operation.
In the second case, Wontumi and four other accused persons Edward Akuoko, Owusu Bempah, and Kwame Antwi (Director of Akonta Mining Limited, who is currently at large) have been charged with seven criminal offences related to alleged illegal mining activities in the Tano Nimri Forest Reserve.
The state has since dropped charges against Edward Akuoko after he agreed to serve as a prosecution witness.
AM
#TrendingGH: Extension of IGP's contract draws praise and criticism
Watch some videos from the NPPs 2025 Constitution Amendment
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Wontumi-is-financially-struggling-MTN-even-reverses-MoMo-sent-to-him-Yandoh-alleges-2012429
"Haruna, Ablakwa in serious 'fight' over NDC 2028 running mate slot  Adom-Otchere alleges","Former Board Chairman of the Ghana Airports Company Limited (GACL) and host of Good Evening Ghana, Paul Adom-Otchere, has alleged an ongoing rift between the Minister of Education,
Haruna Iddrisu
and the Minister of Foreign Affairs,
Samuel Okudzeto Ablakwa
.
According to him, the tension stems from internal competition for the 2028
National Democratic Congress
(NDC) vice-presidential slot.
Speaking on his Good Evening Ghana programme on December 3, 2025, Adom-Otchere said both ministers have recently taken contradictory public positions on the debate over student hairstyle regulations an issue he claims reflects deeper political rivalry rather than mere policy differences.
Adom-Otchere said Ablakwas recent public disagreement with
Haruna Iddrisu
over students hairstyle in Senior High Schools breached government communication discipline, adding that such contradictions between cabinet members should not occur.
The broadcaster asserted that the real source of tension is the race to become the NDCs running mate in the 2028 general election.
The tussle for VP in NDC. That's what they are fighting about. That is the fight. Both of them want to be the next Vice President if the NDC were to win 2028. And both of them want to be Vice President for the same presidential candidates, he said.
He claimed that both ministers aspire to partner the current Vice President, Prof Jane Naana Opoku-Agyemang, should the party choose her as its presidential candidate in 2028.
Adom-Otchere explained that Ablakwa enjoys a longstanding political relationship with Prof Opoku-Agyemang dating back to her days as Minister for Education under the then former President John Dramani Mahama, where Ablakwa served as her deputy.
Haruna Iddrisu
, on the other hand, is said to be positioning himself based on his own political stature and influence within the party.
He further suggested that leading NDC figures including former National Chairman Samuel Ofosu-Ampofo and former Health Minister Alex Segbefia are key actors in the partys internal alignment in favour of Prof Opoku-Agyemang.
According to Adom-Otchere, the Vice Presidents camp sees Ablakwa as a strong bridge to the Volta Region, a strategic electoral bloc in NDC politics.
He argued that, both Iddrisu and Ablakwa have begun positioning themselves early for the 2028 contest.
AM
#TrendingGH: Extension of IGP's contract draws praise and criticism
Watch some videos from the NPPs 2025 Constitution Amendment
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Haruna-Ablakwa-in-serious-fight-over-NDC-2028-running-mate-slot-Adom-Otchere-alleges-2012428
'Mahama appointing Lordina as EC chair would be better than Jean Mensa'  NPP's Masawudu,"The competence of
Electoral Commission
Chairperson Jean Mensa and her deputies have been downplayed by the Third National Vice Chairman of the opposition
New Patriotic Party
(NPP), Osman Masawudu.
Speaking on Top TV, Masawudu said he would prefer a scenario in which the NDC administration led by President
John Dramani Mahama
appoints his wife, Lordina Mahama, as EC Chairperson, rather than have Jean Mensa and her deputies remain in office.
He also took aim at the Special Prosecutor, Kissi Agyebeng, saying if there were a term stronger than incompetence, it should be used to describe him.
Presidency forwards petitions for removal of EC Chair, Deputies & Special Prosecutor to Chief Justice
If
John Dramani Mahama
appoints his wife Lordina Mahama as the next EC boss in Ghana, its better than Jean Mensa being seen as the EC boss, he said.
President
John Dramani Mahama
has so far received ten petitions seeking the removal of two heads of public institutions and two deputies appointed under Article 70 of the Constitution.
The petitions target officials at the
Electoral Commission
(EC) and the Office of the Special Prosecutor (SP).
Seven petitions have been filed against EC Chairperson Jean Mensa and her two deputies, Dr Bossman Eric Asare, responsible for Corporate Services, and Samuel Tettey, in charge of Operations.
Three more petitions seek the removal of Special Prosecutor Kissi Agyebeng.
All petitions have been forwarded to the Chief Justice, Justice Paul Baffoe-Bonnie.
Article 70(2) of the Constitution states: The President shall, acting on the advice of the Council of State, appoint the Chairman, Deputy Chairmen and other members of the
Electoral Commission
.
Watch the video below:
@omanpatv
I would gladly welcome President Mahama appointing Lordina Mahama as EC Chair rather than Jean Mensa  Chairman Masawudu
#omanpatv
#goviralvideo
#fyp
#fyp
#fypage
 original sound - OMANPA TV
Meanwhile, watch some videos from the NPP's 2025 Constitution Amendment
AK/AM",,Politics,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Mahama-appointing-Lordina-as-EC-chair-would-be-better-than-Jean-Mensa-NPP-s-Masawudu-2012426
2024 Kpandai NDC PC seeks contempt action against EC chair Jean Mensa,"The National Democratic Congress (NDC) Parliamentary Candidate for Kpandai in the 2024 general election, Daniel Nsala Wakpal, has filed a motion at the Tamale High Court seeking to have the Chairperson of the
Electoral Commission
(EC), Jean Mensa, cited for contempt.
According to court documents filed by his lawyers, the EC Chair allegedly failed to comply with a High Court order issued on 24 November 2025, which directed the Commission to conduct a fresh parliamentary election in Kpandai within 30 days.
The application states that the EC Chair was officially served with the order on 25 November 2025 but has shown no sign of implementing the directive.
By the conduct of the respondent, it is clear that she has no intention to abide by the court order dated 24 November 2025, the affidavit supporting the motion reads.
The affidavit further argues that willful disobedience of a lawful court directive constitutes contempt of court.
The EC chairs refusal to abide by the order of the court... is contemptuous of this Honourable Court, it stated, adding that the conduct interferes with the administration of justice.
The motion therefore prays the High Court to convict the EC Chair for contempt over what Wakpal describes as an obvious disregard of the courts ruling.
On 24 November 2025, Justice Emmanuel Brew Plange of the Tamale High Court ordered a fresh parliamentary election in Kpandai within 30 days after ruling on a petition filed by Wakpal challenging the results of the 2024 parliamentary election.
The petition centred on alleged irregularities during voting and result collation, targeting 41 out of 152 polling stations, where discrepancies were said to compromise the integrity of the final outcome.
Wakpal, who served as MP in the eighth parliament, argued that the 7 December 2024 election breached Regulations 39 and 43 of the Public Elections Regulations, 2020 (CI 127).
He sought an annulment of the disputed polling station results and a rerun.
The court upheld his petition, nullifying the contested results and directing the EC to conduct a fresh election to determine the duly elected MP for the constituency.
The ruling overturned the declared victory of the New Patriotic Partys (NPP) Matthew Nyindam.",,Politics,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/2024-Kpandai-NDC-PC-seeks-contempt-action-against-EC-chair-Jean-Mensa-2012422
Rule of law must apply to all - Abu Jinapor challenges Majority over OSP scrutiny,"A former Minister of Lands and Natural Resources and Member of
Parliament
for Damongo, Samuel Abdulai Jinapor, has launched a blistering challenge at the Majority Caucus, urging them to stop posturing and boldly repeal the Office of the Special Prosecutor (OSP) Act if they truly believe the institution is unconstitutional.
Speaking on the floor of
Parliament
on Thursday, December 4, 2025, Jinapor recalled that the current Majority Leaderthen Member of
Parliament
for Bawkuvehemently opposed the establishment of the OSP in the previous
Parliament
.
He argued that it is therefore inconsistent for the same figure to now raise constitutional questions about an office he had opposed from the beginning.
According to him, he has long articulated the national importance and rationale behind the establishment of the OSP, yet members of the Majority still persist in questioning its constitutionality.
He added that the Speakers own concerns regarding the budget allocation to the OSPciting non-performancefurther fuel the renewed debate over the existence of the institution.
Quoting the former Minister, he said: Mr Speaker, they have the Majority  and the Super Majority. Whats happening in this country? You just made the point about allocations to the OSP and the issue of reset.
""Too much talking; the country needs action. If you think the OSP is not fit for purpose, repeal it. You call yourselves Super Majority and call us micro minority, but we believe we are a mighty minority. What are you waiting forone year down the road?
Jinapor also expressed worry over what he described as the selective application of Ghanas laws, pointing to individuals who have endured severe bail conditions while others appear cushioned when they fall foul of the law.
Kpebu drops bombshell on Kissi Agyebengs OSP appointment
He referenced several cases: Mr Speaker, you spoke about how we enact the laws and how they are applied. Look at how Chairman Wontumi had to spend months in custody because the bail conditions were too much.
""Today, Osei Assibey is still in custody because he cannot meet the conditions. I recall what happened to Paul Adom-Otchere. But now that the law has caught up with one of their own, suddenly the OSP is being questioned?
Background
The Minority has consistently maintained that the renewed attention and heightened criticism from the Majority regarding the OSP is directly linked to recent developments involving the institution, particularly its altercation and subsequent arrest of one of their own, Martin Kpebu.
'The Office of Special Prosecutor has no constitutional basis' - Speaker Bagbin
According to the Minority, the sudden scrutiny is not driven by principle but by political discomfortfurther fueling their belief that the Majoritys posture is a reactionary attempt to shield allies.
Meanwhile, watch some videos from the NPP's 2025 Constitution Amendment",,Politics,  5 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Rule-of-law-must-apply-to-all-Abu-Jinapor-challenges-Majority-over-OSP-scrutiny-2012349
Bawumia's favorability rate increases as NPP primaries near - Global InfoAnalytics,"With less than two months for the NPP to go to the polls to elect its 2028 presidential candidate, former Vice President, Dr Mahamudu Bawumia is on course to be retained by members of the NPP as Flagbearer, Global Info Analytics have reported.
In a detailed breakdown and analysis of its latest survey yesterday, the Executive Director of Global InfoAnalytics, Mussa Dankwah said the favorability rate of Dr Bawumia, among NPP delegates, had risen from the last period of survey, while those of the other contenders had declined.
Dankwah explained that questions were posed to respondents about how favorable they saw each candidate - a process used to measure the popularity of the candidates as the election nears.
According to Global InfoAnalytics, Dr Bawumia had 91% favorability rate in the last period of survey, and with the election getting closer, his favorability rate has gone up by 1% to 92% - a situation he described as positive.
""It tells you something here. When your favorability is increasing, it means you are going to translate that into vote. If it is reducing, it means you're going to lose to votes,"" explained Mussa Dankwah.
From Mussa Dankwah's analysis, the latest survey will be concerning to Kennedy Agyapong and the other contenders, as their favorability rate dropped.
Kennedy Agyapong dropped 5% from 88% to 83%, which means he's losing votes, while Bryan Acheampong also dropped from 83% to 81%. Osei Adutwum maintained his favorability rate of 77% while Kwabena Adjei Agyepong dropped 4 points from 76% to 72%.
On the general outlook, the Global InfoAnalytics noted that Bawumia is way ahead with 43%, while Kennedy Agyapong follows with 18%. The rest are Bryan Acheampong at 5%, while Yaw Osei Adutwum and Kwabena Adjei Agyepong are at near zero.
However, as much as 34% of delegates were either undecided or unwilling to disclose their votes, thus presenting the candidates to battle for the 34% at stake.
With Bawumia at 43%, he will require less than one third of the 34% undisclosed and undecided votes to cross the 50% plus 1 margin to win.
Bawumia Stretches Lead In New Social Media Poll
Meanwhile in a separate survey conducted only on social media among NPP supporters, the Global InfoAnalytics reported that Bawumia has increased his votes from the last poll in September, while his closest contender, Kennedy Agyapong has declined.
""For the NPP race according to the social media edition of the poll among NPP voters, DMB (Bawumia) extends his lead from 56% in September to 75% in December 2025 poll. Kennedy Agyapong saw a sharp drop from 40% to 18%, Dr Yaw Osei Adutwum also recorded a decline from 3% to 1%, Dr Bryan Acheampong rose from 1% to 5% and Kwabena Agyepong also from 0% to 1%.",,Politics,  5 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Bawumia-s-favorability-rate-increases-as-NPP-primaries-near-Global-InfoAnalytics-2012345
