title,content,author,category,published_date,page_url
Ghana is a talk show country  Bokpin,"Economist Professor Godfred Bokpin has delivered a sharp critique of public discourse that is not grounded in data.He argues that national conversations are too often driven by emotion rather than evidence, underscoring the need to prioritize data in terms of its use, accessibility and relevance to policy making.He stressed that putting data at the centre of discussions is essential for sound economic decision-making.Professor Godfred Bokpin made these remarks during a panel discussion at the 2025 Annual Forum for Data Producers, Users and Enhancers.“As an academic, I put more emphasis on data than gold because I can do without gold. Countries have managed the affairs without gold deposits. I will choose data over gold. I will choose data over oil. I will choose data over every input because without data, nothing gets done. That is how important data is,” he said.He added that the Ghana Statistical Service generates a significant amount of data that remains underutilized, calling for stronger efforts to harness it for economic planning and business decision-making.“There is so much data that is harvested in this country by the Ghana Statistical Service. Sometimes we think that Ghana Statistical Service exists only to give a GDP number. They do so much, so much. But the question is, in our daily life, how often do we rely on data? How data-driven are we? This country is a talk show country. Forgive me.”“The reason this country is a talk show country is that a lot of our discussions across the media platform is not driven by data. If we were driven by data as a country, there would be less disagreement in our discussions on media platforms, and there would be less emotion, and probably less fight. You understand that? Because the data is what it is,” Professor Bokpin remarked.He said once data is placed at the centre of national dialogue, arguments can be made dispassionately, irrespective of where one falls on the political divide, creating a healthier environment for policy making and economic reforms.“If we are doing well, the data says so, it doesn’t matter which party you belong to. So inflation has come down to 6.3%. You don’t need a prophet to tell you this is it and the implication because this is what it is. So sometimes our dogmatism and all of that is magnified because we are less driven by data. Sometimes you see people making arguments driven by emotions. The reason that is happening is because they have not looked at the data. What is the data saying? I think that we are at a point where we can elevate data in terms of its usage, accessibility, and we need to put data at the forefront of national discussion. This way, Ghana will be able to make meaningful progress,” Professor Bokpin mentioned.Tags: BokpinDataGhana News",Daniel Sackitey,,"December 9, 2025",https://citinewsroom.com/2025/12/ghana-is-a-talk-show-country-bokpin/
Analysts back Fitch forecast; project 3.5% policy rate cut,"Market watchers are increasingly aligning with Fitch Solutions’ projection of a sharp reduction in the Monetary Policy Rate (MPR) at the Bank of Ghana’s next Monetary Policy Committee meeting in January 2026, forecasting a substantial 350-basis-point cut that would lower the rate from 18% to 14.5%.Their expectations follow continued improvements in key macroeconomic indicators.November inflation dropped to 6.3%, while the Ghana Reference Rate (GRR) for December stands at 15.93%. Lending rates, averaging between 21% and 22%, remain significantly above inflation, prompting calls for a decisive policy adjustment to realign the interest-rate environment with current price stability.Finance and Tax Analyst Nelson Cudjoe Kuagbedzi tells Citi Business News that the prevailing economic data provides enough room for the central bank to ease its monetary stance more aggressively.“For November, inflation was 6.3 percent, policy rate was at 18 percent, the Ghana Reference Rate is around 15.93 percent, and lending rates hover between 21 and 22 percent. Clearly, there is a huge gap between inflation and the policy rate.We expect the MPC to cut the rate by about 350 basis points to 14.50 percent. Once this happens, lending rates should decline, allowing for credit expansion to the private sector, which needs cheaper funds for growth and sustainable job creation.”Players say a steeper rate cut could stimulate borrowing, support private-sector investment, and sustain Ghana’s economic recovery momentum as inflation stabilises.Tags: FitchGhana NewsPolicy rate cut",Daniel Oduro-Mensah,,"December 9, 2025",https://citinewsroom.com/2025/12/analysts-back-fitch-forecast-project-3-5-policy-rate-cut/
Pressure mounts on government to direct TOR Levy Funds toward refinery revamp,"Pressure is mounting on government to channel part of proceeds from the Tema Oil Refinery Recovery Levy into retooling and supporting the refinery as plans to revive the facility gather momentum.TOR’s long-delayed turnaround has in recent months shown signs of progress after years of operating far below capacity, leaving the country reliant on imported refined products.The call underscores growing industry expectations that a successful revamp of the Tema Oil Refinery (TOR) could strengthen the downstream petroleum sector.Executive Secretary of the Chamber of Petroleum Consumers, Duncan Amoah in an interview with Citi Business News said sustained investment will be critical to ensuring the refinery can operate efficiently and meet long-term market needs once it resumes full activity.“TOR would need investment. So whatever they do there today, if we don’t pump in the appropriate investment, we would simply be waiting on them to fail so that we come back to blame them. You cannot finance cargoes with TOR books currently. They are in huge deficits or debts.“We would expect that the TOR recovery levy that we have collected over the years, the finance ministry will be magnanimous to apply part of it to their operations, retool them, get them some $80 million revolving funds so that at least they are assured of bringing in at least two, three cargoes so as to sustain their operations. If we don’t give them an opportunity to finance, I mean, their refining activities, we will simply be waiting on them to do whatever they can do for two, three months and the plant will go down again and then we will spend money again to maintain and then bring it back on. I think that the finance ministry, the energy ministry should take it very seriously because we are all watching,” Duncan Amoah stated.He has also called for policy reforms that would guarantee a consistent allocation of domestically produced crude oil to the Tema Oil Refinery for processing.“You cannot continue to produce oil and then ship everything out of your country only to go and bring back refined products from Europe. It’s not good enough. So petroleum agreements, I agree. We need to be very strategic with them as a country. Don’t sign off everything because somebody is bringing in an investment and say that they do their liftings and when it’s your lifting, they also do it and bring you money when your hydrocarbons can equally be processed down here. But again, it will boil down to what kind of strategy we have for the refinery. If it is our thinking that we want the refinery to sustain itself, then we would also find the need to provide them sustainable crude cargoes so that they can at least keep in operation,” Duncan Amoah added.Tags: COPECGhana NewsTOR",Daniel Sackitey,,"December 9, 2025",https://citinewsroom.com/2025/12/pressure-mounts-on-government-to-direct-tor-levy-funds-toward-refinery-revamp/
Tariff hikes disrespectful and unjustified  TUC,"Dr Ken Tweneboa Kodua, Vice Chair of the Trades Union Congress (TUC), has condemned the Public Utilities Regulatory Commission (PURC) for announcing electricity and water tariff increases without exhausting negotiations with organised labour.Speaking on Eyewitness News on Monday, December 8, Dr Kodua described the process as incomplete and disrespectful, revealing that the TUC had been working to establish a fair and realistic tariff structure for its members and that the decision taken by the PURC must be questioned.He further stressed that the premature announcement of tariffs undermines the collaborative efforts between PURC and TUC, noting that such unilateral decisions could erode trust and compromise future engagement between the regulatory body and organised labour.“The process and the procedure were not exhaustive. We were as a team trying to come up with a fair, realistic tariff that we could even explain to our members. That process was truncated, and this tariff was announced.“That is not respectful and not in the best interest of fairness in our partnership with PURC. PURC, in its own wisdom, started engagement processes with TUC, and why they halted and chose to announce these tariffs without exhausting the process must be answered,” he stated.In response to the announcement, organised labour has called for a suspension of the 9.86% increase in electricity tariffs and the 15.92% hike in water tariffs, scheduled to take effect from January 1, 2026.Labour also pledged to resist any tariff increase that could negate the gains from the planned 2026 wage rise unless the government adjusts the proposed 9% wage increase to offset the additional burden on workers.Tags: Ghana NewsPURCTariffTUCTweneboa Kodua",Patricia Boakye,,"December 8, 2025",https://citinewsroom.com/2025/12/tariff-hikes-disrespectful-and-unjustified-tuc/
IMANI files RTI request seeking full disclosure on SIM registration plan,"Policy think tank IMANI Africa has filed a Right to Information (RTI) request demanding full disclosure on the government’s proposed nationwide SIM registration exercise, expected to commence in early 2026.The request, submitted on Monday, December 8, 2025, to the Ministry of Communications, Digital Technology, and Innovations, seeks details on the legal framework, technical design, procurement processes, and data protection safeguards underpinning the initiative. IMANI said the request was formally received by the Minister’s secretary.In its submission, IMANI requested information on the legal instruments authorising the new SIM registration regime, the technical and biometric verification architecture to be deployed, procurement records and vendor selection processes, as well as institutional oversight arrangements.The think tank also demanded clarity on data protection and privacy safeguards for Ghanaians whose information would be captured.IMANI cited growing public concern over the cost, governance and transparency of the planned exercise, particularly regarding the involvement of private vendors and the handling of citizens’ biometric data.The RTI request invokes Article 21(1)(f) of the 1992 Constitution and the Right to Information Act, 2019 (Act 989), which guarantees the public’s right to access information held by public institutions.According to IMANI, the request is aimed at promoting accountability and ensuring that the SIM registration exercise is conducted in the public interest, with adequate legal, technical and privacy protections in place.Click here to read the request by IMANI Africa…..Explore the world of impactful news with CitiNewsroom on WhatsApp!Click on the link to join the Citi Newsroom channel for curated, meaningful stories tailored just for YOU:
https://whatsapp.com/channel/0029VaCYzPRAYlUPudDDe53xNo spam, just the stories that truly matter! #StayInformed #CitiNewsroom #CNRDigitalTags: Ghana NewsIMANI AfricaRTISIM registration",Leticia Osei,,"December 8, 2025",https://citinewsroom.com/2025/12/imani-files-rti-request-seeking-full-disclosure-on-sim-registration-plan/
Telecel champions the next wave of Innovators at Tech in Ghana 2025,"The Director of External Affairs at Telecel Ghana, Komla Buami, has advocated for a new era of collaboration and investment in young innovators as the country positions itself for a digital future.Speaking at the 2025 Tech in Ghana conference on the theme: ‘When Tradition Meets Innovation’ held at the Manhyia Palace, Mr. Buami shared the telecommunications giant’s sustained investment in nurturing young talents, supporting tech startups, and championing partnerships that accelerate the growth of the country’s digital economy.Addressing an audience that included chiefs, policy makers, captains of industry, entrepreneurs and key figures in the tech ecosystem, he described Ghana’s next digital leap as contingent on bold investment in the next generation of thinkers and makers.“Connectivity alone isn’t enough. We must invest in the next wave of thinkers and innovators. We must be intentional about building a constant talent pipeline to lead the digital revolution,” he said, urging industry leaders to overcome the trap of working in silos that has often hindered collaboration in the sector.Telecel Ghana has already demonstrated this commitment through initiatives like the DigiTech Academy, which has trained about 2,000 upper primary and junior high school students across 13 regions in robotics, coding, artificial intelligence, the Internet of Things, and digital marketing.Through DigiTech, many young graduates have been equipped to build prototypes of smart home systems, automated farm harvesters, and web applications addressing challenges such as malnutrition and mental health.“Ghana is not short of talent; we’ve simply not been asking our young people to dream big enough and not given them the tools and enabling environment to lead the digital revolution. That should change now,” Mr. Buami said.He also shared the telco’s efforts to address gender disparity in engineering through its Female Engineering Students Scholarship Programme (FESSP), which has trained more than 100 female engineers by providing mentorship, financial support, and practical work experience.Telecel has recently reinforced its commitment to digital skills development by partnering with the Ghana One Million Coders initiative, offering free access to its Startocode platform for 100,000 young people. The platform provides courses in Python, web development, data analytics, and digital entrepreneurship, with a particular focus on empowering female learners.Beyond talent development, Telecel has played a leading role in strengthening Africa’s startup ecosystem. Through the Africa Startup Initiative Programme, Telecel Group has supported more than 40 startups, provided more than $750,000 in benefits, and helped create nearly 4,000 jobs, with about 70 per cent of these startups being women-led.Mr Buami also stressed the importance of collaboration across sectors, arguing that innovation cannot happen in isolation. He urged tech founders to work with traditional industries, AI innovators, government, content creators and universities to grow the tech industry inclusively. “Innovation doesn’t happen in compartments. Across the world, collaboration is leading innovation. Open-source ecosystems are winning. Cross-sector partnerships are winning. And Ghana must win this way too,” he said.Positioning itself as a long-term partner in Ghana’s digital journey, Telecel has pledged to continue investing in connectivity infrastructure, mentoring young innovators, and supporting the broader tech ecosystem to ensure Ghana’s digital revolution is inclusive and sustainable.Tech in Ghana: Royal Edition 2025 is the 16th edition of the national tech conference, and the first ever to be held in the Ashanti Region under the patronage of Asantehene, Otumfuo Osei Tutu II.  The conference brought together startups, investors, government representatives, and tech enthusiasts from the diaspora to explore how sectors like agriculture, education, manufacturing and fintech are being transformed by technology.Tags: Ghana NewsTelecel",Juliana Odame Asare,,"December 8, 2025",https://citinewsroom.com/2025/12/telecel-champions-the-next-wave-of-innovators-at-tech-in-ghana-2025/
Minority slams govt over tariff hikes; demands immediate withdrawal,"The Minority in Parliament has slammed the government’s recent utility tariff increases, calling for the immediate withdrawal of what they describe as punitive and unjustified hikes that will worsen the economic conditions of Ghanaians.This comes in response to the recent announcement by the Public Utilities Regulatory Commission (PURC), which approved a 9.86 percent increase in electricity tariffs and a 15.92 percent rise in water tariffs effective January 1, 2026, as part of its multi-year review from 2026 to 2030.The Commission said the adjustments were necessary to support investment needs, account for inflation and exchange rate movements, and ensure utility providers remain competitive.But the Minority insists the government must prioritise fixing systemic inefficiencies rather than passing the cost on to consumers.They argue that recovering the millions lost annually to power losses would significantly reduce the need for tariff adjustments. The caucus maintains that Ghanaians cannot withstand further increases and that immediate reversal is the only responsible action.Addressing journalists in Accra on Monday December 8, George Kwame Aboagye, Ranking Member on the Energy Committee and MP for Asene Manso Akroso, warned that the cumulative 28.14 percent rise in electricity tariffs within a short period was unacceptable, especially at a time when the country continues to record persistent commercial and technical power losses totaling 32 percent.According to him, the government’s decision to impose fresh tariff hikes despite these inefficiencies amounts to “a direct assault on the livelihoods of ordinary Ghanaians and the survival of businesses,” stressing that the administration had chosen“ the lazy path of shifting its failures onto already suffering consumers.”Aboagye argued that the increases would erode the recently approved 9 percent weight adjustment for 2026 and push more households into what he described as “utility poverty,” leaving families unable to afford basic electricity.He cautioned that small and medium-scale enterprises, which form the backbone of the economy, would face collapse under the burden of rising operational costs.“These tariff hikes are not reforms—they are punishments,” he said. “They are not solutions. They are symptoms of failed leadership and poor policy choices. We call on the government to halt these incessant increases. The Minority stands with Ghanaian workers, households, small businesses, and industries struggling to survive. These tariff hikes must be reversed immediately.”Referring to the country’s energy performance, Aboagye questioned why large-scale losses continue despite stable demand levels.He explained that Ghana’s current peak demand of 4080 megawatts and an average demand of about 3500 megawatts highlight the scale of inefficiencies.“If you deduct 30 percent losses—12 percent technical and 20 percent commercial—you can see the magnitude of money lost. We are losing about 80 to 90 million dollars,” he noted. “Tell me, can’t we use this money to offload whatever cost or debt we have? Every time we talk about losses, but it seems nobody is taking serious account of them. When you say review, review can be downward or upward, so why not downward?”Read alsoInterior Ministry probes alleged assassination attempts on OSP BossTags: ElectricityGhanaGhana NewsGovernmentheadlinemajorityMinorityNDCNPPPURCWater",Abigail Arthur,,"December 8, 2025",https://citinewsroom.com/2025/12/minority-slams-govt-over-tariff-hikes-demands-immediate-withdrawal/
Gold Fields Dr Catherine Kuupol Kuutor named Mining Personality of the Year,"Dr Catherine Kuupol Kuutor of Gold Fields Ghana Ltd has been crowned Mining Personality of the Year at the 11th Ghana Mining Industry Awards (GMIA), becoming the first woman to receive the industry’s top individual honour.The ceremony, organised by the Ghana Chamber of Mines and held in Accra on Friday (5 December), celebrated excellence under the theme “Celebrating Excellence in Mining: Creating Value Beyond Minerals.”The awards highlighted achievements in safety, innovation, technology, gender inclusion, community development, and responsible mining.Dr. Kuupol Kuutor, Manager of the Tarkwa Mine, has been widely recognised for breaking barriers and demonstrating transformative leadership in Ghana’s mining sector.She was earlier honoured in February 2025 by Mining Review Africa as one of the African Mining Elites, receiving their Most Outstanding Leader award — another first for a woman leading a major mine in Ghana.A career of firstsAppointed Tarkwa Mine Manager in May 2024, Catherine became the first woman to lead a major mine in Ghana. Prior to this, she served as Gold Fields’ first female Metallurgical Manager, overseeing metallurgical operations at both the Tarkwa and Damang mines.She joined the Damang Mine in 2013 as a superintendent and rose steadily through the ranks, earning promotion to Unit Manager in 2015. Her leadership drove several successful business improvement initiatives that significantly increased gold recovery.Advocate for women in miningDr. Kuupol Kuutor is widely celebrated for her role in empowering young professionals, particularly women pursuing careers in mining and mineral engineering.She sponsors two annual academic prizes at the University of Mines and Technology (UMaT) for outstanding mineral engineering students — one for the overall best student and another for the best female student.She is active in professional bodies, including the Ghana Institution of Engineers, Women in Mining Ghana, Ladies in Mining and Allied Professions, and the West Africa Institute of Mining.Academic and professional excellenceCatherine holds a PhD in Minerals Engineering from UMaT. Her doctoral thesis examined the “Effect of Grinding Balls Quality on Mining Expenditure, Pulp Chemistry and Reagents Consumption.”She also holds a Master’s degree in Mineral Engineering from UMaT and began her academic journey with a Diploma in Mineral Engineering at the KNUST School of Mines in 2002.Her two-decade career began at Golden Star’s Wassa Mine in 2004, where she gained extensive experience in metallurgical operations, including roles as shift supervisor, senior plant shift supervisor and CyanideManagement Code coordinator.Over the years, she has received multiple recognitions from the Ghana Chamber of Mines and Gold Fields leadership, including being named Female Mining Professional of the Year at the 2020 GMIA.With over 20 years of experience in gold mining, Dr. Kuupol Kuutor is celebrated as a symbol of resilience, excellence and the rising influence of women in Ghana’s mining industry.Her win at the 2025 GMIA marks a historic milestone and reinforces her reputation as one of the most influential figures shaping the future of mining in Ghana.Tags: Dr Catherine Kuupol KuutorGhana NewsGold Fields",Juliana Odame Asare,,"December 8, 2025",https://citinewsroom.com/2025/12/gold-fields-dr-catherine-kuupol-kuutor-named-mining-personality-of-the-year/
T-bills oversubscribed by 38% as investor confidence surges,"Investor confidence in Ghana’s short-term debt market surged this week, with treasury bills recording a 38.14% oversubscription in the latest auction.According to latest data from the Bank of Ghana, investors submitted a total of GH¢8.01 billion in bids across the 91-day, 182-day, and 364-day bills – far exceeding the government’s GH¢5.80 billion target.Ultimately, the Treasury accepted GH¢6.95 billion, signalling continued strong appetite for risk-free government securities amid shifting market conditions.The 91-day bill once again led demand, attracting GH¢4.90 billion in tenders, of which GH¢4.09 billion was accepted.The 182-day bill followed with GH¢2.09 billion in bids and GH¢1.85 billion accepted.The 364-day bill maintained its steady performance, pulling in GH¢1.01 billion, out of which GH¢1.00 billion was taken up.On the yield curve, short-term rates showed mixed movements. The 91-day bill edged up by 3 basis points to 11.08%, reflecting slight tightening in liquidity conditions.The 182-day bill also climbed sharply to 12.55% from 12.43% the previous week. In contrast, the 364-day bill saw its yield moderate to 12.70%, down from 13.08%, suggesting a softening of investor expectations on the longer end of the T-bill spectrum.With momentum still strong, the Treasury is now targeting GH¢6.94 billion in its next auction across the three maturities.Tags: Ghana NewsTreasury bills",Daniel Sackitey,,"December 8, 2025",https://citinewsroom.com/2025/12/t-bills-oversubscribed-by-38-as-investor-confidence-surges/
Ghanas improving macro outlook should boost all sectors  Fidelity Bank MD,"The Managing Director of Fidelity Bank Ghana, Julian Opuni, has outlined a compelling case for investment in Ghana’s rebounding economy. In an interview with the Global Investor, a premier publication distributed at high-level summits across the world, Mr. Opuni provided a detailed roadmap for investors looking to navigate Ghana’s financial landscape in 2025.With Ghana’s GDP projected to rise, Mr. Opuni emphasized that the timing is right for strategic capital deployment. “Ghana’s improving macroeconomic outlook should drive progress across sectors, fostering stronger conditions for investment and business growth,” Mr. Opuni stated in the interview.He pinpointed four critical growth engines for the coming year: SMEs, agriculture, sustainable extractives, and regional trade.Mr. Opuni highlighted the pivotal role of small businesses, noting that “SMEs form the backbone of Ghana’s economy, contributing to employment, innovation, and local value.” He detailed Fidelity Bank’s active role in this ecosystem, citing strategic investments and partnerships with the Mastercard Foundation and Proxtera.These collaborations, he explained, “have enabled better access to capital and technical support for high-potential businesses, offering scalable and diversified opportunities for investors.”On the agricultural front, Mr. Opuni was bullish on the potential of agri-processing. “We view this sector as essential to food security, job creation, and foreign exchange generation,” he said.“Agriculture, especially horticulture and agri-processing, holds major potential. Our work with FAGE, the Export Club, and initiatives like Bridge in Agric, which has disbursed over GHS 145 million, is helping to formalise and grow the sector,” he said. He noted that government programmes such as Feed Ghana are making the space more structured and attractive to investors.Addressing the rapid digitization of Ghana’s financial sector, Mr. Opuni described how Fidelity Bank is leveraging technology not just for efficiency, but for deeper inclusion.“At Fidelity Bank, digital innovation drives both internal transformation and external growth; key pillars of a future-ready institution,” he told Global Investor. “We’re using automation to streamline operations, reduce costs, and improve speed,” he said.“Upgrades to our Mobile App and USSD platforms, plus innovations like Kukua, our WhatsApp banking assistant, have led to higher transaction volumes and stronger customer engagement.”He further elaborated on the bank’s collaborative approach with fintechs to solve the problem of credit access for the underserved market. “We’re also co-developing tools with fintechs that go beyond traditional banking, like cash-flow-based lending and behavioral credit scoring,” Opuni explained.“This digital ecosystem is unlocking new opportunities for embedded finance and data-driven innovation.”With global capital increasingly seeking sustainable avenues, Mr. Opuni framed Fidelity’s ESG strategy as a core business driver rather than a peripheral activity.“Fidelity’s sustainability strategy is built around three pillars: Sustainable Finance, Sustainable Operations, and CSR,” he outlined. He highlighted agriculture, renewable energy, and youth-led enterprises as high-potential segments. He then pointed to the bank’s GreenTech Innovation Challenge and the Fidelity Young Entrepreneurs initiative as a prime example of how the bank supports ventures that are “scalable and aligned with both commercial and impact investor goals.”He closed by reinforcing Fidelity Bank’s role as a long-term partner to Ghana’s growth sectors. “In all these areas, Fidelity acts not just as a financier but as a partner, connecting SMEs with advisory support, technical expertise, and blended capital,” he noted.Tags: Fidelity BankGhana NewsJulian OpuniMacroeconomic outlook",Citi Newsroom,,"December 8, 2025",https://citinewsroom.com/2025/12/ghanas-improving-macro-outlook-should-boost-all-sectors-fidelity-bank-md/
