title,content,author,category,published_date,page_url
"Road crashes aren't linked with wizardry, but driver errors - DVLA manager","The Bono Regional Manager of the Driver Vehicle and Licensing Authority (DVLA), George Okyere, says it is unproven that road crashes that happen during the Christmas and other festive seasons are linked to wizardry.
He emphasised that human error of driver negligence and carelessness had been identified as some of the major causes of the road crashes in the yuletide season and called on especially commercial drivers to always remain patient and avoid mad rushing for passengers.
Speaking in an interview with the media at Abesim, near Sunyani, Okyere advised drivers to always check their tyres, brakes, and lighting systems, as well as do regular maintenance of their
vehicles.
He emphasised that road safety remained a collective responsibility and urged everybody to contribute towards ensuring a crash-free Christmas, calling on drivers to reduce speeding and avoid wrongful overtaking.
Okyere also urged drivers to observe road signs strictly, and called on commuters to always wear their seat belts, asking pedestrians and motorists to be extra cautious when using the road in the season.",,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Road-crashes-aren-t-linked-with-wizardry-but-driver-errors-DVLA-manager-2012787
Galamsey Fight: NAIMOS set to deploy fifty officers to Western Region,"The National Anti-Illegal Mining Operations Secretariat (NAIMOS) is set to deploy the first batch of 50 officers to help intensify the fight against illegal mining (galamsey) activities in the Western Region.
They would be stationed across three areas, namely, Ahanta West, and Wassa Amenfi East municipalities, and Ellembelle District, and would also supervise the operations of the other assemblies.
Lieutenant Colonel (Lt Col) Joshua Satekla, Deputy Director of Operations at NAIMOS, said this during a stakeholders engagement with Metropolitan, Municipal, and District Chief Executives (MMDCEs) and two Regional Police Commanders in the Western Region, at Sekondi.
The meeting was to brief participants on the Secretariats role in combating the galamsey and seek the support from the MMDCEs for the first set of officers scheduled for deployment to the region.
Lt Col Satekla stated that the mandate given to the NAIMOS by the government was vital in ensuring that water bodies and forest reserves were protected from destruction by galamsey, adding that they could only achieve that with the support of all stakeholders.
He said: We are not in to stop mining, but we are there to stop illegal mining and people mining some key priority areas, so there is a need for us to work together to ensure a sustainable environment for all.
He, however, mentioned interference from politicians, chiefs, and
other influential individuals as a major obstacle in the fight against illegal mining.
Lt Col Satekla said inadequate logistics was a problem hindering them from effectively delivering on their mandates.
Our two key challenges are interference from influential people, and we have that from the politicians, chiefs, and other key stakeholders in the various areas where we have worked.
And the other one is logistics, which are big problems that we need
to discuss, he stated.
Lt Col Satekla, therefore, called for the full support of the local assemblies, stressing that a collective effort was essential in combating illegal mining in the country.
The MMDCEs took turns to express their support and work with the NAIMOS to help fight the galamsey menace in their respective areas.",,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Galamsey-Fight-NAIMOS-set-to-deploy-fifty-officers-to-Western-Region-2012786
47-year-old Akwasi Nyame named Obuasi Easts Best Farmer,"A 47-year-old commercial driver, Akwasi Nyame, from Nyamesomyede in the Obuasi East Municipality, has been adjudged Municipal Best Farmer at the 41st National Farmers Day Celebration, held under the theme Feed Ghana, Eat Ghana, Secure the Future.
The colourful ceremony took place at Kwabenakwa in the Obuasi East Municipality. The announcement of his win was met with a brief stunned silence before the crowd erupted into loud, joyous applause.
Nyame, who has spent years navigating Obuasis dusty roads in his well-worn trotro, also navigates another demanding pathrising at dawn and working until dusk to manage his thriving, diversified 50-acre farm.
He cultivates 3 acres of maize, 15 acres of cassava, 20 acres of cocoa, 15 acres of oil palm, 5 acres of plantain, 1 acre of cocoyam, 4 acres of citrus, and 4 acres of vegetables, supplying tomatoes, pepper, and garden eggs to local markets. His farming operations also include piggery, poultry, and a productive snail pen.
For his outstanding performance, Nyame received a tricycle (Aboboyaa), 65-inch LED TV, cutlasses, a box of sulphonate, knapsack sprayer, 12 yards of GTP cloth, seed planter, a Certificate of Merit, and several other prizesall sponsored by AngloGold Ashanti Obuasi Mine.
In his remarks, the Best Farmer called for unity and the strengthening of the Obuasi East Farmers Cooperative Union.
Let us come together. When we pool our voices, government will hear us. When we pool our resources, we can access better inputs, storage, and transportation. Our strength is in our unity, he urged.
MP Encourages Youth to Embrace Farming
Addressing the enthusiastic gathering, Hon. Dr. Patrick Boakye Yiadom, Member of Parliament for Obuasi East, encouraged the youth to venture into agriculture, emphasizing its potential to improve livelihoods and contribute to national development.
He described agriculture as a lucrative venture, citing the governments Feed Ghana Programme, which aims to strengthen food security and reduce reliance on imports. He noted that many prominent Ghanaiansincluding politicians and former ministersare engaged in large-scale farming, challenging the perception that farming is a last resort for the poor.
MCE Calls for a Collective Commitment to Food Security
In his keynote address, the Municipal Chief Executive, Hon. William Kofi Adzowu, applauded the resilience of farmers in the municipality, commending their tireless contributions to food production for both industrial and household consumption.
Speaking on this years theme, he described it as a call to action, urging all residents to embrace modern agriculture through backyard farming, aquaculture, and poultry production. He noted that agriculture employs roughly 9% of the municipal population.
Touching on the governments flagship programme, Nkoko Nketenkete, the MCE announced that the Assembly is expected to receive 10,000 birds for distribution to 200 beneficiaries.
He further highlighted President John Dramani Mahamas commitment to strengthening the poultry sector through the construction of an integrated poultry industry, designed to ensure an end-to-end value chain where no poultry product goes to waste.
Adzowu encouraged the public to consciously promote and consume local produce, stating:
This is not just about food; it is about pride in our local economy, our culture, and our identity as Ghanaians.
Agric Department Strengthening Support to Farmers
The District Director of Agriculture, Osei Yaw, revealed that with support from the Plant Protection and Regulatory Services Directorate of MoFA, 17 maize farmers received insecticides to help fight the Fall Armyworm threat.
He added that under the Climate Resilient Oil Palm Project (CROPP)financed by AngloGold Ashanti Ghana26 farmers received 176 bags of NPK fertilizer along with training in oil palm production.
He encouraged this years award winners to aspire to regional and national recognition in subsequent years.
Other Winners
Amo Simon of Domeabra and Emmanuel Adjei of Gyimiso won the 2nd and 3rd prizes respectively. In all, 13 farmers were honoured during the ceremony. Among the dignitaries present was the former Municipal Chief Executive Faustina Amissah.", Felicia Manu,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/47-year-old-Akwasi-Nyame-named-Obuasi-East-s-Best-Farmer-2012776
Over 200 Dormaa farmers set to thrive under Nkokonkenkete initiative,"Joseph Addae Akwaboa, the Bono Regional Minister, has said that Dormaa Central, Dormaa East, and Dormaa West districts have been selected in the region to pilot the Nkokonketenkete project aimed at strengthening and increasing poultry production and reducing imports.
According to the minister, the government Under the project will supply farmers with four-week-old birds to raise and sell.
The Minister made this known during this year's National Farmers Day held in the Region at Amasu in the Dormaa Municipality. Over 200 farmers, he said, will be supported annually in every constituency.
He added that Veterinary and animal health services were being enhanced, reducing disease outbreaks through improved surveillance and vaccination coverage.
He assured that the region takes pride in Dormaa Ahenkro being a poultry hub, and continues to lead in livestock production, and as a driver of the local economic development.
In the Agriculture sector, the Minister said the region was making great strides and would continue to lead in agricultural development.
Per available statistics, we remain one of the top producers of maize,
cashew, plantain, eggs, and poultry in the country. Under the 2025 district agricultural performance review, Bono Region achieved a 12% increase in maize yields and 9% growth in rice production due to improved seed distribution and extension services, he said.
He noted that the youth in the region were responding positively to the call for youth in agriculture.
In an effort to promote youth in agriculture, the Minister said the Mahama-led government has reintroduced School Farms at all levels of education.
The purpose is to inculcate the passion of farming in the youth and change their misconception about the ecosystem of agriculture.
In this regard, a total number of 42 educational Institutions across the region have been involved, including 2 Colleges of Education, 21 Senior High Schools, 3 Vocational/Technical Schools, 8 Junior High Schools, and 7 Basic Schools.
Each institution will be provided with inputs to cultivate maize, vegetables, and livestock for their own consumption.
Accordingly, a total number of fertilisers has been received for distribution to these schools for the next year's farming season.
Istiqamah SHS at Wenchi was adjudged the Best SHS in Practical Agriculture. This is sad, to motivate them to continue in such commendable efforts and encourage others to follow.
Touching on government policy on the Agriculture sector, the Minister said the government has established Farmer Service Centres for extension service delivery. These are areas where farmers will access extension services and receive supplies for inputs.
I wish to put on record that out of 50 piloted service centres nationwide, the Bono region had 3 to be situated at Wenchi, Sampa, and Wamfie,"" he said
On this year's 41st National Farmers ' Day theme, Feed Ghana, Eat Ghana and Secure the Future, the Minister called on Ghanaians to recommit to eating food produced in Ghana to promote and prioritise local food consumption, such as rice, maize, plantain, yams, cashew, vegetables, and poultry.
""Increased local consumption stimulates production, strengthens value chains, and protects the cedi. A strong taste for consuming foreign foods injects large sums of money into the home economies of such imports to the disadvantage of our own economy, he noted.
On Agriculture modernisation, Akwaboa said it was imperative for farmers to embrace modern technology and scale down the traditional practices of farming to increase production to meet local consumption and for export.
""Embracing Modern Technology includes the use of drones for spraying, digital extension platforms, and climate-smart practices. These are no longer optional but essential for sustaining productivity, he advised.
The Bono Minister also called for the collective pursuit of youth participation in the agriculture agenda and assured them of the government's willingness to continue to support young farmers through training, access to land, mechanisation, and agribusiness financing.
He stressed that this would strengthen partnerships and collaboration between government, private investors, farmer groups, traditional authorities, and development partners to scale up innovations and investments in agriculture for the holistic development of the agriculture sector.
The Minister noted that the Bono region remains Ghanas leading cashew producer, contributing nearly 45% of national output. And to improve tree crop production, the government has rolled out Boosting the Tree Crop
Sector initiative to enhance tree crop production.
Accordingly, the Tree Crop Development Authority (TCDA) continues to provide support for cashew, mango, coconut, and shea value chains.", Imoro T Ayibani,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Over-200-Dormaa-farmers-set-to-thrive-under-Nkokonkenkete-initiative-2012770
Accra Mayor launches GHC 50K Education Fund for farmers' kids,"The Mayor of Accra, Michael Kpakpo Allotey, has launched a special Education Support Fund for the children of farmers and fishermen in the metropolis.
The fund has been established with an initial seed amount of GHC 50,000.
This total comprises a GHC 30,000 contribution from the Mayor and a GHC 20,000 donation from the Member of Parliament for the Odododiodioo Constituency, Alfred Nii Kotey Ashie.
The initiative sought to, among other things, recognise the critical role farmers and fishermen play in national development and ensure that their children have access to scholarships and other educational support.
Mayor Allotey launched the intervention at the 41st edition of the National Farmers and Fishers Day celebration held at the forecourt of the Accra Metropolitan Assembly (AMA) on Friday, organised in collaboration with the Ministry of Food and Agriculture.
The Mayor said the fund would provide targeted assistance to wards of farmers and fishermen so that no child would be denied an education because of their parents occupation or income level
He explained that the initiative was also intended to make farming and fishing more attractive to the younger generation by demonstrating that these occupations could secure a dignified future for families.
Speaking to journalists after the launch, the Mayor said the initiative complemented the broader support farmers were receiving from the government under the leadership of President John Dramani Mahama, adding that the AMA was aligning itself with this vision by providing targeted assistance to their children.
The Mayor linked the new fund to his wider youth agenda, which focuses on entrepreneurship and job creation.
He cited the example of a young man who recently approached him for GHS 6,000 to start a liquid soap business, and who later returned the capital after successfully producing, selling and making a profit from the venture.
He stated that such experiences had convinced him that with modest but well-targeted support, many more young people could start their own businesses, create jobs, and contribute to the local economy.
Mayor Allotey urged the youth to develop viable business ideas, assuring them that the AMA was ready to support initiatives that would benefit the city and its residents.
The Mayor pointed out that the new education support fund and the youth empowerment drive formed part of a broader strategy to promote dignity in work, expand opportunity and ensure that no child was left behind because their parents were farmers or fishermen.",,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Accra-Mayor-launches-GHC-50K-Education-Fund-for-farmers-kids-2012768
Sekondi-Takoradi shines at 2025 hair and grooming impact awards,"Sekondi-Takoradi emerged as a beacon of creative enterprise last week as the city hosted the landmark Hair and Grooming Impact Awards 2025, alongside a spirited Inter-Association Cooking Competition.
The events ignited unity and celebration across the regions beauty and service industries.
Organized by Big Brand Ghana under the leadership of its Chief Executive Officer, Elwoode A. Mantey, the twin events spotlighted the artistry, resilience, and economic potential of local hairdressers, barbers, plaiters, makeup artists, and beauty entrepreneurs.
The main awards gala was held on Friday, November 28, 2025, at Akroma Plaza in Takoradi, where 24 excellence awards were presented through a hybrid model of public voting and expert judging.
Top Winners Celebrated
In a historic double victory, Dorcas Otchere was crowned both Hairdresser of the Year and Make-up Artist of the Year, affirming her exceptional versatility and client devotion.
Rebecca Benle received the prestigious Hair Plaiter of the Year award and was also recognized as Beauty Influencer and Content Creator, highlighting her influence both in the salon and online.
Together, these trailblazers exemplify the innovation, skill, and digital fluency driving Ghanas modern beauty economy.
Full List of Award Recipients
Other distinguished winners included:
Nail Technician of the Year: IC Beauty Klinik
Best Haircut of the Year: Sharons Parlour
Best Bridal Hair Stylist: Genevieve Yamoah
Best Natural Hair Stylist: Dorcas Otchere
Most Creative Hairdresser: Eunice Ainoo
Young CEO of the Year: Cherrys Palace
Best Bridal Make-up Artist: Rita Mensah
Best Client Service of the Year: Rosemond Odoi
Salon of the Year: IC Beauty Klinik
Best Bridal Plaiter: Mamanash Enterprise
Braider of the Year: Dorothy Debbah
Hairstylist of the Year: Nicobet Beauty Saloon
Best Hairdresser Apprentice: Fatima Issifu
Best Traditional Hair Artistry: Eunice Ainoo
Most Innovative Plaiting Technique: Celestina Mensah
Entrepreneur of the Year: Rosemond Odoi
CEO of the Year: Rita Mensah
Apprentice and Emerging Talent Award: Barbering Shop
Sustainable and Impact Leadership Award: Leticia Ottoo
Artistry Specialist Award: Portia Esi Mills
Sustainable Salon Spa: J and T Beauty Salon
Distinguished Guests Honor the Sector
The ceremony was graced by Lawyer F. F. Faidoo, Mayor of the Sekondi-Takoradi Metropolitan Assembly, who attended at the directive of Western Regional Minister Hon. Joseph Nelson. Also in attendance was  Nana Efua Nsanaa I, Gyaase Hemaa of the Gomoa Traditional Area, whose presence affirmed the cultural significance of traditional grooming practices.
Tonight, we affirm that beauty is not vanity. It is vocation, skill, and nation-building, said Mr. Elwoode A. Mantey, CEO of Big Brand Ghana. These professionals are job creators, mentors, and community anchors who add value to the local economy of the region. They deserve this spotlight.
The celebrations began on November 27, 2025, with an Inter-Association Cooking Competition at Airport Junction Mall. The event united five key associationsGHABA, NABH, Progressive Hairdressers Association, Hair Plaiters Association, and Unique Hairdressers Associationin a joyful demonstration of solidarity beyond the workplace.
The success of HGIA 2025 was made possible through the generous support of Tuman Enterprise and Ghandour Cosmetics (The GC Brand), both committed to empowering Ghanas beauty artisans through resources, training, and visibility.
Plans are already underway for HGIA 2026, with expanded workshops, business clinics, and regional outreach to further professionalize the sector.",,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Sekondi-Takoradi-shines-at-2025-hair-and-grooming-impact-awards-2012764
Hajj Board Chairman named North East Regions best farmer,"The Chairman of the Pilgrims Affairs Office of Ghana (PAOG), Alhaji Abdul-Rauf Tanko Ibrahim, has been adjudged the Best Farmer for the North East Region, earning recognition for his outstanding contribution to agriculture and rural development.
Alhaji Tanko Ibrahim, who has over the years combined politics with dedicated agricultural practice, received the honour during this years Regional Farmers Day celebration.
His extensive work in crop production, livestock rearing, and community development earned him high commendation from the awards committee.
Many praised him for setting a strong example of how politicians and public office holders can invest in agriculture to support food security, job creation, and local economic growth.
His farms, located in the North East Region, are known for modern farming practices, high productivity, and support for young farmers.
The North East Regional Best Farmer Award forms part of the annual National Farmers Day celebrations, which honour individuals and institutions that contribute significantly to Ghanas agricultural sector.", Muhammed Faisal Mustapha,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Hajj-Board-Chairman-named-North-East-Region-s-best-farmer-2012755
67-year-old crowned 2025 Overall Best Farmer in Ellembelle District,"A 67-year-old man, Oppong Sakyim, has been adjudged the Overall Best District Farmer in Ellembelle of the Western region.
The 41st National Farmers' Day celebration was held in all districts in Ghana on Friday, December 5, 2025.
The theme for the celebration was ""Feed Ghana, Eat Ghana, Secure the future.""
Oppong Sakyim who comes from Adubrim, received a tricycle (Aboboya), certificate, cash prize and other items.
He owns 60 acres of cocoa farm, 35 acres of rubber plantation, 6 acres of palm nut plantation, 3 acres of banana plantation, 60 goats, 300 fowls, 200 sheep, tilapia, cassava farm and among others.
He is married to two wives with 15 children (8 males and 7 females).
The first runner up position went to Lawrence Eduku of Tandan who received a motorbike plus other items.
The second runner up position went to Joshua Ndoli of Menzezor who also received a motorbike plus other items.
Speaking to Daniel Kaku during the colorful event held at Tandan on Friday, Oppong Sakyim, the overall best 2025 Ellembelle district farmer, expressed his heartfelt gratitude to the organisers of the event.
""I'm very happy for this honor and I will thank Ellembelle MP for his support"", he acknowledged.
He disclosed that he started his farming activities in Enchi Dadieso when he was a youth.
""I started my farming activities in Enchi Dadieso before returning to Adubrim in Ellembelle district to continue with it. As I speak to you today I have two wives with 15 children and they have been supporting me, I like farming"", he said.
He took the opportunity to encourage youth of today to involve themselves in agriculture to better their lives.
""Let me use this opportunity to advise youth of today; our youth think farming is a punishment but it is not like that, look at my age, I still look young, farming is not a punishment but there are a lot of benefits in it, farming keeps you healthier always so our youth must involve themselves into farming activities"", he urged.
Joseph Agyekum, the District Chief Executive (DCE) for the area, saluted all farmers in Ghana for devotiing their time to produce for the country.
He advised farmers not to sell their farmlands to illegal miners all in the name of money but safeguarding their farmlands for generations yet unborn.
He commended Emmanuel Armah-Kofi Buah, Ghana National Gas Company and other companies for supporting the assembly to honor hardworking farmers in the district.
The Member of Parliament (MP) for Ellembelle and Minister for Lands and Natural Resources, Emmanuel Armah-Kofi Buah congratulated the awardees and encouraged other residents to involve themselves into agriculture.
He pledged to work with the government to reconstruct bad roads in Ellembelle in other to help farmers to transport their farm produces to market centers on time in order to prevent post harvest losses.
He disclosed that his NDC government has started reconstructing Aiyinasi to Asasetre road network that passes through Tandan.
He seized the opportunity to urge Ghanaians to stay away from illegal mining activities.
He said government would continue in its fight against illegal mining (galamsey) to protect the water bodies and forests in Ghana for the next generation.
He appealed to his constituents to trust in President John Dramani Mahama has NDC government.
In all, 31 outstanding farmers were honored with special awards in Ellembelle district.", Daniel Kaku,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/67-year-old-crowned-2025-Overall-Best-Farmer-in-Ellembelle-District-2012752
MoD delegation attends funerals of El-Wak stampede victims in Kasoa,"A delegation from the Ministry of Defence (MoD) attended the funerals of two victims of the El-Wak Stadium stampede, Priscilla Esinam Nyamalor and Peace Ama Kpotivi, in Kasoa in the Central Region, to express the governments condolences and solidarity with their families.
The team was led by the Army Liaison Officer to the MoD, Colonel Yaw Owusu Appah, alongside the Air Force Liaison Officer, Group Captain Janet Abdulai.
They were joined by the Member of Parliament for Awutu Senya East, Philis Naa Koryoo Okunor, and the Municipal Chief Executive, Seth Sabah Serwornoo-Banini.
Several senior officers and personnel of the Ghana Armed Forces were also in attendance.
Their presence offered emotional support to the bereaved families and reaffirmed the Ministry of Defences commitment to stand with them during this difficult period.",,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/MoD-delegation-attends-funerals-of-El-Wak-stampede-victims-in-Kasoa-2012724
Council of State is not your end  Alhaji Said Sinare hails Dr Kwamigah-Atokples rising influence,"Ghanas Ambassador to Saudi Arabia, Alhaji Said Sinare, has heaped glowing praise on the Council of State Member for the Volta Region, Dr
Gabriel Tanko Kwamigah-Atokple
, describing him as a rising national asset whose leadership journey goes far beyond the Council of State.
Speaking at a spectacular birthday celebration held on Sunday, December 7, 2025, at Dr Kwamigah-Atokple's magnificent East Legon Estate, the NDC's Zongo President, Alhaji Said Sinare joined other high-ranking officials of the ruling
National Democratic Congress
(NDC), business magnates, families, and close friends to honor the distinguished statesman and business tycoon.
In his address, the ambassador recounted Dr Tankos remarkable contributions to the partys national growth, particularly his strategic support in securing Zongo votes for President
John Dramani Mahama
and several parliamentary candidates during the 2024 general elections.
Alhaji Sinare revealed that the revered Council of State member also financed his Winning the Zongo Votes for President Mahama and NDC PCs initiative, an intervention he described as 'a decisive factor in strengthening the NDCs grassroots appeal across critical constituencies.'
Tanko is young, visionary, and loyal to the NDCs mission. His wisdom, political maturity, and dedication to national unity show clearly that the Council of State is not his final destination. Ghana still has bigger roles for him, he stated.
The ambassador praised Dr Kwamigah-Atokple's growing influence in the Volta Region and highlighted his continuous investments in community development, youth empowerment, and party-building efforts.
Alhaji Sinare further offered heartfelt prayers for Dr Tanko, asking Allah to grant him protection, long life, and greater capacity to serve Ghana.
He concluded by urging the chiefs and people of the Volta Region to rally behind Dr Tanko, describing him as a generational asset whose leadership will shape both the region and the country for years to come.
AE",,Regional,  8 December 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Council-of-State-is-not-your-end-Alhaji-Said-Sinare-hails-Dr-Kwamigah-Atokple-s-rising-influence-2012684
