title,content,author,category,published_date,page_url
"Ghanas public debate too emotional, not driven by data  Prof Bokpin","Economics professor Godfred Bokpin has criticised the quality of Ghana’s national conversations, arguing that far too many public debates are shaped by emotion rather than evidence. He says the country must urgently elevate the role of data in public policy, decision-making and everyday discourse.




Speaking at the 2025 Annual Forum for Data Producers, Users and Enhancers, Prof. Bokpin stressed that reliable data remains the single most important input for sound governance and economic management. According to him, countries can function without natural resources, but no nation can progress without solid data.


“As an academic, I value data more than gold or oil. Without data, nothing gets done. That is how important it is,” he told participants during a panel discussion.


He also noted that although the Ghana Statistical Service produces a wealth of information every year, much of it is ignored or underutilised. He urged policymakers, businesses and the public to integrate this data into planning, monitoring and evaluation processes.


“There is so much data harvested by the Statistical Service, yet many people think they only produce GDP figures,” he said. “The real question is: how often do we rely on data in our daily lives? How data-driven are we?”




Prof. Bokpin lamented that national discussions frequently resemble talk shows rather than evidence-based exchanges. He argued that greater reliance on data would reduce disputes on media platforms and temper emotionally charged debates.


“If we were driven by data as a country, there would be fewer disagreements, less emotion and probably fewer fights, because data simply speaks for itself,” he added.

DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Bokpin  Ghana 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Panama opener could define Ghana’s 2026 World Cup campaign – Otto Addo                        
 


                            Ghana lights up first-ever plastics leadership awards                        
 


                            Mahama pushes for joint ventures with China to boost Ghana’s economy                        
 


                            West Africa’s Coup Season Should Alarm Ghana: Politics Turns On Moments, Not Models                        
 


                            Christian Council of Ghana appeals to plaintiff in Wesley Girls’ case to seek amicable, out-of-court settlement                        
 


                            Ghana makes moves to deploy troops for ECOWAS mission in Benin after failed coup – JoyNews sources                        
 


                            Hindsight: The Rehabilitation of Salim Adams                        
 


                            China understands developing world needs -Mahama                        
 


                            Mahama lauds women’s progress in Ghana, draws lessons from China’s development model                        
 


                            Mahama eyes expanded exports to China, says standards harmonisation key to new trade framework",myjoyonline.com,National,9 December 2025 7:37am,https://www.myjoyonline.com/ghanas-public-debate-too-emotional-not-driven-by-data-prof-bokpin/
Arthur Kennedy writes on President Kufuor,"Four score and 7 years ago, a child was born. He has been very consequential to Ghana, Africa and the world.




I read biographies a lot so even though I had interacted with President Kufuor quite a bit, I looked for a biography. From that, I learned that he had been an exceptional student at Prempeh College, where according to his biography, he picked up virtually every prize in sight.


After returning to Ghana after his education in UK, he joined politics at a young age. He served under Busia and Rawlings but his masterpiece, on the way to the Presidency, was his 1996 campaign, repeated in 1998.


He was under-resourced but he made up for his lack of resources with hard work and personal relations.


Indeed, it was Northerners who propelled him to victory in his primary campaigns. In 2007, during my ill-fated campaign, in home after home in the north, they showed me the beds or cots he slept on and recounted stories of midnight knocks on doors by Kufuor.




As President, he was humble and inclusive. A humble Ashanti! As he once said, ""Every party has factions and leaders must accommodate them"".


Wherever he went as President, doors opened, to him and for Ghana. And he strengthened institutions with good quality appointments. But his finest season may have been in his post-presidency.


He has been dignified, statesmanlike-- maybe a tad too quiet, formed a foundation and helped to establish APIMI. As he explained last September at a forum, public interest digital media combined with AI will bring Africa to the centre of global development.


Together with President Mahama, the Oldman will help give us and the youth the tools to keep Ghana as the gateway to Africa through this century.



Mr President, as they sing ""Di wo hene"" and you twirl around a bit, remember our last conversation and speak out more. And if Delay proposes, turn her down!


May God bless you with many more years of joy and health. Happy birthday!          


Arthur Kobina Kennedy ( December 8th, 2025)



DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Arthur Kobina Kennedy  President J.A. Kufuor 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Dr Arthur Kennedy: A reset for Ghana                        
 


                            Bawumia is in a weaker position; he needs the debate more – Arthur Kennedy                        
 


                            Arthur Kobina Kennedy: Our broken Ghana                        
 


                            Finance Minister’s position has been untenable for some time now – NPP stalwart                        
 


                            I would have built national museum of slavery instead of cathedral as president – Arthur Kennedy                        
 


                            MPs being denied visa for advocating anti-LGBTQ+ Bill – Arthur Kennedy",Arthur Kobina Kennedy,National,9 December 2025 7:35am,https://www.myjoyonline.com/arthur-kennedy-writes-on-president-kufuor/
"Todays Front pages: Tuesday, December 9, 2025","Myjoyonline.com brings you the front pages of the various newspapers across the country.













































DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Newspaper Front pages 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Today’s Front pages : Monday, December 8, 2025                        
 


                            Today’s Front pages: Thursday, December 4, 2025                        
 


                            Today’s Front pages: Tuesday, December 2, 2025                        
 


                            Today’s Front pages: Monday, December 1, 2025                        
 


                            Today’s Front pages: Friday, November 28, 2025                        
 


                            Today’s Front pages: Thursday, November 27, 2025                        
 


                            Today’s Front pages: Tuesday, November 25, 2025                        
 


                            Today’s Front pages: Monday, November 24, 2025                        
 


                            Today’s Front pages: Friday, November 21, 2025                        
 


                            Today’s Front pages: Thursday, November 20, 2025",Myjoyonline.com,In Focus | National,9 December 2025 7:08am,https://www.myjoyonline.com/todays-front-pages-tuesday-december-9-2025/
IMANI files RTI request seeking details on new nationwide SIM registration,"Policy think tank IMANI Africa has filed a Right to Information (RTI) request seeking full disclosure on the government’s planned nationwide SIM registration exercise set to begin in early 2026. The group says the move is necessary to ensure transparency, legality, and data protection ahead of the rollout.




In a request submitted on Monday, December 8, 2025, to the Ministry of Communications, Digital Technology and Innovations, IMANI asked for documents covering the legal basis of the new registration regime, technical design, biometric verification systems, procurement records, and oversight arrangements. The request was received by the Minister’s secretary, the think tank confirmed.


IMANI said Ghanaians deserve clarity on how their biometric data will be collected, stored, and protected under the new system. It also raised concerns about governance, cost implications, and the role of private sector vendors expected to participate in the exercise.


The think tank cited Article 21(1)(f) of the 1992 Constitution and the Right to Information Act, 2019 (Act 989), which guarantees public access to information held by state institutions. It said its request aligns with efforts “to promote accountability and ensure that the exercise is conducted in the public interest.”


IMANI’s submission asked the ministry to disclose the legal instruments authorising the new SIM registry, the architecture of the verification process, details of vendors selected, and any agreements governing the management of citizens’ data.




According to IMANI, the RTI application is a proactive step to safeguard transparency and protect user rights before the exercise begins. The think tank added that public trust depends on clear assurances that data-sharing protocols and privacy safeguards meet national and international standards.

DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    IMANI  RTI  SIM 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            IMANI boss slams SML deal for total failure in policy and finance                        
 


                            It’s dangerous to have laws like this – IMANI cautions against cybersecurity amendments                        
 


                            This Saturday on Newsfile: Fight against galamsey and IMANI’s GH¢7bn leakage Gold-for-Oil programme                        
 


                            Gold-for-Oil saga: Kwadwo Poku slams IMANI report as ‘frivolous’ and ‘false’                        
 


                            BOST’s financial performance improved under Gold-for-Oil – NPP tells IMANI                        
 


                            No evidence of leakages in Gold-for-Oil programme — NPP rebuts IMANI                        
 


                            RTI saga: Millions paid as penalty                        
 


                            State institutions use public funds to pay RTI fines while errant officials go unpunished                        
 


                            IMANI Africa: ORAL losing credibility amid perceptions of selective justice                        
 


                            IMANI urges Mahama gov’t to ‘match rhetoric with delivery’ and ensure transparent engagement",Myjoyonline,National,9 December 2025 7:06am,https://www.myjoyonline.com/imani-files-rti-request-seeking-details-on-new-nationwide-sim-registration/
High Court ruling on Kpandai will stand unless overturned by Supreme Court- Berekum West MP,"The Member of Parliament for Berekum West, Dickson Kyere-Duah, says the decision by Parliament to notify the Electoral Commission (EC) of a vacancy in the Kpandai Constituency is simply a constitutional requirement and will remain in force unless a higher court reverses the ruling.




Speaking on the AM Show, he explained that the High Court’s decision ordering a re-run of the 2024 parliamentary election in Kpandai must be respected by all parties, including Parliament and the EC.


“This does not stop my brother Matthew Nyindam from pursuing his case at the Supreme Court,” he said. “If the verdict of the High Court is overturned at any point, it will stop the EC from proceeding to conduct the election. So for me, nothing new has happened.”


Kyere-Duah stressed that Parliament was only communicating the court’s directive to the EC, as mandated by law. He noted that if the Supreme Court or the Court of Appeal delivers a contrary ruling, Parliament will similarly implement it without hesitation.


“A court decision will be respected by everybody,” he said, adding that “in the same vein, if an appeal court overturns the decision, the same will be implemented by Parliament.”




His comments come after the Parliamentary Service formally informed the EC of a vacancy in the Kpandai seat. 


The notification, dated 4 December 2025 and signed by the Clerk to Parliament, Ebenezer Ahumah Djietror, signals the official start of processes to conduct a re-run election.


The letter was issued in line with Article 112(5) of the 1992 Constitution, which requires the Clerk to Parliament to notify the EC whenever a parliamentary seat becomes vacant.


The re-run is expected to determine who ultimately represents the people of Kpandai in Parliament, following the annulment of the 2024 parliamentary election results in that constituency


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    High Court  Kpandai  Supreme Court 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Legal challenge against Wesley Girls High School forces Ghana Supreme Court to define boundaries of religious liberty                        
 


                            Why the haste? – NPP MP question’s EC notification over vacant Kpandai seat despite stay of exection                        
 


                            Parliament notifies EC over vacant Kpandai seat following court re-run order                        
 


                            Former NAFCO CEO seeks High Court review of EOCO property freezing order                        
 


                            US Supreme Court agrees to hear case challenging birthright citizenship                        
 


                            We were within time – Dafeamekpor defends NDC’s case as Kpandai battle hits Supreme Court                        
 


                            [FULL JUDGEMENT]: Why the High Court ordered Kpandai election re-run                        
 


                            Court orders Nana Agradaa, co-accused to file plea bargain terms ahead of December 16 hearing                        
 


                            Nyindam suffered ‘substantial miscarriage of justice’; SC must correct it – NPP                        
 


                            Abuse of court processes – Dafeamekpor slams Nyindam over fresh SC motion",Caleb Ahinakwah,Politics,9 December 2025 7:42am,https://www.myjoyonline.com/high-court-ruling-on-kpandai-will-stand-unless-overturned-by-supreme-court-berekum-west-mp/
"Tariff hikes a sign of failed leadership, suspend it  Minority to govt","The parliamentary Minority has condemned the recent utility tariff increases, calling them a symptom of failed leadership and poor leadership choices. 




The demand for suspension was made at a press conference addressed by the Ranking Member of Parliament’s Energy Committee, George Kwame Aboagye.


At the briefing, Aboagye criticized the decision by PURC to raise electricity and water tariffs, arguing the hike lacked justification. He said the increase reflects deeper problems in governance and management of the utility sector rather than any real improvement in service delivery.


""Our position remains firm and non-negotiable. This tariff must be reversed immediately, and measures must be taken to protect consumers and sustain businesses. Ghanaian deserves relief, not repeated shots,"" he said.


PURC concluded its 2026–2030 Multi-Year Tariff Review (MYTO) and announced new utility rates to take effect on 1 January 2026. 




Under the new order, electricity tariffs will rise by 9.86 percent across all customer categories, and water tariffs will increase by 15.92 percent for all consumers.


The Commission said the increases reflect the investment needs of water and electricity utilities over the next five years, covering both capital expenditure and operational costs, under prevailing macroeconomic conditions such as inflation, exchange rate fluctuations, and rising fuel costs.


PURC added that the review followed a series of investment hearings, stakeholder consultations, and regional public forums across the country. 


The Commission also introduced a mini-grid tariff scheme under the MYTO, bringing the costs of supplying electricity to island and remote communities into the national tariff framework under the purview of the Volta River Authority (VRA).



During the press conference, the Minority argued that customers should not be made to pay more while chronic inefficiencies persist at utilities such as the Electricity Company of Ghana (ECG) and the Ghana Water Company Limited (GWCL). 


They described the tariff increases as unjustifiable and maintained that the hike shifts the burden to consumers.


""The minority stands firmly with Ghanaian workers, households, small businesses and industries struggling to survive. We will continue to use every legitimate parliamentary tool to demand fairness, transparency and accountability in the management of the nation's utilities.""






DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Hikes  Leadership  Minority 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Minority urges government to tackle smuggling and protect local farmers                        
 


                            Minority sounds alarm over fuel shortages crippling Ghana’s fishing communities                        
 


                            Minority calls for urgent action to shield farmers from rising production challenges                        
 


                            Minority accuses gov’t of neglect after GH¢5bn rice left to waste                        
 


                            Minority’s “vicious defence” saved Ghana from bad lithium deal – Dr Zaato                        
 


                            Minority demands transparency, value for money in govt’s sanitary pad procurement                        
 


                            Minority demands apology from Speaker and Majority Leader over ‘political persecution’ of Afenyo-Markin                        
 


                            Speaker Bagbin to rule on Kpandai seat amid majority–minority clash over court ruling                        
 


                            Minority accuses gov’t of overpricing free sanitary pad project                        
 


                            Accra–Kumasi expressway will cut travel time significantly — KNUST Architect",Kenneth Awotwe Darko,National | Politics,8 December 2025 1:19pm,https://www.myjoyonline.com/tariff-hikes-a-sign-of-failed-leadership-suspend-it-minority-to-govt/
Kufuor spoke the obvious truth  NPP defends critique of Akufo-Addo administration,"The New Patriotic Party (NPP) has defended former President John Agyekum Kufuor’s recent critique of the Akufo-Addo administration, insisting that his comments merely reflected the undeniable realities that shaped Ghana’s economic direction ahead of the 2024 elections.




Former President Kufuor, speaking on The Delay Show, highlighted several key policy decisions including the Domestic Debt Exchange Programme (DDEP), the National Cathedral project, and the controversial Power Distribution Services (PDS) deal, as major factors that contributed to the party’s electoral defeat.





Reacting to these remarks, the NPP’s Deputy General Secretary, Haruna Mohammed, said the former president’s observations should be viewed in the context of admissions already made by former President Akufo-Addo regarding the weight and consequences of those decisions.


“Former President Kufuor spoke the obvious. What he said is not different from the facts. Even President Akufo-Addo himself has said that the DDEP was a very difficult decision for him,” he said. 


“If you listen to Kufuor, he says the Akufo-Addo government was doing very well until COVID came. After COVID, things were never the same, and policies had to be implemented to keep Ghana’s economy strong. What he [Kufuor] said is obvious, and the party fully agrees with it,” he added.




Mr Mohammed emphasised that although the measures—particularly the DDEP—were painful, they were crucial to stabilising the economy at a critical point. 


He insisted that the current economic recovery under the Mahama administration is, in large part, a result of the groundwork laid by the Akufo-Addo government.


“DDEP was a difficult decision, but today this government is enjoying the programme as it came with so many positives. We were given debt reliefs, cancellations, and extensions and today Ghana's economy is stronger.


“The Finance Minister admitted that some of the debt programmes were very good for the economy, and they are enjoying the fruits.”


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Akufo-Addo  John Kufuor  NPP 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Bawumia will perform better in 2026 NPP primaries, his popularity has actually risen – Nana Akomea                        
 


                            Kufuor’s non-consultation claim valid, but not constitutional duty – Haruna Mohammed                        
 


                            Kufuor says some NPP members wanted him out after his 39% showing in the 1996 election                        
 


                            ‘I never backed Alan Kyerematen against Akufo-Addo’ – Kufuor clears air on old rumours                        
 


                            NPP’s 2024 loss a wake-up call on governance and accountability – Kufuor                        
 


                            Kufuor blames key Akufo-Addo policies for NPP’s 2024 defeat                        
 


                            Unity is the path to power – Kufuor calls for one strong NPP                        
 


                            Akufo-Addo managed Covid-19 well – Kufuor                        
 


                            Unity is key to NPP’s future progress – Kufuor advises                        
 


                            I was not consulted on National Cathedral Project – Kufuor reveals",Emma Ankrah,National | Politics,8 December 2025 1:04pm,https://www.myjoyonline.com/kufuor-spoke-the-obvious-truth-npp-defends-critique-of-akufo-addo-administration/
NDC party hawks instigating removal of key officials of independent institutions  Afenyo-Markin,"Minority Leader and MP for Effutu, Alexander Afenyo-Markin, has accused powerful figures within the National Democratic Congress (NDC) of pushing an agenda to remove key public office holders under the guise of government restructuring.




In a letter to President John Dramani Mahama titled “One Year After: Ghana’s Democracy at a Crossroads,” the Minority Leader reflected on developments since the December 7, 2024, general elections, which returned the NDC to power.


Mr Afenyo-Markin said the pattern of dismissals witnessed over the past year raises serious concerns about the direction of governance. According to him, the actions of the administration show a shift from national renewal to political retribution.


“First came the purge; thousands of citizens, working lawfully within state institutions and parastatals, were sent home without just cause or due process. Then came the unprecedented removal of the Chief Justice. Now, the top echelons of the Electoral Commission and the Office of the Special Prosecutor face the same fate.”



Read also: The ‘hawks’ driving your gov’t’s agenda have no interest in Ghana’s dev’t – Afenyo-Markin tells Mahama



He said that these developments point to a coordinated agenda driven not by the Presidency but by entrenched forces within the governing party.




“A pattern emerges, clear as daylight. Party hawks are the ones apparently driving the agenda,” the Minority Leader stated.





Afenyo-Markin added that the ongoing wave of removals does not align with the government’s stated commitment to national resetting and institutional strengthening.


“This is not RESET; it is retribution. This is not legacy-building; it is vendetta politics dressed in the language of renewal.”


He warned that a government focused on targeting individuals instead of addressing national challenges fails the very people who entrusted it with power.



“When a government spends its energy removing people rather than creating opportunities, when it focuses on settling scores rather than solving problems, it reveals its true priorities, and those priorities have nothing to do with the welfare of ordinary Ghanaians,” the letter read.

DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    ""party hawks""  Afenyo Markin  NDC  removal of key officials 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Walewale tensions boil over as NDC executives hold crisis meeting                        
 


                            Minister rejects claims of political bias as NDC Regional chair is named North East Best Farmer                        
 


                            Majority NDC supporters don’t want NPP to elect Bawumia as Flagbearer – Global InfoAnalytics                        
 


                            Analysis: After allocating over ₵1bn, parliament now turns on the OSP                        
 


                            Minority calls for urgent action to shield farmers from rising production challenges                        
 


                            Allow mission schools to operate by their guided values – NGO                        
 


                            Minority Leader blasts gov’t over alleged galamsey enablement                        
 


                            Volta NDC Communications Team supports disabled serial caller                        
 


                            NPP accuses NDC of interference as party rejects court-ordered Kpandai rerun                        
 


                            Full Text: Tribute To A Trailblazer – NDC eulogises Nana Konadu Agyemang-Rawlings",Clara Seshie,National | Politics,8 December 2025 12:52pm,https://www.myjoyonline.com/ndc-party-hawks-instigating-removal-of-key-officials-of-independent-institutions-afenyo-markin/
White South Africans divided on US refugee offer,"The 4m-high (13ft) electric steel gates, capped with spikes, creak open as Marthinus, a farmer, drives through in his pick-up truck. Cameras positioned at the entrance track his every move, while reams of barbed wire surround the farm in the rural Free State province in the heart of South Africa.




""It feels like a prison,"" he says as the gates clank shut behind him. ""If they want to come and kill us they can. At least it will take them time to get to me.""


The fear of being attacked is very real for the white Afrikaner, who manages a farm with his wife and two young daughters. He did not want us to use his full name.


His grandfather and his wife's grandfather were both murdered in farm attacks, and he lives a two-hour drive from where the body of 21-year-old farm manager Brendan Horner was discovered five years ago, tied to a pole, with a rope around his neck.


Marthinus says he can't take a chance with his own family and, in February, they applied for refugee status in the US.




""I'm prepared to do that to get a better life for my wife and children. Because I don't want to be slaughtered and be hanged on a pole,"" he says.


""Our Afrikaner people are an endangered species.""


Not all white South Africans agree that they're being targeted and black farmers are also victims of the country's high crime rate.


Marthinus will be leaving his farm behind if he moves to the US


It's estimated that thousands of Afrikaners - who are mostly white descendants of early European settlers - have begun the lengthy process of applying for refugee status in the US since President Donald Trump signed an executive order earlier this year, although the figures haven't been made public.



Despite announcing in October that the US would reduce its yearly intake of refugees from 125,000 to 7,500, Trump has made the resettlement of Afrikaners a priority.


A presidential document posted to the official daily journal of the US government stated that those accepted would ""primarily"" be Afrikaner South Africans and ""other victims of illegal or unjust discrimination in their respective homelands"".


For Marthinus it's a way out.


""I will give my whole life just so that my wife and my kids can be safe. Living in fear, you know? Nobody deserves a life like that.""




Violent crime in South Africa is endemic.


The latest crime figures released in November for the first quarter of 2025 show there was an average of 63 murders every day. While this was a decrease on the same period in 2024, South Africa's homicide rate remains one of the highest in the world.


Farmer Thabo Makopo is also worried about being targeted by criminals


Black farmers are also victims.


On the outskirts of Ficksburg, a town at the foot of Free State's Imperani Mountain, Thabo Makopo has a small farm of 237 acres (96 hectares), where he tends sheep and cattle. Like Marthinus, the 45-year-old says farm attacks are his biggest problem.




""They are young men. They are armed and dangerous. Whether they will lose their life or take yours, they are going to take those livestock,"" he says.


Thabo believes all farmers in the province, regardless of their race, are at risk of attack.


""It's all of us. I could be attacked today - it could happen to any of us.""


Police response rates to reports of crime are notoriously low, something the police here acknowledge but have said publicly that they are working on.




In the meantime, South Africans are becoming increasingly dependent on private security. According to the official regulatory body for the private security sector in South Africa, there are more than 630,000 active security guards. That is more than the police and army combined.


Morgan Barrett rejects the idea that there is a white genocide


Many farmers, like Morgan Barrett, who is white, employ their own security guards, if they can afford it. He owns a 2,000-acre farm which has been in his family for six generations.


Wrapped up in a thick jacket and hat, he climbs into his car to begin a night patrol. Between Morgan and his neighbours, they are out almost every night. Six of his cattle were stolen the previous week.


""You can call the police, and they may turn up two or three hours later, by which time the thieves will have run away,"" he says.




Like Thabo, he doesn't believe he is targeted because of the colour of his skin.


""I don't buy that narrative that in this area the attacks are against whites only.""


""If they thought that the black guy had 20,000 rand ($1,200; £880) sitting in his safe, they'd attack him just as quickly as they'd attack the white guy with 20,000 [rand] in the safe.""


Asked about what he thinks of people claiming there is a ""white genocide"" in South Africa, he says he thinks they ""have no real understanding of what a genocide is"".




""What happened in Rwanda is genocide. What is happening to white farmers is very bad, but I don't think you can call it genocide.""


Trump has repeated the widely disputed claims there is a genocide against white farmers, while South African-born billionaire Elon Musk, has accused South African politicians of ""actively promoting"" a genocide.


The government here has vehemently denied that Afrikaners and other white South Africans are being persecuted.


The country does not release crime figures based on race, but in May, in order to debunk these claims, Police Minister Senzo Mchunu gave a breakdown of killings on farms.


Mchunu said that between October 2024 and March 2025, there were 18 farm murders across South Africa. Sixteen of the victims were black, while two were white.


Despite these statistics, the theory that white people are being persecuted for their race, once an idea confined to far-right groups in South Africa, continues to be propelled into the mainstream.


Systematic racial persecution is something black people in South Africa, who make up more than 80% of the population, have faced for decades.


Under the apartheid system that lasted for 46 years from 1948, the white-minority government legally separated people based on the colour of their skin.


It was built on already existing discriminatory legislation.


The right to vote, buy land and work in skilled jobs was reserved for white people. Millions of black South Africans were removed from their land and forced to live in segregated neighbourhoods where education in schools was restricted to maintain racial hierarchy.


The regime was enforced through violence and repression.


Even though apartheid ended in 1994, the profound racial inequalities continue to exist more than 30 years later.


The post-apartheid government did introduce affirmative action policies to try and redress some of the issues, but these have been criticised by some for not being effective and introducing ""race quotas"".


Nevertheless, 72% of private farmland is still in white hands, according to the government's 2017 Land Audit report. That's despite white people making up just 7.3% of the population.


A land reform programme - based on the principle of willing-seller, willing-buyer - has hardly moved the dial. A new law this year does give the state the power to expropriate some privately owned land without compensation for owners, but this is only in rare circumstances, according to legal experts who spoke to the BBC.


And while white farmers own more private land than any other group in the country, victims of farm attacks span across all races.


The political spotlight is on white farmers, yet crime and violence on the ground is indiscriminate.


Nthabiseng Nthathakana's husband died when criminals attacked their small shop


In Meqheleng, a township on the outskirts of Ficksburg where black South Africans were forcibly relocated during the apartheid regime, Nthabiseng Nthathakana owns a small general store.


On 15 January this year, there was a robbery while her husband, Thembani Ncgango, was closing up. He managed to run to a neighbour's house but his attackers threatened to kill them if they opened the door.


Nthabiseng found Thembani's body on the ground outside.


""He had bullets everywhere and stab wounds. They had stabbed him and hit him with rocks,"" she says.


No one has been arrested for his murder.


Nthabiseng is now the sole provider for her four children.


""The kids ask questions: 'Mama, who killed Dad?' And you don't know what to say,"" she says.


Two hours' drive from Ficksburg, Marthinus and his family have just found out their refugee application to the US has been successful.


They're busy planning the big move, waiting to hear when their flights will be allocated.


He maintains that white people are being persecuted in South Africa.


""A lot of people believe that it's a political thing to get rid of us as white farmers or white people in this country, so they can have this land for themselves and this place for themselves.


""I'm really grateful to be getting away from this feeling of fear. I'm thankful to almighty God for answering our prayers.""

DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    White South African refugees 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Trump caps refugee admissions at record low – with most to be white South Africans                        
 


                            Trump administration weighing refugee cap of 40,000 with focus on white South Africans                        
 


                            ‘I didn’t come here for fun’ – Afrikaner defends refugee status in US                        
 


                            Trump officials seek to bring first white South African refugees to US next week, NYT reports",BBC,Africa,9 December 2025 2:36am,https://www.myjoyonline.com/white-south-africans-divided-on-us-refugee-offer/
"Burkina Faso plans to restore death penalty for treason, terrorism, espionage","Burkina Faso’s Council of Ministers has adopted a bill to restore the death penalty, targeting offences such as treason, terrorism and espionage, authorities said.




“The adoption of this bill is part of reforms ... to have a justice that responds to the deep aspirations of our people,” Minister of Justice Edasso Rodrigue Bayala said in a Facebook post late Thursday.


The death penalty was abolished in the country in 2018.


The bill has to be adopted by parliament and reviewed by the courts before becoming law.


Marceau Sivieude, Amnesty International’s Regional Director for West and Central Africa, called the move a “serious setback for human rights in Burkina Faso,” and alarming “in the context of the ongoing crackdown on political opponents, human rights activists and journalists in Burkina Faso.”




Since taking power in a 2022 coup, the West African country’s military leaders have launched sweeping reforms, including postponing elections that were expected to restore civilian rule and dissolving the country’s independent electoral commission.


Burkina Faso has increasingly silenced critical media outlets in recent years. It suspended the BBC and Voice of America radio stations for their coverage of a mass killing of civilians carried out by the country’s armed forces, as well as arrested three prominent journalists earlier this year.


The country is one of several West African nations where the military has taken over in recent years, capitalising on widespread discontent with previous democratically elected governments over security issues. The military government has been accused of human rights abuses and the detention of journalists critical of the government.


The landlocked nation of 23 million people is among the countries struggling with a security crisis in the arid Sahel region south of the Sahara in recent years. It has been shaken by violence from extremist groups linked to al-Qaida and the Islamic State group.


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Burkina Faso 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Burkina Faso plans to restore death penalty for treason, terrorism, espionage                        
 


                            Ibrahim Traoré and the architecture of power in the Sahel                        
 


                            Cybastion launches American tech hub to boost digital transformation in Burkina Faso                        
 


                            Ghana records trade surplus with Burkina Faso and Côte d’Ivoire – GSS                        
 


                            Burkina Faso to study Ghana’s investment promotion strategies                        
 


                            GIPC CEO calls for stronger regional cooperation to boost trade and investments                        
 


                            GIPC joins trade delegation at Burkina Faso Forum                        
 


                            ECOWAS is still talking with Burkina Faso, Mali and Niger for cooperation – ECOWAS Ghana Rep                        
 


                            Burkina Faso scraps visa fees for African travellers                        
 


                            Foreign Minister engages Burkina Faso, Côte d’Ivoire on welfare of Ghanaian nationals",AP,Africa,8 December 2025 11:21pm,https://www.myjoyonline.com/burkina-faso-plans-to-restore-death-penalty-for-treason-terrorism-espionage-2/
