title,content,author,category,published_date,page_url
"Over 19,000 people living with HIV in Bono Region as new infections surge - GAC","Over 19,000 persons in the Bono Region are living with HIV and AIDS, according to the Bono, Bono East and Ahafo Regional Technical Coordinator of the Ghana AIDS Commission (GAC), Ahmed Ibrahim Bambila.
According to him, the region also recorded 875 new HIV infections.
He described the figures as alarming, urging stronger, coordinated interventions to tackle the underlying causes to prevent further spread.
Bambila spoke during the inauguration of the Bono Regional Committee of the Ghana AIDS Commission (RECCOM) in Sunyani on Thursday, November 20, 2025.
The newly inaugurated 9-member committee, chaired by Bono Regional Minister Joseph Addae Akwaboa, is expected to lead and coordinate HIV-related programmes in the region to curb infections and enhance care.
Bambila noted that several factors continued to drive HIV transmission in the region, including low condom use, multiple sexual partners, stigma and discrimination, inadequate sexual health education, migration, transactional sex, and limited access to HIV services.
According to the 2024 Regional HIV Estimates, the Bono Regions HIV prevalence stood at 2.22 percent among persons aged 15 to 49, higher than the national average.
Bambila urged community actors, health institutions, civil society groups, and traditional authorities to intensify education and advocacy to reduce stigma, promote safe sexual practices, and improve access to testing and treatment.",,Health, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Over-19-000-people-living-with-HIV-in-Bono-Region-as-new-infections-surge-GAC-2010517
'Collect receipts to close revenue gaps - Chief Accountant,"Richlove Wiafe Duffour, Chief Accountant at the Mental Health Authority, has urged taxpayers to demand and collect receipts to tackle the loopholes in the nations revenue generation.
We are all contributing to the loopholes, she stated, saying collecting receipts on taxes, fees and tolls would greatly bring the situation under control, and thereby strengthen public revenue collection.
Duffour gave the advice when she spoke on training on financial management in Accra on Thursday, as part of a three-day conference of the Agency, underway in Accra.
The conference has brought together regional managers to review coverage outputs, examine thematic reporting and discuss operational challenges affecting newsgathering and dissemination.
It further sought to assess the Agencys performance over the past year, and develop strategies to strengthen its operations for 2026 and beyond.
Mrs Duffour insisted that failure to demand or collect receipts on taxes, fees and tolls paid for public services was an inappropriate practice that partly fueled corruption, affecting the nations revenue mobilization.
She cited that: You remember at the time we were paying the road tolls, some of us will not even border to collect receipts when we pay the tolls. So, you see we are our own problems.
Duffour entreated the Agency managers to endeavour to adhere to the Public Financial Management Act whenever they spend public resources in order not to find themselves in trouble.
She took the participants through the GIFMIS modules and expenditure process, and asked the Agency to avoid the temptation of borrowing without the warrant to do so, and also endeavour to keep records and retire their imprest on time.",,Health, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Collect-receipts-to-close-revenue-gaps-Chief-Accountant-2010471
Yalwa youth hold health walk to raise awareness on substance abuse,"Hajia Aisha Community Service (HACS), in partnership with Yalwa Youth, on November 16, 2025, organised a community-wide health walk aimed at campaigning against substance abuse. The event took place in Yalwa, a suburb of Abossey Okai in the Greater Accra Region.
The walk formed part of activities marking this years Maulid (the birth of Prophet Muhammad) celebration and was held under the auspices of the Abossey Okai Zongo Yalwa Chief, Sarki Mohammed Aliyu Atiku Bashar, the Mukhtar Adam Foundation, and the Hajia Aisha Community Centre.
Held on the theme Safeguarding the Future of Our Youth, the health walk brought together residents of Yelwa and surrounding communities.
The initiative sought to educate the public on the dangers of drug and substance abuse, particularly among young people.
Officials from the Greater Accra Narcotics Control Commission (NCC) and mental health professionals also participated, engaging residents on the impacts of drug misuse and mental health issues.
Speaking after the walk, Abdul Aziz Ali, Acting Deputy Regional Commander of the NCC, urged community members to view the fight against substance abuse as a collective responsibility.
He noted that many people downplay the importance of the fight because they believe they are not directly affected.
However, he stressed that substance abuse influences communities through increased crime, theft, and the likelihood of more youth being drawn into drug use.
Aziz warned that anyone found in possession of illegal substances risks a fine of GH5,000, a six-month prison term, or both.
He also cautioned against the misuse of everyday medicines such as paracetamol and doctor-prescribed drugs, describing it as an overlooked form of drug abuse.
He encouraged residents to follow medical instructions strictly and avoid self-prescribing or recommending drugs to others.
A Senior Nursing Officer at the Pantang Hospital, Zuneru Zakari, advised parents to monitor their children closely and seek medical help immediately when they notice behavioural changes.
He highlighted the psychological effects associated with substance use and stressed the need for early intervention.
The Gimbiya of Yalwa, Hajia Aisha Zakaria, called on Zongo youth across the country to avoid drug abuse and focus on activities that promote development within their communities.
She described the rising cases of substance abuse among Zongo youth as a national crisis threatening Ghanas human capital development.
She expressed concern that many promising young people with great potential are being lost to drug addiction.
Hajia Aisha also condemned the involvement of some women in drug peddling and urged them to desist from the practice for the sake of their families and communities.", Muhammed Faisal Mustapha,Health, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Yalwa-youth-hold-health-walk-to-raise-awareness-on-substance-abuse-2010431
No Ghanaian medical data stored outside the country - Lightwave tells health minister,"Lightwave E-Healthcare Solutions Limited has rejected what it describes as false and misleading claims made by the Minister of Health,
Kwabena Mintah Akandoh
, regarding the management of Ghanas National E-Healthcare Programme and the Lightwave Health Information Management System (LHIMS).
According to a report by peacefmonline.com, Lightwave E-Healthcare Solutions made the remarks in a statement released in Accra.
The fully Ghanaian-owned technology firm stated that the Ministers recent comments made in Parliament on October 28, 2025, and later at the Presidential Accountability Series on October 29 suggesting that Ghanas medical data was controlled from India, were not just incorrect but could harm public confidence in the country's digital health achievements.
Lightwave stressed that all healthcare data generated through LHIMS is stored on the Ministry of Healths own servers at its headquarters in Accra.
The company clarified that its role is limited to providing licensed software for data management, while the government retains full ownership and control of all records.
The healthcare data of Ghanaians is the property of the Government of Ghana and is stored within the Ministry of Healths servers in Accra, the statement said, calling the Ministers remarks false and unfortunate.
The company felt it necessary to respond publicly to stop misinformation from damaging trust in a system that has been developed and implemented since 2016.
Project history and contract structure
Lightwave detailed the projects history, starting with Phase One in 2016 under the then  former President
John Dramani Mahama
, which cost US$6 million and connected 23 health facilities in the Central Region.
Lightwave Contract Saga: Okoe Boye challenges Mintah Akandoh over fine details
Following this success, the Ministry of Health signed a second contract in March 2019 valued at US$100 million to expand the system to 950 facilities across the country.
The company explained that the contract price was not spread evenly across all facilities but weighted based on the complexity of each type of institution.
Teaching and regional hospitals required much larger investments, while health centers needed less infrastructure.
Lightwave E-Healthcare dismisses health minister's claims over National E-Health project
For instance, the four teaching hospitals alone accounted for 21 percent of the contract cost, while all 646 health centers together made up only 17 percent.
By December 2024, Lightwave had installed systems in all four teaching hospitals, six regional hospitals, and 243 district and other hospitals totaling 72 percent of the contract value and justifying the US$77 million (77 percent) disbursed by the Ministry.
Lightwave attributed project delays to constant payment delays and administrative hurdles. While payments were supposed to be made within 36 days of invoice submission, the company often waited between five and twenty months, creating significant financial pressure.
COVID-19 further affected rollout plans. Training sessions had to be reduced, facility space was limited, and global supply chain issues led to unpredictable delays in equipment delivery.
Ghanas temporary port closures added to the delays. Although the Ghana Health Service provided a prioritized facility list in 2023, Lightwave noted that a 12-month contract extension was delayed for nearly six months because the revised rollout list was not sent out on time.
Financial and equipment issues addressed
Despite these challenges, the company continued to provide support services even after the contract officially expired on December 31, 2024, without renewal and without payment for additional work done throughout 2025. Lightwave also rejected claims that it supplied poor-quality or insufficient hardware.
The company stated that all equipment met or exceeded contractual standards, and any changes were approved under the contracts substantial equivalence clause.
No facility or the Ministry reported issues with the hardware
In response to a claim about laptop shortages, Lightwave clarified that the contract required 9,544 laptops, not 13,172 and that 7,060 had already been delivered, with the rest set for facilities yet to be rolled out.
The company also referenced a meeting in September 2025 where the Minister instructed Lightwave to submit invoices for eight months of outstanding payments contradicting his public statement that there were no arrears.
Legal steps and call for objective review
Through its solicitors, Messrs Lord and Lords Legal Practice, Lightwave has requested arbitration and copies of all investigation reports related to the LHIMS project.
The company believes this is essential for protecting patient data and ensuring the continuity of e-health services across the country.
Reaffirming its commitment to Ghanas digital health transformation, Lightwave called for a fair, evidence-based review of the National E-Healthcare Programme one free from political rhetoric and data misinterpretation.
'He wanted sex'  Woman assaulted by husband in viral video recounts ordeal",,Health, 20 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/No-Ghanaian-medical-data-stored-outside-the-country-Lightwave-tells-health-minister-2010347
"GHIMS fully operational, deployed in key critical units - CCTH clarifies","The Management of Cape Coast Teaching Hospital (CCTH) has clarified recent reports suggesting that the Ghana Health Information Management System (GHIMS) has not been implemented at the hospital, describing such claims as inaccurate.
This was contained in a statement issued on November 20, 2025.
""The Management of Cape Coast Teaching Hospital (CCTH) has noted with concern a recent publication by Fact-Check Ghana suggesting that the Ghana Health Information Management System (GI-IIMS) has not been rolled out or is not in use at the hospital,"" it noted.
According to the hospital, GHIMS is fully deployed and actively in use in several key clinical units.
Health minister outlines 4-week plan to restore Ghana's electronic healthcare system
""At present, five (5) major clinical units are fully live on the system and using it daily for patient care, documentation, diagnostics flow, pharmacy processes. and billing,"" the statement added.
CCTH also indicated that the remaining departments have completed staff training and are beginning to use GHIMS under the guidance of the hospital's implementation team and technical partners.
GHIMS fully deployed at Cape Coast Teaching Hospital - Health minister announces
""This phased roll-out approach ensures full staff readiness, smooth workflow transition, minimal service disruption, and high-quality data capture from day one,at no point has any department refused, rejected, or abandoned GHIMS,"" it said.
Addressing the claims made by Fact-Check Ghana, CCTH stated, ""Fact-Check Ghana did not contact CCTH for verification before publishing their claims. As a result, the report misrepresented the hospital's operational reality and inadvertently misled the public.""
Reaffirming its commitment to the Ministry of Health's national digital transformation programme, CCTH described GHIMS as a critical tool for improving clinical efficiency, patient record management, diagnostic and pharmacy workflows, data-driven decision-making, and billing transparency.
""We will continue expanding GHIMS utilization until every department is fully live and integrated, in line with national digital health standards,"" it added.
Read the full statement below:
CAPE COAST TEACHING HOSPITAL SETS THE RECORD STRAIGHT ON GHIMS DEPLOYMENT AND USAGE.
The Management of Cape Coast Teaching Hospital (CCTH) has noted with concern a recent publication by Fact-Check Ghana suggesting that the Ghana Health Information Management System (GI-IIMS) has not been rolled out or is not in use at the hospital. This assertion is inaccurate and does not reflect the true status of digital health implementation at CCTH.
I. GHIMS IS ACTIVELY DEPLOYED AND IN USE IN KEY CLINICAL UNITS
GHIMS has been successfully deployed and is actively being used within the hospital. At present, five (5) major clinical units are fully live on the system and using it daily for patient care, documentation, diagnostics flow, pharmacy processes. and billing.
The operational units include:
 Polyclinic OPD
 Specialist Pharmacy
 Child Health OPD
 Family Medicine OPD
 Dental, Eye and ENT Unit (DEENT)
These departments constitute some of the hospital's busiest patient service points, and their successful transition to GHIMS demonstrates the hospital's commitment to strengthening digital-enabled care.
2. REMAINING DEPARTMENTS HAVE BEEN TRAINED AND ARE COMMENCING UTILISATION.
All additional departments earmarked for onboarding are undergoing their staff training sessions. These units are currently in the process of commencing live utilization under the supervision and support of the hospital's implementation team and technical partners.
This phased roll-out approach is intentional, ensuring:
 Full staff readiness
 Smooth workflow transition
 Minimal service disruption
 High-quality data capture from day one
At no point has any department refused, rejected. or abandoned GHIMS.
3. FACT-CHECK GHANA'S REPORT DID NOT REFLECT VERIFIED INFORMATION
The hospital wishes to clarify that Fact-Check Ghana did not contact CCTH for verification before publishing the claims. As a result, the report misrepresented the hospital's operational reality and inadvertently misled the public.
For transparency and accuracy, CCTH remains available to all media outlets, civil society institutions, and fact-checking bodies for clarification at any time.
4. OUR COMMITMENT REMAINS UNWAVERING
Cape Coast Teaching Hospital reaffirms its strong commitment to supporting the Ministry of Health's national digital transformation programme.  GHIMS is a major enabler of:
 Improved clinical efficiency
 Better patient record management
 Enhanced diagnostic and pharmacy workflows
 Stronger data-driven decision-making
 Transparent billing and claims processes
CCTH will continue expanding utilization until every department is fully live and integrated, it1 line with national digital health standards.
Issued by:
Public Relations Officer
Cape Coast Teaching Hospital November 20, 2025
JKB/AE
'He wanted sex'  Woman assaulted by husband in viral video recounts ordeal",,Health, 20 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/GHIMS-fully-operational-deployed-in-key-critical-units-CCTH-clarifies-2010346
"Health ministry recruits 13,500 nurses and midwives","The Ministry of Health has successfully recruited 13,500 nurses and midwives, a move described by Health Minister Kwabena Mintah Akandoh as a major boost to Ghanas health workforce.
Speaking at the 19th Biennial Conference of the Ghana Registered Nurses and Midwives Association (GRNMA) in Tamale on Wednesday, November 19, 2025, Akandoh said all newly recruited personnel who have experienced delays in receiving their salaries will be paid by the end of the month.
He explained that the recruitment forms part of a broader strategy to strengthen frontline healthcare delivery, particularly under the Free Primary Healthcare and Mahama Cares initiatives, emphasising that nurses and midwives are central to the success of these programmes.
GHIMS fully deployed at Cape Coast Teaching Hospital  Health minister announces
In 2025, the Mahama administration successfully concluded the recruitment process initiated by the previous government, enrolling 13,500 nurses and midwives into the government payroll. I am pleased to announce that by the end of this month, all individuals whose salary processes experienced delays will receive their first payment, he indicated.
Akandoh also noted that the government is considering the negotiated Conditions of Service for inclusion in the 2026 Budget, highlighting its commitment to the welfare of health professionals.
The government has strongly considered the negotiated Conditions of Service for implementation in the 2026 budget. This reflects our commitment to continuity, fairness, and the well-being of nurses and midwives, he said.
Health minister requests amnesty for nurse queried by GHS over protest rant
He stressed the importance of ongoing collaboration between the Ministry, labour institutions, and the GRNMA to address issues such as deployment, specialist training, and workforce stabilitypartnerships he said are key to improving healthcare delivery across the country.
MRA/BAI
More women might come out against you if you go to court Lawyer warns Prof Gyampo",,Health, 20 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Health-ministry-recruits-13-500-nurses-and-midwives-2010213
Ghana on high alert as Marburg virus outbreak in Ethiopia sparks precautions,"The
Ghana Health Service
(GHS) has issued a press release announcing that the Ministry of Health is closely monitoring reports of a confirmed Marburg virus disease outbreak in Ethiopia.
According to the Ethiopian Public Health Institute (EPHI), nine cases and three deaths had been reported as of November 14, 2025.
Due to frequent travel between Ghana and Ethiopia, the Ministry of Health and its agencies are taking preventive measures to ensure the safety of Ghanaians.
These measures include heightened surveillance at points of entry, issuing alerts to all regions and health facilities, activating public health emergency response structures, and engaging with One Health partners such as the Veterinary Services Directorate and the Wildlife Division of the Forestry Commission.
The Marburg virus disease, caused by the Marburg virus, can be transmitted from animals to humans and between humans. Symptoms include fever, bloody diarrhoea, bleeding from the gums, into the skin, into the eyes, and bloody urine.
The incubation period ranges from 2 to 21 days, and treatment is symptomatic, with no vaccine currently available.
The public is advised to watch out for these symptoms and report to the nearest health facility if they occur.
Basic infection prevention and control measures, such as regular hand hygiene and avoiding contact with sick individuals or animals showing symptoms of bleeding, are recommended.
Dr. Samuel Kaba Akoriyea, Acting Director-General of the GHS, assures the public that all necessary measures are being taken to ensure safety.",,Health, 20 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Ghana-on-high-alert-as-Marburg-virus-outbreak-in-Ethiopia-sparks-precautions-2010205
"Safe Water Network Ghana marks World Toilet Day 2025, calls for stronger action on sanitation","Safe Water Network Ghana (SWN) has joined the global community to commemorate World Toilet Day 2025, calling for renewed commitment to expand access to safe toilets and improve sanitation nationwide.
This years observance, marked on November 19, 2025, under the theme Well Always Need the Toilet, highlights the critical need to protect and invest in sanitation systems as communities face increasing pressure from population growth, infrastructure gaps, and climate change.
In a statement, SWN underscored that sanitation remains an essential human need and not a privilege. Despite progress made over the years, many households and institutions across the country continue to struggle with access to clean and reliable sanitation services, largely due to limited water supply.
Through its work to expand safe, affordable, and reliable water services, SWN is helping to bridge the sanitation gap, particularly in underserved communities.
The organization has so far extended piped water connections to more than 15,000 households, schools, clinics, and small businesses across Ghana, reaching over 600,000 people.
These improved water systems are enabling communities to maintain cleaner environments, strengthen public health, and build resilience against climate-related challenges.
Safe water and sanitation are inseparable. Every piped connection we deliver brings us closer to a future where every household and institution can maintain clean, dignified, and sustainable sanitation, said Charles Nimako, Country Director of Safe Water Network Ghana.
As part of World Toilet Day 2025, SWN reaffirmed its commitment to working closely with government, private-sector partners, and local communities to accelerate national efforts toward universal access to safe water and sanitation.
The organisation also expressed appreciation to its partnersthe Government of Ghana, Stone Family Foundation, Conrad N. Hilton Foundation, One Foundation, Helmsley Charitable Trust, and Uptime Globalfor their continued support in driving progress toward improved water and sanitation outcomes.
SWN emphasised that achieving a future where every Ghanaian enjoys clean, safe, and dignified sanitation services requires sustained collaboration and investment.", George Owusu,Health, 19 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Safe-Water-Network-Ghana-marks-World-Toilet-Day-2025-calls-for-stronger-action-on-sanitation-2010076
Watch as children with cancer receive unforgettable surprise at Korle-Bu,"The children at the Korle-Bu Teaching Hospital received an unforgettable surprise when Leonardo Muylaert, the internationally acclaimed Brazilian Superman, visited the pediatric cancer ward during his first mission to Ghana.
Dressed in his signature Superman suit, Leonardo brought more than just the look of a hero; he brought the heart of one. Moving quietly from bed to bed, he knelt beside each child, offering warm hugs, listening to their stories, and reminding them that hope is powerful even on the hardest days. The children lit up with excitement as he held their hands, took photos with them, and spoke words of encouragement to their families.
For many of the young patients, this moment was a boost of courage. Parents and nurses described the atmosphere as joyful, comforting, and unexpectedly healing. His presence filled the ward with laughter, wonder, and renewed strength.
Lifeline for Childhood Cancer Ghana was honoured to welcome him. His visit reaffirmed the power of compassion and the importance of standing with children and families fighting cancer.
As one nurse said, For a moment, they forgot about treatment; they just smiled. And that is a kind of healing too.
Watch the video below:",,Health, 18 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Watch-as-children-with-cancer-receive-unforgettable-surprise-at-Korle-Bu-2010022
Here is the percentage of adult Ghanaians who cannot afford healthy meals,"Professor Anna Lartey, a nutrition expert at the University of Ghana, has disclosed that up to 65 percent of adult Ghanaians cannot afford healthy meals.
According to a report by graphic.com.gh. Prof Anna Lartey made this known at a recent sensitisation workshop in Accra titled Beyond the Dialogues: Tracking Ghanas Commitments to Transform Its Food Systems.
""Up to 65 per cent of adult Ghanaians are unable to afford a healthy diet daily. The recommended healthy diets consist of half a plate of vegetables and fruit, a quarter of a plate of carbohydrates, and another quarter of protein,"" she noted.
One-day sensitization workshop on food systems ends in Accra
Prof Lartey said healthy foods are often more expensive than junk foods, which drives many people to choose the latter.
She pointed out that fruits and vegetables cost significantly more than sugar-laced drinks and fast foods, which are widely available on almost every street corner.
She warned that such unhealthy eating habits have serious consequences, citing them as major contributors to non-communicable diseases (NCDs) and other health issues in Ghana.
According to Prof Lartey, who also serves as Project Co-Principal Investigator, the food environment heavily influences food choices, and the current environment does not support healthy options.
Ghanas food landscape set for a fresh taste with much-anticipated 'Gastro Feastival'
She stressed that, Ghana made several commitments to improve its food systems to ensure better health outcomes. We have had the dialogues; now it is time for action. We must ask ourselves what steps are being taken to fulfil these commitments.
The workshop was organised by the University of Ghana School of Public Health, with support from the National Development Planning Commission (NDPC), the Ministry of Food and Agriculture, and the Ghana Statistical Services (GSS), the report said.
JKB/EB
El-Wak Tragedy: Watch Pusiga MP's remarks that caused a stir in Parliament",,Health, 17 November 2025,https://www.ghanaweb.com/GhanaHomePage/health/Here-is-the-percentage-of-adult-Ghanaians-who-cannot-afford-healthy-meals-2009804
