title,content,author,category,published_date,page_url
Expect no real change  Former Minister critiques Mahamas first two budgets,"Former Minister of Information under the previous administration and lawyer, Hon. Fatimatu Abubakar has cast doubt on the ability of President John Mahama’s administration to deliver meaningful economic change, stating that the first two budgets presented offer no indication of improvement in the lives of ordinary Ghanaians. “What I am seeing now with the first and second budgets is that nothing is coming,” she said. “Those hoping for change will be disappointed.” She stressed. According to her, the administration’s priorities appear misplaced, and economic relief measures, including a possible reduction in electricity tariffs, seem unlikely.“They will not reduce electricity tariffs,” she noted. “Instead, they are using money meant for the 24-hour economy initiative to purchase a private jet.” She argued that the heavy focus on high-profile prosecutions is politically motivated and has little to do with genuine economic reform. “All the prosecutions going on are just to keep the media busy,” she claimed. “We already know how the court issues will end because politics is everywhere.” Abubakar said the government’s current posture suggests more attention is being placed on erasing the achievements of the previous administration than on building a credible economic recovery plan. “What is happening is an attempt to wipe off the legacy of the previous administration,” she said.  Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Stephen Zoure,News,"December 9, 2025",https://www.mynewsgh.com/expect-no-real-change-former-minister-critiques-mahamas-first-two-budgets/
Fatimatu Abubakar warns of growing threat to independent state institutions,"Hon. Fatimatu Abubakar, a former Information Minister, has expressed deep concern about what she believes is a growing threat to the independence of Ghana’s constitutional and state institutions under the current administration. According to her, Ghana’s political space has become so polarised that each change in government leads to an unhealthy scramble by public institutions to prove loyalty to the new regime.“When a new government comes, there is that desire to fall on each other just to please the current administration so that they will not be touched,” she said. “Even in constitutional and independent bodies, the pressure to show loyalty is becoming dangerous.” She disclosed. She pointed to recent actions by the Office of the Special Prosecutor (OSP) as an example of what she described as excessive political enthusiasm. “They are making it look as if they couldn’t work under the previous government,” she explained. “But I don’t even know that office. If I were going there, I would need Google Maps. They had funding and resources in the past and didn’t do much, but suddenly they are acting as though Akufo-Addo forced them not to work.” The private legal practitioner added. Abubakar warned that any government seeking to consolidate all arms of state power, especially without room for dissent, poses a risk to democratic stability.“This is very dangerous for this country because any leader seeking to consolidate all the arms of government without room for defence is embarking on a suicide mission,” she stressed. She contrasted the conduct of the current administration with former President Akufo-Addo’s decision to appoint Martin Amidu as the first Special Prosecutor. “When Akufo-Addo appointed Martin Amidu, people criticised it,” she recalled. “But the President wasn’t looking for someone he could influence. He wanted someone competent, someone who wouldn’t bow to pressure.” She stressed. Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Stephen Zoure,News,"December 9, 2025",https://www.mynewsgh.com/fatimatu-abubakar-warns-of-growing-threat-to-independent-state-institutions/
Mahama using 24-Hour economy funds to buy private jet  Hon. Fatimatu Abubakar,"Ghanaian politician and lawyer, Hon. Fatimatu Abubakar, has accused President John Mahama of misusing funds allocated to the 24-hour economy initiative, claiming that part of the money has been diverted to purchase a private jet. Speaking in an interview on Movement TV monitored by MyNewsGh.com, she alleged that the new administration was already showing signs of misplacement of priorities. “Those who were expecting change should forget it,” she asserted. “They are using some of the 24-hour economy money to buy a private jet. They won’t be able to reduce electricity tariffs, and nothing significant will happen with these first and second budgets.” She claimed According to her, the prosecutions currently happening under the Mahama administration are merely intended to create media noise without real impact. “All the prosecutions are just making the media busy,” she said. “We already know how these court issues will end because politics has taken over everything. You don’t even need to read petitions or hear both sides; the ending is predictable.” She added She warned that the pattern of governance emerging under the new administration reflects an attempt to completely dismantle the legacy of former President Akufo-Addo.“What is happening under this administration is that they totally want to wipe off the legacy of the previous government,” she insisted.  Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Stephen Zoure,News,"December 9, 2025",https://www.mynewsgh.com/mahama-using-24-hour-economy-funds-to-buy-private-jet-hon-fatimatu-abubakar/
Bawumia hails Star Oils adoption of credit system in fuel purchasing,"Former Vice President of Ghana, Dr Mahamudu Bawumia, has congratulated Star Oil Ghana Limited for buying into his idea, which was massively rejected by the Ghanaian people. According to him, although skeptics did not see it as possible when he launched the initiative, a credit economy is so vital in making life a lot less stressful for many people in advanced economies. He explained that Ghana has already laid the critical foundational pillars to underpin an efficient credit economy using the Ghanacard as an anchor, and supported by pillars such as the digital address system, the interoperable mobile money payment system, and the individualized credit scoring system. The former vice president said he’s looking forward to other OMCs replicating what Star Oil has introduced. I congratulate StarOil Ghana Ltd, and its bold and visionary CEO, for launching their Fuel Now, Pay Later scheme today, which makes it possible for Ghanaians, especially drivers, to be able to buy fuel on credit using their Ghanacard through the individualised credit scoring system. When I launched this initiative last year, many skeptics did not see it as possible. A credit economy is so vital in making life a lot less stressful for many people in advanced economies. Thankfully, in Ghana we have put in place the critical foundational pillars to underpin an efficient credit economy using the Ghanacard as an anchor, and supported by pillars such as the digital address system, our interoperable mobile money payment system, and the individualized credit scoring system. I look forward to other OMCs and businesses embracing the individualised credit scoring system to give Ghanaian workers the much-needed option of buying goods and services on credit and paying for them with ease through their Ghanacard and credit score as Star Oil Ghana has done. Ayekoo to Star Oil Ghana !!! #ItIsPossible Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Ayeh Offei-Akoto,Politics,"December 9, 2025",https://www.mynewsgh.com/bawumia-hails-star-oils-adoption-of-credit-system-in-fuel-purchasing/
Parliament formally notifies EC of vacancy for Kpandai rerun,"The Clerk to Parliament, Ebenezer Ahumah Djietror, has formally notified the Electoral Commission (EC) of a vacancy in the membership of Parliament following a High Court order directing a rerun of the Kpandai Parliamentary Elections. In a letter addressed to EC Chairperson Mrs. Jean Mensa and dated December 4, 2025, the Clerk stated: “I, EBENEZER AHUMAH DJIETROR, the Clerk to Parliament, DO HEREBY FORMALLY NOTIFY you of the occurrence of a vacancy in the membership of Parliament, occasioned by the Order of the High Court, Tamale, for a rerun of the Kpandai Parliamentary Elections, given on the 24th day of November, 2025.” The notification follows the service of a court order identifying him as the 4th Respondent in the case Suit Numbered: NR/TL/HC/E13/22/25, with the Clerk noting, “Accordingly, notice is hereby given.”   Meanwhile, sitting Kpandai MP Mathew Nyindam has ‘ran’ to the Supreme Court seeking to overturn the High Court’s annulment of his December 2024 parliamentary victory. Nyindam argues that the High Court lacked jurisdiction to entertain the petition filed by NDC candidate Daniel Nsala Wakpal, insisting that the challenge was filed out of time. Under Section 18 of the Representation of the People Law, 1992, election petitions must be filed within 21 days of gazetting results; however, Wakpal’s petition was filed 32 days after the gazette. In his affidavit, Nyindam contends: “The Parliamentary Election Petition filed by the 1st Interested Party on 25th January 2025… was invalid and could not have properly invoked the jurisdiction of the High Court.” The High Court ruling on November 24, 2025, annulled the results and ordered a rerun—triggering the Clerk’s letter to the Electoral Commission. Nyindam is now seeking certiorari to quash the judgment and related proceedings. The Supreme Court is expected to hear the matter on December 16, 2025 as the legal dispute surrounding the Kpandai seat deepens. Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Gabs,Politics,"December 8, 2025",https://www.mynewsgh.com/parliament-formally-notifies-ec-of-vacancy-for-kpandai-rerun/
Please dont let him down  KSM urges Mahamas team to prioritise service over self-interest,"Kwaku Sintim-Misa (KSM) has also called on appointees serving under President John Dramani Mahama to demonstrate loyalty, discipline and integrity as the administration returns to office. He said the president cannot deliver on his mandate without the full support of his team. According to him, “he has come back and Ghanaians are saying we believe in you… but he can’t do it alone. “He needs his appointees to back him.” KSM appealed to the president’s team, saying, “please, don’t let him down.” He urged appointees to focus on doing genuine work, emphasising that any benefits that come from good service are acceptable, but should never be the objective. “There’s a difference between when you do some good work and some dividends come out of the good work… enjoy the dividends,” he said on his Unfiltered show during an interview with Bridget Otoo,. “But don’t go into it with an agenda to loot.” KSM stressed that he would personally call out officials who misuse their positions. “The only time I mention names is when I see a looter,” he said. “Then I’ll come and tell JM, ‘Let this man go.’” He added that with public trust renewed, the administration’s success will hinge on appointees who “know what he’s looking for and back him.” Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Caroaryee,Politics,"December 8, 2025",https://www.mynewsgh.com/please-dont-let-him-down-ksm-urges-mahamas-team-to-prioritise-service-over-self-interest/
Shine your eyes  KSM cautions Mahama against liabilities dressed as assets,"Kwaku Sintim-Misa (KSM) has cautioned President John Dramani Mahama to be vigilant about individuals who may present themselves as assets while posing real threats to his administration. Speaking on his Unfiltered show monitored by MyNewsGh, KSM said political leaders often face the danger of “liabilities dressed as assets.” He stated that, “the most dangerous thing you can encounter is when a liability comes dressed as an asset.” KSM added that once a leader assumes office, “you have all these liabilities who will come to you dressed as assets… and trust me, they are liabilities.” According to him, President Mahama “should shine his eye and take them out when he spots the liabilities immediately.” He claimed that such individuals do not contribute meaningfully to leadership but instead “drain you and take away.” KSM referenced past political experiences to illustrate his point. He pointed to Ken Ofori-Atta as an example, describing him as “one of the most perfect liabilities ever that came dressed as an asset,” adding that although he publicly quoted the Bible and projected virtue, “he was the biggest, if not the biggest liability… a sanctimonious fraud.” He urged the president to maintain vigilance throughout his term, stressing that opportunists often occupy various portfolios and positions. “They don’t even have to be the minister of finance,” he said. “Wherever they are, they can still cause damage.” Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Caroaryee,Politics,"December 8, 2025",https://www.mynewsgh.com/shine-your-eyes-ksm-cautions-mahama-against-liabilities-dressed-as-assets/
"Stop the distractions, focus on your promises  Dennis Aboagye to NDC","Dennis Miracles Aboagye, spokesperson for former Vice President Dr Mahamudu Bawumia, has urged the NDC government to focus on addressing national challenges instead of luxurious spending. “You said buying a plane was wrong because the country was poor. The country listens to you, trusts and votes massively for you. “Then under 11 months, you turn around to buy a more expensive Presidential jet. And you think this is funny?” Aboagye questioned in a post on Facebook sighted by MyNewsGh. He accused the government of neglecting critical public services while engaging in what he described as frivolous expenditures. “At the time you want to buy this luxurious Presidential jet, the nurses and teachers you promised automatic postings are still at home. You have terminated the employment of about 35,000 young Ghanaians as they struggle to survive on a daily basis,” he said. Aboagye also highlighted the economic strain on citizens. “You have burdened the citizens with over 28% increase in utilities. Inflation is down and the dollar is down and yet prices of goods are at an unprecedented high. Cost of living keeps rising,” he noted. He warned the government against ignoring public expectations, stressing the need for accountability. “Some of us are not surprised because we always knew what you were. Get serious, stop the distraction, and focus on delivering the promises you made to the people. Spending $60 million on a Presidential jet now is a sin, a crime, disrespectful to the people,” Aboagye concluded. Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Caroaryee,Politics,"December 8, 2025",https://www.mynewsgh.com/stop-the-distractions-focus-on-your-promises-dennis-aboagye-to-ndc/
Miracles Aboagye slams $60 million presidential jet purchase,"The spokesperson for former Vice President Dr Mahamudu Bawumia, Dennis Miracles Aboagye, has strongly criticised the ruling National Democratic Congress (NDC) over the purchase of a new Presidential jet. “It’s time for the NDC and its footsoldiers to stop the jokes and take this country seriously. The grace period is over, and the future of this country is at stake,” he said. Aboagye highlighted the government’s apparent reversal on its stance regarding presidential air travel. “You said renting a plane was wrong because the current presidential jet was in pristine condition. You said buying a plane was wrong because the country was poor. “Then under 11 months, you turn around to buy a more expensive Presidential jet for the President to bath and cook in the air? And you think this is funny?” He argued that such spending comes at the expense of essential public services. “At the time you want to buy this luxurious Presidential jet, you still have the nurses and teachers you promised automatic postings still at home. “You have burdened the citizens with over 28% increase in utilities. Inflation is down and dollar is down and yet prices of goods are at an unprecedented high. Cost of living keeps rising,” Aboagye stated. The opposition representative called on the government to focus on fulfilling its electoral promises. “Get serious, stop the distraction and focus on the job, focus on delivering on the specific promises you made to the people. “Spending $60 million to buy a Presidential jet at this time when you spoke against it barely 11 months ago is a sin, a crime, disrespectful to the people. Time is up, get to work, the citizens are suffering!” Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Caroaryee,Politics,"December 8, 2025",https://www.mynewsgh.com/miracles-aboagye-slams-60-million-presidential-jet-purchase/
Theres no record of threats on the life of the Special ProsecutorInterior Ministry,"Ghana’s Interior Ministry has disclosed that the Special Prosecutor did not report any attempt on his life to the police or any security agencies in the country. According to a statement from the ministry, the special prosecutor, when contacted on the matter, disclosed that the attempts were in the past and not this year. The minister has therefore ordered a probe into the threats on his life and other allegations made by the Director of Strategy and Communications at the Office of the Special Prosecutor. The statement said, “Initial contacts with Mr Kissi Agyebeng have revealed that the assassination attempts on him, as claimed, happened before this year. There is no record or report of such threats against his life at any police station or at any of the state security agencies in the country.” Adding that “Since crime does not expire, the Ministry has ordered a full-scale investigation into the claim of assassination attempts. The Ministry has also ordered an investigation into the claim by Mr Samuel Appiah Darko that he was handcuffed and beaten by 17 police personnel”. Source: MyNewsGh.com Thanks for reading from MyNewsGH as a news publishing website from Ghana. You are free to share this story via the various social media platforms and follow us on; Facebook, TikTok, Twitter, Instagram etc.",Ayeh Offei-Akoto,Politics,"December 8, 2025",https://www.mynewsgh.com/theres-no-record-of-threats-on-the-life-of-the-special-prosecutor-interior-ministry/
