title,content,author,category,published_date,page_url
Editorial by Ghanaian Times: Let's support EC to conduct credible elections!,"The pledge by the
Electoral Commission
(EC) to Ghanaians that it will conduct itself in truth and integrity and organise fair, credible, transparent and peaceful elections come December 7, 2024, and gives the assurance that, We will not let you down is a life-saving promise.
Since 1992, when party politics was reintroduced in the country after 11 years of military rule, this promise has been given by the EC every year and in spite of some issues raised by certain political parties and individuals, to a large extent, this has always been upheld.
Therefore, the Ghanaian Times believes that all the stakeholders in this years elections would play their respective roles for the country to once again acquits itself as a place where peace and tranquillity are treasured, a place where the noise is made but at the end of the day the dust settles.
The sages say Well done is better than well said.
This is to tell the EC that much controversy has been created around it and it would take the free and fair conduct of these elections to prove its integrity to the whole world that it is really the credible electoral referee that the whole world knows it to be.
After all, all things being equal, elections are about the opportunity given to the people to express their will as to who should govern them at a particular period and so any attempt to undermine that will to choose is a subversion of democracy.
Even though the EC is an institution, it is made up of people who have political affiliations as other citizens but it can be indisputably said that over the years, the commissioners leading the EC have proven themselves to be objective, fair, and men and women of integrity.
Such conduct is what has stemmed electoral violence in the country and earned it the accolade a beacon of hope with regard to the growth of democracy in Africa.
As in past election years, this year too calls for the best decisions and actions that respond to the exigencies of the day to ensure victory for the whole country and for peace and unity to continue to reign in the country.
One of such decision and action is for the EC to take a stance to have a listening ear even if it knows very well that something being said about it is false.
Let the EC give every accuser the benefit of the doubt to prove its case or get to the point of the accuser swallowing his or her words.
The EC should also stick to the notion that even though there has not been large-scale electoral violence in the country before, the isolated cases over the years indicate that any careless conduct on its part can spell doom.
While we plead with the EC to conduct itself well as it has promised, we also appeal to all the stakeholders in this years elections, particularly the political parties and the die-hard supporters to have cool heads.
The parties should do the needful in terms of having well-orientated supporters to monitor the voting and the counting of the ballots, not people who would cry foul where there is no need to.
We also appeal to security personnel to prevent ballot box snatching and other electoral vices, as well as ward off party members whose actions can spark controversy.
The media too should be circumspect in their report about the election in order not to incite people to violence.
To the citizens, particularly the voters, we say after voting, leave the polling station and come back only to observe the counting of the ballots if you so wish.
Let everyone in the country conduct themselves well before, during, and after the elections for peace in the country to prevail and for the whole world to once again say, Well done, Ghana.
The benefits of violence-free elections in Ghana are clear  peace, unity, more investment, and progress.",,Editorial, 24 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-Let-s-support-EC-to-conduct-credible-elections-1952247
Editorial by Ghanaian Times: Curb air pollution to boost public health,"The Environmental Protection Agency (EPA) has called for concerted efforts among stakeholders to curb the increasing levels of air pollution in the Greater Accra Region to protect public health.
Unfortunately, the EPA has not been specific as to who these stakeholders are, but the Ghanaian Times can guess some of them, using information on the causes, management, and regulation of air pollution.
Generally, air pollution is caused by solid and liquid particles and certain gases that are suspended in the air.
These particles (aerosols) and gases can come from food joints, vehicle truck exhaust, factories, dust, pollen, mold spores, volcanoes, and wildfires.
In Ghana and, for that matter, the Greater Accra Region, poor air quality is mainly caused by cooking using wood and charcoal, improper disposal of both solid and liquid waste, road transport, slash-and-burn methods of farming, open waste burning, energy generation, accidental fires, and industry.
Thus, the stakeholders include regulators like EPA itself, the Metropolitan Municipal and District Assemblies (MMAs); companies and individuals that own vehicles; farmers, factories, markets, chop bars, and restaurant operators, as well as members of the general public; and waste management companies like Zoomlion.
In Accra, sometimes one wonders why refuse gathered at the markets and elsewhere are left to stink before it is collected.
Besides, there are places in Accra such as Achimota Old Station, precisely the EPP Bookshop area, which stinks because food vendors there pour liquid and solid wastes into the gutters around.
Once the stakeholders are identified, it becomes easier to prompt them to be careful with and about their activities, actions, and inaction which pollute the air such as refusing to fix faulty exhausts that emit thick smoke into the atmosphere.
This reminds us of the police too being stakeholders in dealing with air pollution, particularly in road transport.
Sometimes, some stakeholders discount certain acts as insignificant but at the end of it all, their effects are serious health risks.
Think of residents who throw refuse, even food leftovers, rotten protein products, and dead animals, into drains.
Since air pollution continues to fuel health challenges, there is really the need for the EPA and the MMDAs to bring in the required interventions.
Such interventions, obviously, are meant to ensure that people breathe in quality air.
Therefore, the call by the EPA for air quality management plans should be taken seriously by all those the Ghanaian Times would describe as frontline stakeholders  the Government and its agencies like the EPA, the MMDAs, and the Public Health Department of the Ghana Health Service.
Luckily, there is the Breathe Accra initiative and its Clean Air Fund (CAF) to support the 15 Metropolitan and Municipal Assemblies in Accra to develop Air Quality Action Plans.
The Breathe Accra initiative is a project aimed at empowering communities in the Greater Accra Region to combat air pollution and climate emission.
It is expected that through air quality management activities, the MMDAs would be able to increase awareness, knowledge, and understanding of air quality among decision-makers, stakeholders, and members of the public to help rein in air pollution in the Greater Accra Region.
Hopefully, the Breathe Accra initiative will be a success that can be replicated in other regions where air pollution is a serious problem.",,Editorial, 20 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-Curb-air-pollution-to-boost-public-health-1951699
Editorial by Ghanaian Times: Make LEAN attract similar projects to conserve countrys biodiversity,"It is good news that there is a formal private effort in the afforestation drive in the country.
In 2020, the Landscape Environmental Agility Across the Nation (LEAN) project was launched.
LEAN is a four-year project funded by the European Union (EU)s flagship Global Climate Change Alliance Plus (GCCA+) initiative and aims to conserve biodiversity, build climate resilience, and reduce emissions from land-use changes in the savannah, high forest, and transition zones of the country.
Besides, it helps local farmers to improve their livelihoods.
As envisaged and scheduled, the LEAN has been implemented on the ground by a consortium of four local and international NGOs with expertise in these challenging fields, namely the Rainforest Alliance, World Vision Ghana, Tropenbos Ghana, and EcoCare Ghana.
The project seeks to address three structural barriers that have historically hindered efforts by governments, civil society organisations, and the private sector to halt land degradation and deforestation through the uptake of landscape approaches.
It is said that although there is growing recognition of the importance of landscape approaches in addressing sustainability challenges, there is still a lack of effective tools, resources, and incentives to drive aligned action at the expected scale.
It is on the basis of this that the LEAN project sought to work alongside all stakeholders to mobilise and effectively deploy resources and tools that would support targeted sustainability interventions.
Set to end on October 31, 2024, the LEAN focused on the Savanna, high forest, and transitional zones of Ghana by supporting local farmers in improving their livelihoods.
It has more than 5,000 beneficiaries currently.
The initiative encourages smallholder farmers to adopt more sustainable farming and forest management practices, with added market incentives to diversify rural income opportunities.
So far, more than 600,000 tree seedlings have been planted across 13 communities in the transitional zones of the Bono East and Ashanti regions in the last four years to restore degraded forest areas.
The EUs GCCA+ funded the $5-million afforestation drive.
The Ghanaian Times sees the three-day verification visit last week by the four consortium partners  ECOCare Ghana, Tropenbos Ghana, Rainforest Alliance, and World Vision Ghana  to the beneficiary communities as an evaluation undertaking since the project has almost come to an end.
It is hoped that the visit can affirm the accomplishment of the targets set or otherwise, it would point out whatever is left to be done so that at the end of it all, it will be celebrated and those behind it hailed as having contributed to the governments efforts in conserving the countrys biodiversity, enhancing climate change resilience, and reducing carbon emissions from land use.
It is everyones hope that the Landscape Management Boards (LMBs) formed to take over the running of the project when it folds up would not let the country down.
Hopefully, they would discharge the duties such that other development partners would come in to initiate similar projects in other parts of the country.
The EU and the Rainforest Alliance, World Vision Ghana, Tropenbos Ghana, and EcoCare Ghana in particular, as well as others behind the LEAN project, deserve all the commendation for, undoubtedly, seeing to the successful end of the project they launched in 2020.",,Editorial, 19 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-Make-LEAN-attract-similar-projects-to-conserve-country-s-biodiversity-1951517
Editorial by Ghanaian Times: ECOWAS food donation timely but...,"The country must be grateful to the Economic Community of West African States (ECOWAS) for its food donation.
Under its Regional Food Security Reserve programme, the regional bloc yesterday handed over 500 metric tonnes of cereals to the Ministry of Food and Agriculture (MOFA).
The cereals made up of 4,327 bags of maize, 2,015 bags of sorghum, 200 bags of millet, and 3,458 bags of rice, are to be distributed as food grants to eight regions in Ghana experiencing drought-disrupting crop production.
The beneficiary regions are Northern, Upper East, North East, Savannah, Upper West, Bono, Bono East, and Oti.
In recent weeks, it has, for instance, been reported that the Upper West Region is facing a severe crisis as a prolonged drought has caused crops to wither.
The ECOWAS donation did not come by accident as the Regional Food Security Reserve (RFSR) was created in 2013 by a Supplementary Act to the revised ECOWAS Treaty, as usual, with clear objectives.
The RFSR is a regional solidarity mechanism for Member States to improve the response to food and nutrition crises at the local, national, and regional levels; reduce dependence on international aid; and promote a storage system geared towards emergency response.
The history of the RFSR has its roots in the food crises that emerged in the 1980s in West Africa, with the severity in the Sahel countries like Mali and Chad.
If nothing at all, since natural forces can derail crop production at any time, all ECOWAS countries should have learned to embrace the third objective of the RFSR, which is promoting a storage system geared towards emergency response.
This is where the Ghanaian Times thinks successive political administrations of this country have failed the people.
Receiving the ECOWAS donation yesterday, the Minister of Food and Agriculture,
Bryan Acheampong
, made a plea for an additional 10,000 tonnes of the cereals to help strengthen the resilience of populations affected by the difficult food situation.
The plea is not the problem but his pledge that in order to store the foods, the government would build a 100,000-tonne capacity silo in each region to store grains yearly to cushion farmers during the dry season.
If the Ghanaian Times got him right, there is only an 80,000 metric tonne-capacity warehouse existing in the country, and as the minister himself testifies to it, this is insufficient, hence the need to build 100,000-tonne silos or warehouses for grain reserves in every region of the country.
It is an open secret in the country that the politicians ignore providing certain facilities until crisis time when they bring them in as interventions to score political marks.
This is a poor approach to national development and service to the people, particularly the vulnerable who would have no one to turn to for help when particular crises erupt and affect them.
There are less than three months to elections and it shouldnt surprise anyone that the pledge to build silos can be a campaign promise.
The countrys managers should be proactive rather than adopting the fire-fighting approach to solving problems, which rather exposes their negligence, ineptitude, insensitivity, carelessness, and all the related negative attitudes toward their duties and the people they should serve.",,Editorial, 18 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-ECOWAS-food-donation-timely-but-1951312
Editorial by Ghanaian Times: CRIs new vegetable varieties hope for food security,"Two new varieties of tomato and the varieties of okra and amaranth (locally known as alefu) developed by researchers at the Crop Research Institute (CRI) of the Council for Scientific and Industrial Research (CSIR) give hope for ensuring food security in the country.
This is because the researchers assert that the new varieties have high yields and can withstand drought and other climate change conditions in the country.
It is the hope of the Ghanaian Times that the researchers would extend their work to other crops like fruits and carbohydrates.
It is clear climate change conditions are catching up with the country and going to undermine food production among other impacts.
For instance, over a month ago, there were media reports that food shortage looms in the Upper West Region because the region is facing a prolonged drought.
The second reason why the researchers must extend their work to other food crops is the rapid growth of the countrys population, which implies that there would be more mouths to feed in no time.
Just analyse the fact that in 1970, the countrys population was 8.5 million; 1980, 11.87 million; 1990, 15.45 million; 2000, 19.67 million; 2010, 25.57 million; 2020, 32.18 million; and currently (mid-year 2024), the population is estimated at 34. 43 million.
Meanwhile, the growth of communities has reduced the size of the land available for farming in years past, when the land was naturally fertile and far in excess of demand.
Today, the pressure on the land means it has become infertile and needs to be fertilised for optimum yields.
Besides the land is dwindling in size and has become infertile, the demon called galamsey continues to devastate it.
All this means the state must be proactive in finding the antidotes to the imminent national food shortage in the near future.
Clearly, the antidotes include the development of crop varieties that can give more yields on a small land.
This means even though the development of new food varieties is not new in the world, the CRI researchers have rekindled the need for the country to do all it can to nip in the bud any possibility of food shortage in the country.
Imagine that domestic demand for fresh tomatoes in the country stands at 1.2 million metric tonnes per year, but local farmers are able to produce only 30 percent of the quantity.
Clearly, food shortages result from production issues, which include the unavailability of irrigation systems and lack of inputs like fertiliser and or their unaffordability.
Therefore, the government must take seriously the call to focus on irrigation farming to ensure all-year production of all manner of food crops to meet local consumption.
The appeal from farmers to the government to reduce the cost of fertilisers and pesticides must also be seriously considered.
It is everyones expectation that the project under which the CRI researchers are working will be successful as it has prospects to combat threats posed by climate change, which affect vegetable production and hopefully, one day other crops will also be protected from negative climate change effects.
This can enormously ensure food security in the country.",,Editorial, 17 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-CRI-s-new-vegetable-varieties-hope-for-food-security-1951130
Editorial by Ghanaian Times: Chinese Ambassadors advice critical to galamsey fight,"Public anger against illegal mining, otherwise known as galamsey, keeps growing in the country.
This can be deduced from the pressure being mounted currently on the government to stop galamsey, which is coming from prominent voices like the Asantehene,
Otumfuo Osei Tutu II
, the National Chief Imam, Sheik Osmanu Nuhu Sharubutu, the Ghana Catholic Bishops Conference, the Ghana Bar Association (GBA), University Teachers Association of Ghana (UTAG) and various civil society organizations (CSOs).
The calls are a result of how galamseyers are destroying the countrys lands and water bodies in particular.
The destruction of the land, usually farmlands, means farming is under threat in the country and if that is the case, then declining food and cash crop production is imminent and the implications are obvious.
Besides, it is said that the chemicals used in illegal mining pose serious health threats such as kidney diseases, while they cause mothers in the mining communities to give birth to children with disabilities.
Since both Ghanaians and foreigners are involved in the heinous mining activity and Ghanaians, in general, keep on raising red flags against it, everyone expects that, at least, representatives of countries whose nationals are involved would also add their voice to warn their erring compatriots.
Since someone must always blaze a trail, the appeal by the Chinese Ambassador to Ghana, Mr Tong Defa, to his compatriots resident in the country to stay away from illegal mining activity is a critical example.
Though the Chinese are said to outnumber other foreigners doing illegal mining in the country, we think this alone cannot be the reason for Mr Defa to talk to his fellow citizens.
This is because he could have kept quiet over the matter, acknowledging the fact that those fellow citizens are making a living and obviously repatriating some money home.
However, he can see the damaging effects of the Chineses involvement in galamsey in the country on the image of his own country in the comity of nations.
Remarks Mr. Defa throws out in his appeal prove that he shares the stance of his country against galamsey by Chinese anywhere in the world.
China is widely known to support the rule of law and strict with law enforcement, and so, discourage its nationals from breaking the laws of other countries.
However, since the Chinese are also human, some of them can go wayward wherever the law appears lax.
So, for Mr. Defa to urge the government to let the law take its full course on any Chinese who disrespects the countrys laws on illegal mining to serve as deterrent to others implies that there would be no diplomatic innuendoes when Chinese offend the law and are being dealt with.
The Chinese Ambassador is being objective and needs commendation for making matters clear, especially for Ghanaians who are intrigued by why the Chinese are defiant and can even dare those who try to stop them from doing galamsey.
Every Ghanaian would support Chinese and, of course, other nationals doing legal mining in the country.
If his name can sound like the English word differ, then Mr. Defa has proven that he differs from others as he would not sit unconcerned for his fellow citizens to hurt other lands.
Mr Defas example must be emulated by other Ambassadors and High Commissioners in the country, even if their respective citizens are not noted for illegal mining here.
Even just their show of concern is support enough and this is needed in the countrys fight against illegal mining.",,Editorial, 16 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-Chinese-Ambassador-s-advice-critical-to-galamsey-fight-1950957
Editorial by Ghanaian Times: Bitumen plant can help reduce cost of road construction,"Yesterday, President
Nana Addo Dankwa Akufo-Addo
inaugurated the $40-million African Bitumen Terminal at Tema.
The terminal is a joint venture between GOIL Ghana Limited and Societe Multinationale de Bitumes SMB) of La Cote dIvoire.
It will be recalled that in June 2019, the sod-cutting was performed in Tema for the construction of the first-ever bitumen plant in the country at the time Mr John Peter Amewu was the Energy Minister and stood in for President
Nana Addo Dankwa Akufo-Addo
at the ceremony.
It is indisputable that in this country sod-cutting is done for certain projects but either the construction delays unduly or they are completely abandoned.
This mostly happens in cases of government-funded projects and the reasons for that state of affairs are best known to the Executive, including the President.
In the face of this, the Ghanaian Times commends GOIL and SMB for delivering the dream project in five years.
Thank God even though GOIL is a state-owned oil and gas marketing company, it kept to its resolve to uphold the partnership such that today, the country can boast its own bitumen plant.
We recall that while congratulating GOIL and SMB on the venture at the sod-cutting ceremony in June 2019, President Akufo-Addo made a statement to the effect that the bitumen facility is a classic example of the potential cooperation in development worthy of emulation in the ECOWAS sub-region.
It is on record that the partnership with SMB dates as far back as 2003 when GOIL decided to market bitumen.
For this reason, the SMB also deserves commendation for playing the role expected of it since GOIL struck the partnership with it.
The facility the country has now gives it certain advantages or benefits that cannot be underestimated.
It will produce the volumes of Polymer Modified Bitumen (PMB), and other bituminous products necessary to meet the demands of the countrys growing infrastructure sector.
The implication is that the country would stop the importation of bitumen and related products to save the country the huge amounts of hard currency used to import these products.
Last year, GOIL reported that the country was on course to reduce the $11.8 billion average annual bitumen import bill with its commercial production of polymer-modified bitumen (PMB).
It said with Ghanas estimated 192,000 tonnes a year demand for bitumen, its 240 tonnes per day bitumen capacity, or more than 87,000 tonnes per year would help to bridge the gap significantly.
It is hoped that the new facility would surmount all nascent problems and continuously expand to eventually meet the countrys demands so that one day the importation of bitumen and related products would be consigned to history.
That way, hopefully, the cost of road construction in the country would be reduced so that more roads could be constructed.
We know GOIL would bring out excellent products that would improve the quality and longevity of roads in the country, something which is a great wish of every Ghanaian.
It is a pity that some roads constructed in the country do not last even a year and they begin to develop potholes and all manner of defects.
The Ghanaian Times believes the bitumen plant would help transform the road sector of the country for the better.",,Editorial, 13 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-Bitumen-plant-can-help-reduce-cost-of-road-construction-1950595
Editorial by Ghanaian Times: Can GII monitoring system stop politicians electoral abuse,"Politicians and their parties in Ghana have been enjoying for far too long a period in which no individual, groups, or institutions in the country have made any serious attempt publicly to question them about campaign spending, abuse of incumbency, and campaign financing.
In the circumstances, the politicians and their parties have had a field day doing their own things in these areas without any restraint.
Therefore, the project launched to monitor and report on campaign spending, abuse of incumbency, and campaign financing can be a game-changer as it can rein in politicians regarding all the abuse in these areas.
The start of such a project is an initiative by the Ghana Integrity Initiative (GII), in partnership with the Ghana Anti-Corruption Coalition (GACC) and the Centre for Democratic Governance (CDD-Ghana) planned to last 10 months.
The Ghanaian Times wishes the project had been launched earlier to capture the periods of picking flagbearers of the parties, particularly by the incumbent New Patriotic Party (NPP) and the leading opposition party National Democratic Congress (NDC).
The whole country has not forgotten the noise made against amounts spent by the flagbearer hopefuls, including Dr. Mahamudu Bawumia, the incumbent Vice President (NPP), and former President John Dramani Mahama (NDC).
In spite of the absence of the GII initiative then, the Ghanaian Times thinks it is still timely as it is planned to capture campaign spending, abuse of incumbency, and campaign financing ahead of the 2024 general election.
About three months to go to the polls on December 7, this is the time the abuse of incumbency is so prominent as the party in power is using state resources like a fleet of vehicles, state security, and media more than normally expected but usually done under the guise of performing state duty.
This is a dicey issue but the Ghanaian Times believes the GII has the expertise to decipher which use of state resources, for instance, would constitute abuse of incumbency.
It is the hope of everyone that the GII monitoring system will be able to generate the envisaged empirical data on the evidence of campaign financing activities and to increase public awareness of the role of money in elections and the current campaign financing regime.
In this case, the Ghanaian Times hopes independent candidates would be monitored.
It is currently an open secret that money given out by political parties and politicians influences voting in the country.
The implication is that the choices made by those induced with money are not the true reflection of their wishes.
The result is that the people vote for politicians who easily choose to serve their own interest rather than the people.
It is no wonder politicians in the country, to a large extent, do not fulfill campaign promises.
Hopefully, the GII monitoring system would check abuse of incumbency, stop money-influenced voting and ensure the true choice of political representatives who practise true democracy by serving the interest of the people.
That way true accountability would be rendered by politicians and other state officials for the countrys forward march.",,Editorial, 12 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-Can-GII-monitoring-system-stop-politicians-electoral-abuse-1950444
Editorial by Ghanaian Times: National campaign against galamsey a must!!,"The Ghanaian Times is highly elated that the Asantehene,
Otumfuo Osei Tutu II
, the University Teachers Association of Ghana (UTAG), and the Ghana Bar Association (GBA) have joined the calls on the government to take prompt action to stop galamsey in the country.
Those of us working for the Ghanaian Times are elated because we have never hidden our aversion to the illegal mining menace because of its deadly devastation to the countrys environment, particularly water bodies, farmlands, and forest reserves.
This paper has presented countless editorials demanding prompt action.
The latest of such editorials was on Monday, September 2, 2024.
In that piece titled Fight against galamsey must be won!!, the paper expressed worry about the enormous state resources being pumped into the fight against galamsey without any sign of victory in sight as President
Nana Addo Dankwa Akufo-Addo
himself had once admitted how the galamsey problem had become insoluble.
In addition, the Editorial reminded President Nana Addo Dankwa Akufo-Addo of his remarks constituting his avowed resolve to eliminate galamsey since he was a presidential candidate in 2016 seeking the mandate of the people to rule the country and during his presidency.
He has stuck to that resolve to the extent of saying at one point that even if he has to put his presidency on line to win the fight, he would do so.
It is sad that politicians make all manner of claims to win power and sometimes make certain attempts upon winning power to fulfil the promises.
Usually, their actions are semblances of what they promised to do, because they fail to take the necessary actions to tackle the problems, especially if the solutions would cost them some votes in the next election.
In the circumstances, they employ subterfuge to acquit themselves and push the blame or the responsibility on others.
No wonder at a natural resource stakeholders dialogue in Accra in May 2023, the President said despite massive success in the fight against galamsey, the practice remained an existential threat and that galamsey must be stopped with the help of all Ghanaians and urged them not to rest until the menace had ceased.
In that same Editorial in reference were the following statements: Everyone, indeed, is expected to join the fight against galamsey but the government must spearhead it with support from chiefs and security personnel.
To this end the government must be resolute in its vow to eradicate the menace, rather than the public remarks that are just charade and populism.
Most of the time, politicians get away with unfulfilled promises in the absence of pressure on them to be accountable because either those to demand accountability have become their cronies or harbour the fear of all manner of oppression or repression.
The call for a national campaign against illegal mining is therefore welcome as it is timely and appropriate. (See our story on 12)
The focus must be on demanding accountability from the Akufo-Addo administration and making him do the needful to justify the huge state resources expended so far on the fight against galamsey.",,Editorial, 11 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-National-campaign-against-galamsey-a-must-1950242
"Editorial by Ghanaian Times: Oti, other new regions need medical stores","The appeal by the Oti Regional Director of
Ghana Health Service
(GHS), Dr Osei Kuffour Afreh, to the government to provide the region with a medical store to help improve health care delivery is an important one.
The explanation that the existence of a medical store in the region would help avoid the situation where the regional health directorate officials have to travel a long distance to Ho, the Volta Regional capital, for medical commodities is tenable.
If medical commodities include pharmaceuticals, consumable medical supplies, and durable medical equipment, then it means that sometimes the public health facilities in the region would not readily have available some items needed for emergency treatment or quality healthcare.
The Oti Region and five other regions, namely Ahafo, Brong East, Western North, North East, and Savanna, are six new regions created in the country in December 2018.
One important reason for creating new regions in a country is to bring administrative zones and their running closer to people in the affected areas.
In other words, newly-created regions are expected to enjoy some independence and ease regarding their development; and ready use of certain amenities or facilities.
Thus, when the Oti Region, for instance, was carved out of the Volta Region, the expectation was that everything necessary to make the new region independent of the mother region was going to be provided.
And even if this was not going to happen in the near future, it was expected to a large extent that the new region would have a healthcare base that could take care of its people except in the cases of referrals, which are a normal phenomenon in healthcare systems anywhere on the globe.
Therefore, it beats everyones imagination that for almost six years after its creation, the Oti Region still has to rely on its mother region for medical commodities, simply because it has no medical store to receive such commodities.
The Oti Region, with its capital as Dambai, comprises nine Municipal and District Assemblies (MDAs), whereas the Volta Region, with its capital as Ho, has 18 administrative districts.
What this means is that if the Volta Region continues to supply the Oti Region with medical commodities, then that burden of catering for 26 districts when Oti was an integral part of it has not been rolled away.
If that is so, then the Volta Region is at the receiving end and must be relieved of that stress, hence the urgent need for the Oti Region to have its own medical store for all the advantages it comes with.
For instance, the hundreds of kilometers to cover to go to Ho and the related cost and risk to bring the commodities to Dambai would be avoided.
In addition, the commodities needed would be readily available most of the time to help provide quality medical care in the region.
Also, drugs that need special storage conditions like cold temperatures can be kept safely.
Among other advantages, both the construction and existence of a medical store in the Oti Region would create jobs for some people.
It is the hope of the Ghanaian Times that the appeal for a medical store for the Oti Region would prompt the government to consider giving the other new regions too their own medical stores.",,Editorial, 10 September 2024,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Editorial-by-Ghanaian-Times-Oti-other-new-regions-need-medical-stores-1950061
