title,content,author,category,published_date,page_url
Man jailed 15 years for defilement,"The Amasaman Circuit Court has sentenced a man to 15 years imprisonment in hard labour for defiling girl, 13.
The 35-year-old man, Daniel Darkwa, pleaded guilty and was convicted on his own plea.
Police Chief Inspector Frederick Awuah-Ansah told the Court, presided over by Akosua Anokyewaa Adjepong, a relieving judge, that the complaint was a seamstress and mother of the 13-year-old girl.
The complaint and victim lived at Abehenease, a suburb of Amasaman, while Darkwa, the convict, lived at Amasaman near the railways.
Chief Inspector Awuah-Ansah said the convict and the victims father were childhood friends and even lived with the victims grandmother in the same house before relocating to their various residences.
The victim, therefore, grew up to know the convict as her uncle and anytime she visited her grandmother, Darkwa gave her pastries, the court heard.
On November 7, at about 0630 hours, when the victim was going to school, she passed by her grandmothers house to greet her as she normally did.
Prosecution said when Darkwa saw her, he lured her into his container (place of abode) and had sexual intercourse with her on a cloth spread on the floor.
He gave her GH10.00 after the act and allowed her to go to school.
The court heard that the girl, on reaching school, confided in her class teacher and her mother, the complainant, was informed.
Prosecution said the complainant caused Darkwas arrest and handed him over to the Domestic Violence and Victims Support Unit (DOVVSU) of the Ghana Police Service.
The convict was rearrested, cautioned and he admitted the offence.
After investigations he was charged and arraigned.",,Crime, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Man-jailed-15-years-for-defilement-2010600
32-year-old man commits suicide in Tema Community 22 following breakup,"A 32-year-old man has reportedly committed suicide after his fiancee ended their relationship.
The incident occurred at Tema Community 22 near Afariwa in the Greater Accra Region.
Reporting on Nyankonton Mu Nsem on Rainbow Radio 87.5FM, Odikro Kofi David said the man hanged himself after the woman broke up with him.
He added that the young man was said to have spent heavily on the lady and could not bear the heartbreak.
According to him, friends of the deceased claimed he had begun isolating himself and refused to speak to them in the days leading up to the incident.
The couple had reportedly dated for six months before the breakup.
He further reported that before taking his own life, the deceased asked the woman to explain why she ended the relationship, but she declined to do so.
The body has since been deposited at the morgue awaiting autopsy.",,Crime, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/32-year-old-man-commits-suicide-in-Tema-Community-22-following-breakup-2010526
Mason jailed 48 months for stealing 17 cattle,"The Amasaman Circuit Court has sentenced a mason, Akwasi Obeng, to 48 months imprisonment in hard labour for stealing 17 cattle valued at GH228,000.00.
Obeng, 46, admitted the offence, explaining that he stole the animals part of the 21 cattle entrusted to his care- because his employer failed to pay an agreed GH700.00 salary.
He told the court that he acted out of hardship as he had two children to cater for.
The court, presided over by Akosua Anokyewaa Adjepong, also imposed a fine of 500 penalty units (GH6,000.00), in default of which he would serve an additional 12 months in prison.
It noted that Obeng had no reasonable legal defence and entered a plea of guilty.
It, however, considered his plea for leniency, the retrieval of all the cattle, and his status as a first offender.
It also considered the prevalence of such offences in the area, stressing that the sentence should serve as a deterrent.
Police Chief Inspector Salifu Nashiru told the court that the complainant, Evans Bortsie, a herdsman at Harekreshena and resident of Medie in Accra, hired Obeng as a cattle caretaker in August 2025.
On October 30, Obeng took 21 cattle out to graze but failed to return.
The complainant reported the matter to the Adjen Kotoku Police, later managing to recover four of the animals.
Police investigations revealed that Obeng had sold the remaining 17 to a witness for GH96,000.00, receiving an initial payment of GH30,000.00 and expecting the balance on November 12, 2025.
The buyer, upon discovering the cattle were stolen, tipped off the police and invited Obeng to collect the outstanding amount.
Obeng was arrested upon arrival.
In his caution statement, he admitted the offence and said he used part of the proceeds to rent an apartment.
He was subsequently charged and arraigned.",,Crime, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Mason-jailed-48-months-for-stealing-17-cattle-2010525
Farmer found dead under bridge at Awuteykope,"A 53-year-old farmer, Addo Wayo, was on Wednesday, found dead under a bridge at Awuteykope in the North Tongu District, sparking concern among residents and family members over the circumstances surrounding his death.
The deceased, believed to have been on his way to the farm at the time of the incident, was discovered by passers-by and some family members.
Mr Geoffrey Madugu, a cousin of the deceased, told the Ghana News Agency (GNA) that the body was later retrieved and conveyed to a private hospital morgue at Asiekuma by some family members and residents after police failed to promptly respond to the scene.
He expressed disappointment at what he described as a lack of urgency on the part of the police.
The family expected the police to work judiciously, but they told us they did not have a working vehicle to attend to the scene, he said.
Residents also raised concerns about the delays, calling for improved police logistics to enhance emergency response in rural communities.
The Police are yet to issue any formal information regarding the cause of death or the preliminary details surrounding the incident.
Meanwhile, the GNA was unable to reach the assembly member and the police.",,Crime, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Farmer-found-dead-under-bridge-at-Awuteykope-2010519
"Driver accused of GH58,000 visa fraud claims late MP John Kumah received money","A forty-four-year-old driver who is accused of defrauding a Police officer and a teacher of GH58,000 has been remanded by the Achimota Court.
Benjamin Osei Sarpong is said to have collected GH30,000 from the officer and GH28,000 from the teacher under the pretext of securing them Canadian visas but failed.
Sarpong claimed he gave the money he collected from the complainants to the late John Kumah, former Member of Parliament for Ejisu Constituency.
Charged with two counts of defrauding by false pretences, Sarpong has pleaded not guilty.
Sarpong was remanded after prosecution led by Assistant Superintendent of Police (ASP) Stephen Ahiale opposed bail on the grounds that Police had warned Sarpong to appear before the court on June 19, 2025 but he failed.
According to ASP Ahiale, following Sarpongs refusal to appear in court, a bench warrant was issued for his arrest.
ASP Ahiale said it has taken the Police more than five months to get the accused person to appear before the court although he had alerted all parties to appear in court.
Sarpong told the court that he was unwell and travelled to Sefwi Yamfo where he had no reception to receive or make calls. He however admitted receiving a call from the case investigator over the matter.
He told the court that he only heard about the matter four days ago and he came to court with an amount of GH10,000 to be paid to the complainants.
Sarpong told the court that on June 19, 2025, he was in court, but the court did not sit.
The trial judge, after checking the records, noted that Sarpong was not in court on June 19, 2025, although the court sat that day and issued a bench warrant.
After listening to submissions of the prosecution and the accused explanation, the court remanded Sarpong into lawful custody to reappear on December 3, 2025.
DSP Ahiale narrating the facts of the case, said the complainants, name withheld, are siblings in Accra and Kumasi respectively, while Sarpong, reside at Odorkor, Accra.
Prosecution said in October 2023, the complainants discussed their intention of traveling to Canada for a visit with a friend.
The said friend later introduced Sarpong to the complainants as someone who could help them secure Canadian visas.
After several meetings, Sarpong convinced them that he could secure the visas for them at a cost.
Based on that representation, Sarpong collected GH30,000 and GH28,000 from the complainants respectively.
Sarpong after collecting the money, failed to honour his promise and began giving the complainant numerous excuses.
The complainants reported the matter to the Police and on April 22, 2024, Sarpong was arrested.
Prosecution said during investigations, Sarpong admitted the offence but stated that he gave the money he collected to the late former MP for Ejisu Constituency with the knowledge of his wife.
Sarpong however failed to lead the Police to the late MPs wife.",,Crime, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Driver-accused-of-GH-58-000-visa-fraud-claims-late-MP-John-Kumah-received-money-2010518
Coup Plot: Convicted Allan Debrah released from prison after meeting bail conditions,"Bright Allan Debrah Ofosu, alias Bright Alan Yeboah, one of the six persons who was convicted and sentenced to death for attempting to overthrow government in the high treason case has been released on bail after satisfying his GH2.5 million bail conditions.
On November 10, 2025, a three-member of the High Court in Accra granted his request for bail pending an appeal against his conviction and subsequent sentence.
He was sentenced to death together with five others including a military officer after the High Court found the guilty of high treason.
The bail was granted on Monday November 10, 2025, after hearing submissions from both the Prosecution and the lawyers of the convict Applicant.
In addition to the bail sum after the Court held that he had demonstrated exceptional circumstances, he was to produce two sureties one of whom should be justified with landed property.
The panel chaired by Justice John Eugene Nyante Nyadu with Justices Ruby Aryeetey and Kizita Naa Koowa Quarshie, the (convict) applicant was to surrender his passport to the registrar of the court pending the final determination of the appeal.
The Court has ordered that he be placed on stop list by the police and can only travel out of the jurisdiction with the express permission of the court.
The Convict (applicant), the Court said has six months to prepare the records of appeal and transmit same to the Supreme Court not later than April 9, 2026.
The Court warned that, Any breach of these conditions can resolve in the revocation of the bail, while the Republic may apply for the revocation of the bail if condition (above) is not complied with by the third convict appellant applicant.
The decision of the Court was after lawyers of the Applicant led by Komivi Dzotsi and Prosecution led by Hilda Craig, a Principal State Attorney advanced their respective arguments.
According to EIB Networks Legal Affairs Correspondent, Murtala Inusah, Allan Debrah satisfied his bail conditions on Thursday and has also been released from the prison on Friday, November 21, 2025.
Background
On January 24, 2024, a three-member panel of the High Court presided over by Justice Afia Serwah Asare-Botwe, convicted and sentenced Six persons to death after being found guilty of high treason.
The six including military officers who were part of those facing trial were however found guilty of their respective roles and sentenced to death by hanging.
They are Donya Kafui alias Ezor, (2nd accused) who is said to have been contracted to manufacture weapons and Bright Allan Debrah Ofosu alias Bright Alan Yeboah, third accused, were both found guilty of conspiracy to commit high treason and high treason.
Yohannes Zikpi, the fourth accused person, Warrant Officer Class Two Esther Saan Dekuwine, the only female among the accused and Lance Corporal Ali Solomon, the 8th accused found guilty of conspiracy,but were found not guilty for high treason.
All six have been sentenced to death by the panel of three presided over by Justice Afia Serwah Asare-Botwe for offending the Constitution.
Yohannes Zikpi, the fourth accused person, Warrant Officer Class Two Esther Saan Dekuwine, the only female among the accused and Lance Corporal Ali Solomon, the 8th accused found guilty of conspiracy.
This is becoming too many! Afenyo Markin clashes with First Deputy Speaker
TWI NEWS",,Crime, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Coup-Plot-Convicted-Allan-Debrah-released-from-prison-after-meeting-bail-conditions-2010481
No robbery incident on Berekum-Drobo Road - Police clarify,"The Bono Regional Police Command has dismissed claims of a robbery on the Berekum-Drobo Road, following the circulation of a viral video suggesting such an incident occurred.
This was stated in a release issued by Chief Inspector Thomas Akeelah, Public Relations Officer of the Bono Regional Command, on November 20, 2025.
Police arrest 37-year-old carpenter for allegedly killing security guard
The Bono Regional Police Command wishes to inform the public that preliminary checks conducted at police stations within the Bono Region and across all police jurisdictions nationwide, as well as verification with the Ghana Armed Forces, indicate no robbery incident as depicted in the viral video suggesting a robbery on the BerekumDrobo Road, the statement noted.
Preliminary checks revealed no evidence supporting the claims made in the video.
The statement further urged the public to refrain from spreading false information.
We therefore encourage individuals to refrain from spreading false information and to provide credible information that may assist our investigations, it added.
30-year-old man jailed 12 months for indecent assault on 4-year-old
Regarding the video, the statement noted: The Cyber Crime Unit is working to identify and investigate individuals behind the video and those who helped make it viral. The public is cautioned against publishing false news.
See the full statement below:
JKB/MA
This is becoming too many! Afenyo Markin clashes with First Deputy Speaker
TWI NEWS",,Crime, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/No-robbery-incident-on-Berekum-Drobo-Road-Police-clarify-2010468
Family of 10-year-old Janet Ntiamoah Owusu demands justice following her death,"The family of 10-year-old Janet Ntiamoah Owusu is demanding justice and calling on the police to expedite investigations following the tragic loss of their daughter.
The update was shared on X by State News on Friday, November 21, 2025.
""The family of 10-year-old Janet Ntiamoah Owusu is seeking justice and urging authorities to fast-track investigations after the tragic loss of their daughter,"" the post read.
Ghanaian-US Postal Worker Dies in Custody: Family demands justice
According to the information shared, the late Janet Ntiamoah Owusu was last seen on September 6, 2025.
""Janet was last seen on September 6, 2025, at Gbetsile near Pawpaw House in the Greater Accra Region. She was reported missing shortly afterward, and recent developments confirmed that her body has been found, sending shockwaves through the community,"" the post added.
The disappearance and death have left her friends, schoolmates, and local residents in deep shock.
""This heartbreaking development has left her community, friends, and schoolmates in deep shock as security agencies work to determine what happened and ensure those responsible are held accountable,"" it added.
Family of 38-year-old farmer demands justice after alleged death in immigration custody
Read the post below:
Family of 10-year-old Janet Ntiamoah Owusu Demands Justice Following Her Disappearance and Death
The family of 10-year-old Janet Ntiamoah Owusu is seeking justice and urging authorities to expedite investigations after the tragic loss of their daughter.
Janet was last seen on...
pic.twitter.com/0omMcWG8ZS
 THE STATE NEWS (@THESTATENEWSS)
November 21, 2025
JKB/MA
'He wanted sex'  Woman assaulted by husband in viral video recounts ordeal",,Crime, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Family-of-10-year-old-Janet-Ntiamoah-Owusu-demands-justice-following-her-death-2010461
30-year-old man jailed 12 months for indecent assault on 4-year-old,"A 30-year-old unemployed man has been jailed for 12 months by the Asante Akropong District Court in the Atwima Nwabiagya North District for fingering a four-year-old girl at Hiawu-Besease near Akropong.
Akwasi Poku pleaded guilty to the charge of indecent assault and was convicted on his own plea by the court presided over by Mr Emmanuel Wiafe Adu.
Police Chief Inspector Evans Ayimbisa, prosecuting, told the court that the victim lived in the same house together with her mother and grandmother at Hiawu-Besease.
He said, on October 25, this year, the mother of the victim attended a funeral and left the victim under the care of her grandmother.
At about 11:00 hours, the accused person went to the house while the grandmother was washing.
The Prosecution said the accused person sat on a chair and because the victim knew the accused, she went and sat on his lap.
The prosecution said that the accused person inserted his index finger and later his middle finger into the victims vagina, and she started bleeding.
Prosecution explained that the accused saw the blood, left the house and signalled the victim to keep quiet but immediately after his departure the victim revealed her ordeal to her grandmother.
After examining the victim and seeing the blood, the grandmother informed the victims mother, leading to a complaint being lodged at the Abuakwa Police Station.
Chief Inspector Ayimbisa said the accused person was arrested and in his caution statement, he admitted the offence. After further investigations he was charged and brought before the court.",,Crime, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/30-year-old-man-jailed-12-months-for-indecent-assault-on-4-year-old-2010376
Police destroy 600 sacks of Indian hemp in Ho,"The Volta Regional Police Command has destroyed, by burning, 600 fertiliser sacks filled with exhibits containing Indian hemp.
The drugs came into police possession in 2022 in the Republic vs Yao Kwadwo case and two others, after the exhibits were tendered into evidence.
They were all burned on Monday, November 17, 2025, at about 2:30 PM.
The 600 sacks contained a total of 47,530kg of Indian hemp, with an estimated face value of about GHS4.2 billion.
The Ho Circuit Court, presided over by Judge Felix Datsumor Esq., gave the order for the destruction of the narcotic exhibits after years of trial.
The destruction exercise was supervised by Moses Dzanfi, Circuit Court Registrar; Joseph Opusomah, State Attorney; Daniel John Pekyi of the Narcotics Control Commission; and Emmanuel Mensah Gbekor of the Environmental Protection Authority (EPA).
The exhibits were completely burned with the Ghana Police Service, National Security, and the media present at the Klefe dumping site in Ho.
In a press release issued by the Volta Regional Police Command, signed by Chief Inspector Francis Kwaku Gomado, Head of the Public Affairs Unit, the police command appreciated the support of stakeholders in the fight against the drug menace.",,Crime, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Police-destroy-600-sacks-of-Indian-hemp-in-Ho-2010375
