title,content,author,category,published_date,page_url
FDA seizes 98 unregistered herbal medicines in Accra,"The Food and Drugs Authority (FDA) has confiscated 98 unregistered herbal medicinal products during a market surveillance operation conducted between November 22 and 24, 2025, at Awoshie, and Boundary Road in Accra.




The seized items include popular products such as Amenazel Herbal Tonic, Amenazel Herbal Bitters, and Poget Herbal Mixture, all of which were being sold without the required FDA registration.


According to the Authority, the exercise forms part of ongoing nationwide efforts to protect public health by removing unapproved and potentially unsafe products from the market.


The FDA cautioned traders and manufacturers who continue to distribute unregistered products, stressing that enforcement activities will intensify in the coming weeks.


“To those selling unregistered products, we will not relent in our commitment to ensuring public health and safety, so sooner than you think we will get to you,” the Authority warned.




All seized products will undergo safe disposal in line with FDA protocols.

DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    FDA  Herbal Medicine 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            FDA receives rice processors under UNIDO’s ITEQ initiative                        
 


                            FDA warns public to avoid Omama Herbal mixture after detecting dangerous substances                        
 


                            FDA urges ban on ‘Dadesen’ pots over lead risks                          
 


                            FDA urges ban on ‘Dadesen’ pots over lead risks                          
 


                            FDA slaps pregnant woman with GH¢25k fine for advertising unregistered products on TikTok                        
 


                            FDA disposes of unwholesome products in Central Region                        
 


                            Nutrifoods Ghana resumes production and distribution of Tasty Tom following FDA evaluation                        
 


                            Africa must invest in herbal medicine, not depend on donors – Experts warn                        
 


                            FDA to inspect school food vendors’ certifications in Central Region                        
 


                            Tasty Tom tomato mix: Follow-up on consumer health and safety",Graphic Online,National,25 November 2025 7:30am,https://www.myjoyonline.com/fda-seizes-98-unregistered-herbal-medicines-in-accra/
EOCO boss Raymond Archer on why there should be tougher bail conditions for suspects,"The Acting Executive Director of the Economic and Organised Crime Office (EOCO), Raymond Archer, has defended the ""tougher"" bail conditions being applied in recent economic crime cases, saying low sureties make it easy for suspects to evade accountability.




Speaking on Joy FM’s Newsfile programme on Saturday [November 23, 2025], the Acting Executive Director of EOCO said bail must reflect the scale of financial exposure in ongoing investigations.


“I consider bail and sureties, or I liken it to the collateral you give for a loan,” he said. “When you give collateral that is less than the loan you take, there’s no motivation to pay back.”


Mr Archer said suspects involved in economic offences cannot be treated like ordinary offenders. “Assume at every point that every criminal is at least above average. The fact that you beat the barricade compliance and everybody to steal that money tells you it's not your average job,” he stated.


He warned that lenient bail terms allow suspects in major financial cases to avoid accountability. “You can let the loans go run itself and then there’s no collateral to fall back on and you let [it] go into default. In the same way, bail is connected to a case.”




Drawing from EOCO’s work on complex financial crimes, Mr Archer said the office frequently handles cases involving vast sums. “We do a lot of investigation for the banks, for example, where somebody has stolen $90 million,” he said. “Then you give him a bail of $20 million.”


His remarks come amid public debate over the rising bail amounts seen in recent high-profile arrests.


In May 2025, the Ashanti Regional Chairman of the opposition New Patriotic Party (NPP), Bernard Antwi Boasiako, commonly known as “Chairman Wontumi”, was granted bail of GH¢50 million with two sureties after he was charged by EOCO for alleged financial loss to the state. Opposition MPs objected to the conditions, with the Minority Leader Alexander Afenyo-Markin calling the bond “unfair and unreasonable”.


In June, former National Food Buffer Stock Company CEO Abdul Hannan Wahab and his wife, Faiza Seidu Wuni, were granted bail of GH¢50 million and GH¢30 million, respectively. In October, the court revised the terms, raising Mr Wahab’s bail to GH¢100 million and his wife’s to GH¢50 million. Lawyers for the couple argued that the new amounts were harsh and out of proportion.



Just this November, the former Bulk Oil Storage and Transportation (BOST) Managing Director, Edwin Provencal was arrested by EOCO and initially given a GH¢60 million bail.


The court later reduced it to GH¢30 million with two sureties and a requirement to surrender his passport. EOCO has since asked the court to toughen the conditions, saying the sureties should be justified to match the state’s exposure.


Mr Archer maintained that the principle guiding EOCO’s approach is straightforward. “The exposure of the risk must be matched. If not, the Republic will have no leverage,” he said.



DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    EOCO 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            EOCO boss defends high bail conditions set by his outfit                        
 


                            EOCO rescues 7 Nigerians forced into cyber fraud at Mataheko–Afienya                        
 


                            EOCO warns over surge in young women falling victims to QNET scams in Ashanti Region                        
 


                            EOCO commends QNET for joint operation to arrest fraudsters in Kumasi                        
 


                            EOCO arrests 320 people in Kumasi in joint operation with QNET                        
 


                            EOCO denies false claims on Springfield Energy probe                        
 


                            EOCO, QNET crack down on human trafficking syndicate; 9 arrested                        
 


                            Zanetor calls for EOCO probe into land grabbing at Abuja CMB market                        
 


                            I nearly died in EOCO custody; I started seeing my dead relatives – Chairman Wontumi claims                        
 


                            PNP petitions EOCO over Gh₵78m allocation to government communication office",,National,25 November 2025 7:26am,https://www.myjoyonline.com/eoco-boss-raymond-archer-on-why-there-should-be-tougher-bail-conditions-for-suspects/
"Todays Front pages: Tuesday, November 25, 2025","Myjoyonline.com brings you the front pages of the various newspapers across the country.



















































DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Newspaper Front pages 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Today’s Front pages: Monday, November 24, 2025                        
 


                            Today’s Front pages: Friday, November 21, 2025                        
 


                            Today’s Front pages: Thursday, November 20, 2025                        
 


                            Today’s Front pages: Tuesday, November 18, 2025                        
 


                            Today’s Front pages: Monday, November 17, 2025                        
 


                            Today’s Front pages: Friday, November 14, 2025                        
 


                            Today’s Front pages: Thursday, November 13, 2025                        
 


                            Today’s Front pages: Monday, November 10, 2025                        
 


                            Today’s Front pages: Friday, November 7, 2025                        
 


                            Today’s Front pages: Thursday, November 6, 2025",Myjoyonline.com,In Focus | National,25 November 2025 7:08am,https://www.myjoyonline.com/todays-front-pages-tuesday-november-25-2025/
EU warns Ghana and Cote dIvoire to reform cocoa sector or risk losing global market share,"Ghana and neighbouring Côte d’Ivoire are facing renewed pressure from the European Union and French development partners to fast-track long-delayed reforms in the cocoa sector, amid warnings that both countries could lose competitiveness under emerging global sustainability standards.




The call came during a two-day Cocoa4Future feedback workshop in Accra, where researchers presented findings from a five-year EU- and AFD-funded project examining agroforestry systems, disease control, certification schemes, farmer livelihoods, and climate resilience across both countries.


EU officials were clear: unless agroforestry adoption accelerates, deforestation is curtailed, and labour-related risks addressed, West African cocoa could face mounting barriers under new European sustainability rules and stricter buyer requirements.


The research highlighted sector vulnerabilities and pathways for reform. Studies confirmed that many farmers prefer low- to no-shade systems, which boost short-term yields but compromise ecological resilience and long-term productivity. 


This approach, researchers warned, undermines forest recovery and leaves cocoa landscapes highly vulnerable to climate change.




On disease management, Cocoa Swollen Shoot Disease (CSSVD) remains widespread, reducing yields by up to 202 kg per hectare in severely affected farms. 


Farmer-led control methods, such as pruning infected parts or using chemicals, are largely ineffective. 


Researchers recommended intensifying rehabilitation programmes, scaling the production of CSSVD-resistant seedlings, and expanding technical training for early detection.


Certification studies showed that Fairtrade and Organic schemes significantly improve yields, incomes, and job creation, but their impact on broader food security and working conditions is uneven. 



Researchers stressed the need for stronger cooperatives, expanded extension services, affordable credit, and diversified buyer networks to improve certification outcomes.


Across all themes, the recommendations were consistent: governments must ramp up input distribution, clarify tree tenure rights, promote hybrid cocoa varieties, incentivise agroforestry adoption, and formalise support systems for farmer livelihoods, including pensions, credit, and modern farm equipment.


Development partners stressed that these evidence-based measures are critical as the global market shifts decisively toward traceable, climate-resilient, and ethically sourced cocoa—standards that Ghana and Côte d’Ivoire risk falling behind if reforms stall.



DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Cocoa  Cote D'Ivoire  Ghana 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Plan International Ghana hosts grand close-out ceremony for ‘She Leads Project’                        
 


                            Mr. President, Ghana Must Choose Ghana: A letter to President Mahama                        
 


                            Positioning Ghana on the global stage — A blueprint for renewed influence and strategic presence                        
 


                            ASM sector contributed 90 tonnes of gold, making up 53% of Ghana’s export earnings – Sammy Gyamfi                        
 


                            Ghana to establish ISO-certified assay lab to transform ASM operations – GoldBod CEO Sammy Gyamfi                        
 


                            OSP has no clear and consistent systems to decide when cases are ready for court – IMF Report                        
 


                            Ghana launches first National Non-Communicable Diseases Research Conference                        
 


                            Hindsight: The Ghana Premier League’s draw masters                        
 


                            Ghana is now joining nations driving development through precious metals – Sammy Gyamfi                        
 


                            CPA requests reassignment of Ofori-Atta’s criminal case over concerns about public confidence",Myjoyonline.com,Economy | National,25 November 2025 6:16am,https://www.myjoyonline.com/eu-warns-ghana-and-cote-divoire-to-reform-cocoa-sector-or-risk-losing-global-market-share/
My mo Kwame Nkrumah comment was totally misunderstood  NAPO,"The running mate to Dr Mahamudu Bawumia in the 2024 election, Dr Matthew Opoku Prempeh, says his controversial “mo Kwame Nkrumah” remark was taken out of context and completely misunderstood. 




Speaking on Joy News’ PM Express on Tuesday, the former Manhyia South MP insisted that the public outrage that followed the comment did not reflect his intent.


Dr Opoku Prempeh, aka NAPO, said the statement was made in a specific political moment and should not have been interpreted as an attack on Ghana’s first President. 


“At that time, you can’t go into the evidence, so I made a statement ‘mo Kwame Nkrumah’, and I subsequently had to go to Nkroful and speak to the Chiefs there and explain the contest in which the statement was made,” he said.


He explained that political communication can be easily distorted and that leaders must take responsibility when their words create confusion. 




“Because in politics, if somebody misunderstands, misquotes, or you allow your communication to be misread or to be misunderstood, you have to own it. So I owned it, and that is why I issued the statement,” he said.


Dr. Opoku Prempeh compared his remark to football banter to underscore that he was not attacking Kwame Nkrumah. 


“Not that the context was wrong. I’m a die-hard fan of Kumasi Asante Kotoko. So if I’m teasing Olympic supporters and I said ‘mo Oly fuo no’, I’m not really insulting Olympic fans. I’m just upping Kotoko fuo because I am one of them,” he explained. 





He maintained that the Nkrumah reference had been “totally misunderstood”.



The NPP running mate acknowledged the strong reaction that followed. 


“It generated a lot of uproar. Nkrumahists got furious, and I apologise to them,” he said. But he urged critics to reflect on Nkrumah’s own writings. 


“They should go and read Kwame Nkrumah’s Last Days from Guinea and look at how he described his own Convention People’s Party (CPP). He said the CPP was dead. That’s Nkrumah’s own writing, so we don’t say these things out of lack of respect. You know me. I have friends everywhere,” he noted.


Dr. Opoku Prempeh’s comment in July 2024—stating that no president, including Kwame Nkrumah, had outperformed President Akufo-Addo—triggered widespread backlash when he was unveiled as the New Patriotic Party’s running mate. 




Critics, including the Convention People’s Party, described his remark as disrespectful. The episode reignited concerns about what many opponents have called his “arrogant” public posture.


On PM Express, however, Dr Opoku Prempeh insisted that the debate was driven by misinterpretation rather than intent. 


He stressed that the statement was political rhetoric, not an attack on Ghana’s founding leader.



DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Dr Matthew Opoku Prempeh  mo Kwame Nkrumah 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Over the past 10 months, I’ve seen a widening trust gap between citizens and NPP gov’t                        
 


                            ‘We assumed too much’ – Napo admits hard lessons after trust collapse between citizens and  NPP gov’t                        
 


                            ‘I’ve been reflecting on life’ – Matthew Opoku Prempeh says of his ‘best time in 16 years’                        
 


                            Napo urges unity and solution-focused approach within NPP                        
 


                            I was raised to serve – NAPO shares deep-rooted calling to public duty                        
 


                            NAPO is under investigation for mathematical sets procurement, other issues – Dep AG Srem Sai reveals                        
 


                            Napo supports Adum PZ fire victims with GH₵50,000 and 500 bags of cement                        
 


                            Election 2024: Napo urges Gonjaland to vote NPP for spearheading development in the area                        
 


                            Napo’s modus operandi strategically designed to shield Bawumia – Dr Kwabena Kokofu                        
 


                            Consider Ghanaian students for internship – Napo appeals to US businesses",Abubakar Ibrahim,Politics,25 November 2025 3:55am,https://www.myjoyonline.com/my-mo-kwame-nkrumah-comment-was-totally-misunderstood-napo/
NPP primaries: Bawumia leads in 14 regions  Global Info Analytics,"Former Vice President, Dr. Mahamudu Bawumia, continues to show strength across the country in the NPP Presidential Primaries, Global Info Analytics has reported.




In its latest survey report released today, Monday, November 24, Dr Bawumia was reported as leading in 14 out of the 16 regions, including strong leads in three crucial regions: Ashanti, Eastern and Greater Accra regions, respectively.


""Dr Bawumia leads in Ahafo, Ashanti, Bono, Bono East, Eastern, Greater Accra, North East, Northern, Oti, Savannah, Upper East, Upper West, Western and Western North,"" reported Global Info Analytics.


In the remaining two regions, the Volta and Central regions, the survey reported that Ken Agyapong had taken a lead in the Volta Region, while the race in the Central Region is ""virtually tied"".


Nationally, Dr. Bawumia still leads in both models – the likely voters' model and the committed voters' model – used by Global Info Analytics.




""Using likely voters’ model, DMB leads with 42.7%, KOA is on 17.7%, Dr Bryan Acheampong (DBA) 4.6%,


Dr Yaw Adutwum (DYA), 0.3% and Kwabena Adjei Agyapong (KAA), 0.3%, Global In Analytics reported, adding that from the likely voters' model, 14.9% of the delegates did not disclose their voting intentions, while 19.3% are undecided.


In the committed voters’ model, the survey reported that ""Dr Bawumia leads with 63.3%, Kennedy 28.6%, Dr Acheampong 6.9%, Dr Adutwum 0.8% and Kwabena Agyapong 0.4%.""


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Bawumia  Ken 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            From Central to Eastern: Bawumia’s relentless ‘Journey Together to Victory’ continues                        
 


                            Majority of NPP delegates believe that a candidate deserves a second chance to win – Global Info Analytics                        
 


                            30 out of 45 Central Regional NPP Youth Organisers declare support for Bawumia                        
 


                            He’s formidable, credible and most marketed – Abu Jinapor on why the NPP will retain Dr Bawumia as flagbearer                        
 


                            Dr Bawumia has showed he has the vision to transform this country if given the nod – NPP coordinators in Assin                        
 


                            Bawumia’s record is abysmal; he can’t take it to the market – Kwakye Ofosu                        
 


                            NPP Primaries: Bawumia receives widespread endorsements in Central Region                        
 


                            Dr Bawumia is the difference the NPP actually needs                        
 


                            NPP Primaries: Dr Bawumia storms Central Region to consolidate lead                        
 


                            NHIA reforms are continuations of earlier NPP/Bawumia initiatives, not new NDC policies — Dr. Ekua Amoakoh",Myjoyonline.com,Politics,24 November 2025 9:01pm,https://www.myjoyonline.com/npp-primaries-bawumia-leads-in-14-regions-global-info-analytics/
NDC questions NPPs appeal before seeing Kpandai ruling reasoning,"The National Democratic Congress (NDC) has criticised the New Patriotic Party (NPP) for filing an appeal against the annulment of the Kpandai parliamentary election before the official reasoning of the court ruling is released.




The criticism by Rashid Tanko Computer, Deputy Director of Elections and IT for the NDC, comes in response to the NPP’s rejection of the Tamale High Court ruling, which annulled the 2024 parliamentary election in Kpandai and ordered a fresh poll following a petition by the NDC candidate Daniel Nsala Wakpal.


The party has filed a notice of appeal and a motion for stay of execution, insisting that the ruling is flawed and the original results remain valid.


Speaking on JoyNews’ The Pulse on Monday, November 24, Tanko Computer described the NPP’s move as premature.


“They [NPP] have spoken about going for an appeal and filing a stay of execution. But have they even looked at the reasoning behind the ruling? 




""The judge just said our petition was upheld and that the reasoning will be given to us on Friday. You have not even seen it, and you’ve gone to file for appeal. What are you appealing for? So you see how interesting the NPP can be?” he said.

DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Kpandai ruling  NDC  NPP 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Mahama government determined to execute 24hr economy policy – Prof. Fosu-Mensah                        
 


                            NPP rejects Kpandai election ruling, calls it “dangerous” and damaging to democracy                        
 


                            I’m not surprised by the court ruling, NDC informed the constituents last week – Kpandai MP                        
 


                            Naa Torshie Addo denies blame for NPP loss, points to Presidency over delayed common funds                        
 


                            Bawumia’s early concession in 2024 election cost NPP in parliament – Kennedy Agyapong                        
 


                            We’ll return to power with dignity – Kennedy Agyapong                        
 


                            Nyindam fights back: MP appeals court order for Kpandai election rerun                        
 


                            NDC welcomes fresh Kpandai election, says court has exposed ‘crooked electoral officers’                        
 


                            NPP presidential race: Bawumia dominates 14 out of 16 regions – Global Info Analytics                        
 


                            Bawumia maintains lead in NPP 2026 presidential primaries – Global InfoAnalytics Poll",Emma Ankrah,National | Politics,24 November 2025 7:21pm,https://www.myjoyonline.com/ndc-questions-npps-appeal-before-seeing-kpandai-ruling-reasoning/
"NPP rejects Kpandai election ruling, calls it dangerous and damaging to democracy","The New Patriotic Party (NPP) has strongly criticised the Tamale High Court ruling ordering a rerun of the 2024 parliamentary election in the Kpandai constituency, describing the decision as dangerous and a threat to Ghana’s democratic progress.




Speaking on JoyNews’ The Pulse on Monday, NPP Director of Elections and Research, Evans Nimako, said the party cannot accept the court’s decision, insisting it goes beyond the petitioner’s own claims.


“This cannot be a ruling that you expect the New Patriotic Party to say is a welcoming decision from a competent court of jurisdiction. For me, this is a dangerous ruling. The intent is to erode all the political and democratic gains we've made as a country,” he said.


Mr. Nimako argued that the petitioner’s case involved alleged infractions in 41 out of 152 polling stations.


Yet, the court annulled the results for the entire constituency instead of focusing on the areas in dispute.




“A petitioner comes to court with a plea that in 41 polling stations there have been some infractions, and you then give a ruling that, assuming, without admitting, that yes, the 41 had issues, the other 111, where there were no issues, should also be cancelled? What kind of dangerous ruling is this?” he questioned.


He added that the NPP won the seat by a margin of nearly 4,000 votes, securing 53.47% of the total ballots cast, and therefore finds it difficult to understand why the whole election should be annulled.


“This is a constituency the party won decisively. And you are telling me that you, the judge, will go beyond the plea of the petitioner? I don’t think this is the way to go,” he stressed.


The party has already filed an appeal, insisting that the ruling is legally flawed and must be overturned.


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Democracy  Evans Nimako  Kpandai  NPP 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            NDC questions NPP’s appeal before seeing Kpandai ruling reasoning                        
 


                            I’m not surprised by the court ruling, NDC informed the constituents last week – Kpandai MP                        
 


                            Naa Torshie Addo denies blame for NPP loss, points to Presidency over delayed common funds                        
 


                            Bawumia’s early concession in 2024 election cost NPP in parliament – Kennedy Agyapong                        
 


                            We’ll return to power with dignity – Kennedy Agyapong                        
 


                            High Court’s ruling to nullify 2024 Kpandai parliamentary election will not stand any test – MP                        
 


                            Nyindam fights back: MP appeals court order for Kpandai election rerun                        
 


                            NPP presidential race: Bawumia dominates 14 out of 16 regions – Global Info Analytics                        
 


                            Bawumia maintains lead in NPP 2026 presidential primaries – Global InfoAnalytics Poll                        
 


                            Majority of NPP delegates believe that a candidate deserves a second chance to win – Global Info Analytics",Emma Ankrah,National | Politics,24 November 2025 7:02pm,https://www.myjoyonline.com/npp-rejects-kpandai-election-ruling-calls-it-dangerous-and-damaging-to-democracy/
UK rejects Nigerias request to transfer Ekweremadu to Nigeria to complete prison sentence,"The United Kingdom has declined a request from the Nigerian government to allow former Deputy Senate President Ike Ekweremadu to complete his prison sentence in Nigeria.




Ekweremadu is serving time in a UK facility after he was found guilty in 2023 of plotting to harvest the kidney of a young man.


The former lawmaker received a jail term of nine years and eight months following the conviction, which stemmed from a high-profile organ-trafficking case that drew international attention.


Recently, the Federal Government, led by Foreign Minister Yusuf Tuggar, met with officials at the Ministry of Justice (MoJ) to discuss the case of Ekweremadu.


The delegation requested his deportation so he could serve his remaining sentence in Nigeria.Ads by




However, according to The Guardian UK, a source at the MoJ has confirmed the request was rejected.


The news platforms reported that the UK government was concerned that Nigeria could offer no guarantees that Ekweremadu would continue his prison sentence after being deported.


A source is reported to have said that: “The UK will not tolerate modern slavery and any offender will face the full force of UK law.”


With this development, Ekweremadu will remain in the UK to serve out the remainder of his sentence.



Meanwhile, his wife, Beatrice Ekweremadu, who was sentenced to four years and six months, with half spent in custody, was released earlier this year and has since returned to Nigeria.




DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Ekweremadu  Nigeria  UK 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            CJID CEO warns digital misinformation is worsening security concerns in Nigeria                        
 


                            New UK Immigration changes and how it will impact those with or without permanent residency                        
 


                            UK most expensive place to develop nuclear power – report                        
 


                            38 abducted Kwara church worshippers regain freedom                        
 


                            Fifty children escape after mass school abduction in Nigeria                        
 


                            Nigeria sees one of worst mass abductions as 315 taken from school                        
 


                            Nigeria gov’t orders closure of 41 Unity Colleges over security concerns                        
 


                            India’s largest conglomerate stops Russian oil imports amid global pressure                        
 


                            UK expected to approve plans for Chinese mega embassy                        
 


                            Taptap Send managers pay courtesy visit to Ghana’s new High Commissioner to the UK & Northern Ireland",Vanguard Nigeria,Africa | HP News 9 | International,25 November 2025 6:10am,https://www.myjoyonline.com/uk-rejects-nigerias-request-to-transfer-ekweremadu-to-nigeria-to-complete-prison-sentence/
Daughter of South Africas ex-president accuses sister of Russia recruitment plot,"One of the daughters of Jacob Zuma, South Africa's former president, has filed a criminal complaint against her sister, accusing her of recruiting men from South Africa to fight in the Russia-Ukraine war.




Nkosazana Zuma-Mncube alleged that Duduzile Zuma-Sambudla, who serves as an MP, and two others tricked 17 men into fighting for Russian mercenaries.


The men were told they were travelling to Russia to train as bodyguards for Jacob Zuma's political party Mkhonto Wesizwe (MK), Zuma-Mncube's statement says.


The police say they are investigating the matter, while Zuma-Sambudla, aged 43, has not responded to the BBC's request for comment.


South Africa's government previously said it had received distress calls from 17 citizens who had joined mercenary forces in the Russia-Ukraine conflict.




The men, aged from 20 to 39, were lured to join the mercenary forces under the pretext of lucrative contracts, the government said.


South Africa has an unemployment rate of more than 30%. Joblessness among young people is even higher, making them especially vulnerable for recruitment, analysts say.


Zuma-Mncube said she had a ""moral obligation"" to file a police complaint against her younger sister.


Earlier this week, international financial outlet Bloomberg reported similar allegations against Zuma-Sambudla and said some men had also been recruited from neighbouring Botswana.



The allegations add to Zuma-Sambudla's legal woes - she is currently on trial over terrorism-related charges.


The MP is being prosecuted over comments she made on social media four years ago during deadly protests in South Africa, following the arrest of her father.


A week of anarchy in several parts of the country in July 2021, including looting and arson, left at least 300 people dead.


Zuma-Sambudla has been accused of fuelling this unrest but she says the charges against her are politically motivated.




Jacob Zuma was jailed for contempt of court for refusing to take part in an inquiry into allegations of corruption during his presidency that led to his sacking.


He subsequently formed the MK party and led it to third place in last year's elections.


The BBC has contacted MK and the Jacob Zuma Foundation for comment.



DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.


 Tags:    Duduzile Zuma-Sambudla  Russia 


DISCLAIMER: The Views, Comments, Opinions, Contributions and Statements made by Readers and Contributors on this platform do not necessarily represent the views or policy of Multimedia Group Limited.

Related to this story



                            Trump says US plan to end Ukraine war not ‘final offer’ for Kyiv                        
 


                            Russia yet to receive anything official from US on peace plan, Kremlin says                        
 


                            Ghana–Russia Center partners Synergy University to deepen academic and cultural cooperation                        
 


                            US military officials in Ukraine amid reports of draft Russia peace plan                        
 


                            Children among 26 killed in one of Russia’s deadliest strikes on western Ukraine                        
 


                            Over 200 Kenyans fighting for Russia in Ukraine – minister                        
 


                            British columnist Mat Whatley’s writeup about Ghana full of inaccuracies – Finance Ministry                        
 


                            The ex-president Zuma’s daughter who faces terror-related charges                        
 


                            In Russia’s ‘blitz’ of Ukraine, the question of appeasement is back                        
 


                            How 48 children were saved from kindergarten hit by Russian drone",BBC,Africa,25 November 2025 2:36am,https://www.myjoyonline.com/daughter-of-south-africas-ex-president-accuses-sister-of-russia-recruitment-plot/
