title,content,author,category,published_date,page_url
Ghana is a talk show country  Bokpin,"Economist Professor Godfred Bokpin has delivered a sharp critique of public discourse that is not grounded in data.He argues that national conversations are too often driven by emotion rather than evidence, underscoring the need to prioritize data in terms of its use, accessibility and relevance to policy making.He stressed that putting data at the centre of discussions is essential for sound economic decision-making.Professor Godfred Bokpin made these remarks during a panel discussion at the 2025 Annual Forum for Data Producers, Users and Enhancers.“As an academic, I put more emphasis on data than gold because I can do without gold. Countries have managed the affairs without gold deposits. I will choose data over gold. I will choose data over oil. I will choose data over every input because without data, nothing gets done. That is how important data is,” he said.He added that the Ghana Statistical Service generates a significant amount of data that remains underutilized, calling for stronger efforts to harness it for economic planning and business decision-making.“There is so much data that is harvested in this country by the Ghana Statistical Service. Sometimes we think that Ghana Statistical Service exists only to give a GDP number. They do so much, so much. But the question is, in our daily life, how often do we rely on data? How data-driven are we? This country is a talk show country. Forgive me.”“The reason this country is a talk show country is that a lot of our discussions across the media platform is not driven by data. If we were driven by data as a country, there would be less disagreement in our discussions on media platforms, and there would be less emotion, and probably less fight. You understand that? Because the data is what it is,” Professor Bokpin remarked.He said once data is placed at the centre of national dialogue, arguments can be made dispassionately, irrespective of where one falls on the political divide, creating a healthier environment for policy making and economic reforms.“If we are doing well, the data says so, it doesn’t matter which party you belong to. So inflation has come down to 6.3%. You don’t need a prophet to tell you this is it and the implication because this is what it is. So sometimes our dogmatism and all of that is magnified because we are less driven by data. Sometimes you see people making arguments driven by emotions. The reason that is happening is because they have not looked at the data. What is the data saying? I think that we are at a point where we can elevate data in terms of its usage, accessibility, and we need to put data at the forefront of national discussion. This way, Ghana will be able to make meaningful progress,” Professor Bokpin mentioned.Tags: BokpinDataGhana News",Daniel Sackitey,,"December 9, 2025",https://citinewsroom.com/2025/12/ghana-is-a-talk-show-country-bokpin/
Nana Akomea: I didnt sell a single foot of STC land,"Former Managing Director of the State Transport Company (STC), Nana Akomea, has dismissed allegations that he sold lands belonging to the company during his tenure.He insisted that attempts to link him to the disposal of STC assets were politically motivated and unfounded.Speaking on Point Blank on Eyewitness News on Monday, December 8, 2025, Mr. Akomea described the claims as false and misleading, emphasising that no STC property was sold under his leadership.“I haven’t sold even a single foot of STC land. So I don’t understand why somebody would make such claims,” he said.Mr. Akomea argued that it was rather the National Democratic Congress (NDC) administration that sold portions of STC land in the past.He alleged that around 2010, when STC was experiencing financial challenges, the then government approved the sale of about four acres of the company’s land in Takoradi to retail giant Melcom.“The people who actually sold STC land were NDC when they were in government. They sold about 4 acres of the STC land when the company was in difficulty. They resorted to selling the land in Tarkoradi, around 2010, to a company called Melcom.“They sold the MD’s bungalow at Ridge, so when I was serving as the MD, I had to look for my own place to stay. They sold 4 acres at the headquarters itself to a company called BCL,” he added.Bawumia will outperform his 2023 NPP primaries showing – Nana AkomeaBawumia will outperform his 2023 NPP primaries showing – Nana AkomeaTags: Ghana NewsNana AkomeaNDCNPPSTC",William Narh,,"December 9, 2025",https://citinewsroom.com/2025/12/nana-akomea-i-didnt-sell-a-single-foot-of-stc-land/
OSP will disappear without Constitutional reform  Prof. Prempeh warns,"Prof. Henry Kwasi Prempeh, Executive Director of the Centre for Democratic Development (CDD-Ghana), has called for a constitutional solution to address the ongoing controversies surrounding the Office of the Special Prosecutor (OSP).Speaking on Channel One TV’s The Point of View with Bernard Avle on Monday, December 8, Prof. Prempeh said the challenges confronting the OSP cannot be resolved through piecemeal reforms or prolonged litigation. He warned that without a decisive constitutional remedy, the office risks becoming ineffective or eventually disappearing.He argued that the situation demands a fundamental constitutional rethink, rather than attempts to “renovate around the problem.”“The problem we’re facing now calls for a constitutional solution. Basically, that is how we can resolve this impasse. If we don’t, we start litigating around it, and the Office will disappear at some point if we don’t solve the problem.“If we’re serious about solving the problem, there’s no shortage of innovative ideas to deal with it. There are comparative models around; we can innovate our own,” he suggested.His comments come amid growing calls by the Majority Leader, Mahama Ayariga, and some Members of Parliament for the abolition of the OSP, with responsibilities for investigating and prosecuting corruption-related offences being transferred to the Attorney-General’s Department.Addressing Parliament on Wednesday, December 3, Mr. Ayariga questioned the rationale behind what he described as the under-resourcing of the Attorney-General’s Department while significant funds are allocated to the OSP, which he argued has failed to meet public expectations.The debate over the future of the OSP continues as key stakeholders consider various options to strengthen Ghana’s anti-corruption architecture.Ace Ankomah: OSP must merge with DPP and EOCO to ensure independenceTags: Ace AnkomahCDD GhanaGhana NewsheadlineKissi AgyebengPoint of ViewProf. Henry Kwasi PrempehSpecial prosecutor",Leticia Osei,,"December 9, 2025",https://citinewsroom.com/2025/12/osp-will-disappear-without-constitutional-reform-prof-prempeh-warns/
Ace Ankomah: OSP must merge with DPP and EOCO to ensure independence,"Private legal practitioner Ace Anan Ankomah has outlined a series of proposals aimed at strengthening the effectiveness and independence of Ghana’s Office of the Special Prosecutor (OSP), amid renewed debate over whether the institution should be scrapped or maintained.Speaking on Channel One TV’s The Point of View on Monday, December 8, Mr. Ankomah responded to calls from sections of the public and Parliament regarding the future of the OSP. He proposed a constitutional review of Article 88(3) and (4), which define the prosecutorial powers of the Attorney-General.He argued that the Attorney-General’s Department, which previously handled corruption and economic crimes, has historically struggled to deliver justice in complex cases.“In my view, Parliament passing the OSP Act is the biggest concession that, when it comes to corruption and corruption-related offences, the AG’s office has not done well,” Ankomah said.He pointed to challenges such as the intricate nature of economic crimes and the strength of legal defenses mounted by accused persons.Ankomah proposed combining the energy and focus that inspired the creation of the OSP with the stabilizing structure of the Director of Public Prosecutions (DPP), the unit under the AG’s office responsible for criminal prosecutions.He stressed the need for a criminal prosecution authority that operates independently of political control.“We cannot trust any government with criminal prosecutions because we see that it favours their friends,” he stated.He cited instances of incoming administrations filing nolle prosequi to discontinue ongoing cases, a practice he said undermines public confidence in the justice system.Ankomah’s proposal calls for the entire criminal prosecution wing of the AG’s office to be separated and merged with the OSP and the Economic and Organised Crime Office (EOCO) to form an independent National Prosecutions Authority.He said the authority should be headed by a civil servant and enjoy judicial-quality independence, including security of tenure, financial autonomy, and insulation from political interference.“Yes, the police will still investigate crime, but this office will be the authority to prosecute so that we can be sure there is minimal political interference,” Ankomah added.Ace Ankomah: Parliament has great aversion to independent institutionsTags: Ace AnkomahAGEOCOGhanaGhana NewsOSPPoliceProsecutors",Abigail Arthur,,"December 8, 2025",https://citinewsroom.com/2025/12/ace-ankomah-osp-must-merge-with-dpp-and-eoco-to-ensure-independence/
Ace Ankomah: Parliament has great aversion to independent institutions,"Private legal practitioner Ace Ankomah has suggested that Ghana’s Parliament has historically shown resistance to independent state institutions once they begin to assert their constitutional autonomy.His comments come against the backdrop of calls by the Majority Leader, Mahama Ayariga, and some Members of Parliament for the Office of the Special Prosecutor (OSP) to be abolished, with proposals that the Attorney-General’s Department should instead handle all corruption-related investigations and prosecutions.Addressing Parliament on Wednesday, December 3, Mr Ayariga questioned why the Attorney-General’s Department remains under-resourced while significant funds are allocated to the OSP, which he argued has failed to meet public expectations.Mr Ankomah, however, offered a broader perspective on the debate while speaking on Channel One TV’s The Point of View with Bernard Avle on Monday, December 8.He argued that Parliament’s posture toward the OSP reflects a long-standing pattern of hostility toward independent constitutional bodies.“Parliament has a great aversion to all the independent institutions, even those set up by the Constitution,” he said, citing the experience of the Auditor-General’s Office as an example.According to Mr Ankomah, it took legal action to compel the Auditor-General to exercise its constitutional powers of disallowance and surcharge years after the Constitution came into effect.He said that once the office began actively enforcing those powers, it recovered about GH¢65 million for the state, based on World Bank data.He further recalled subsequent events that, in his view, weakened the Auditor-General’s Office, including parliamentary debates aimed at circumventing Supreme Court decisions that strengthened the institution’s independence.“For years after the constitution came into effect, the Auditor General had never bothered to assert the independence of disallowance and surcharge. It took us to go to court to get a court order to compel the Auditor General to start disallowing and surcharging.“At least according to the World Bank, by the time we killed the Auditor General’s office again by declaring the occupant Togolese and declaring him retired all of a sudden, the former Auditor General [Daniel Domelevo] had recovered GHC65 million for the Republic of Ghana.He added, “This is according to the World Bank. Okay, then we decided that he was doing too much work. But the interesting thing was that in Parliament, there was a debate, I think the vetting of a Minister of National Security, where between the minority and majority, they decided that the decision we went to the Supreme Court for, Occupy Ghana, was too bad. They should find a way to go around it. I remember we issued a statement challenging that, and they immediately backed down. So whenever the institution starts showing any independence, our Parliament tends to get anti.”Mr Ankomah argued that similar reactions now confront the OSP as it seeks to establish itself, cautioning against rushing to dismantle institutions that are still developing.He called on Ghanaians to urge Parliament to exercise restraint and allow independent offices the space to grow, stressing that institutional learning and effectiveness take time.Mahama to receive Bawku Mediation Report December 11Tags: Ace AnkomahGhana Newsindependent institutionsKissi AgyebengMahama AyarigaOSPParliamentPrivate Legal Practitioner",Leticia Osei,,"December 8, 2025",https://citinewsroom.com/2025/12/ace-ankomah-parliament-has-great-aversion-to-independent-institutions/
Bawumia will outperform his 2023 NPP primaries showing  Nana Akomea,"Vice Chairman of the ‘Bawumia 2024 Campaign Team,’ Nana Akomea, has expressed confidence that Former Vice President Dr. Mahamudu Bawumia will perform better in the upcoming New Patriotic Party (NPP) presidential primaries than he did in 2023.Speaking on Citi Eyewitness News on Monday, December 8, Akomea highlighted that Bawumia’s popularity appears to have grown, even without the advantages of incumbency. According to him, Bawumia’s increased support base positions him strongly ahead of the party’s flagbearer election.“Bawumia’s popularity, without the incumbency appears to have increased that is why I told you that he will do better than he did in 2023. It is just a month away, you wait and see,” Nana Akomea said, projecting optimism for his campaign.The NPP is set to hold its presidential primaries on January 31, 2026, to select its flagbearer for the next general elections. Dr. Bawumia is among five aspirants contesting the slot.The other candidates include former Assin Central MP Kennedy Agyapong, former Minister of Food and Agriculture Dr. Bryan Acheampong, former Education Minister Dr. Yaw Osei Adutwum, and former General Secretary of the party, Kwabena Agyepong.Nana Akomea also suggested that the primaries are shaping up to be a competitive race, noting that Bawumia’s experience in government, as well as his public service record, are likely to give him an edge over his competitors.He urged party members and delegates to carefully evaluate each aspirant based on their ability to lead the party and win the next general elections.Tags: Dr Mahamudu BawumiaGhanaGhana NewsNana AkomeaNPP",Juliana Odame Asare,,"December 8, 2025",https://citinewsroom.com/2025/12/bawumia-will-outperform-his-2023-npp-primaries-showing-nana-akomea/
National and Regional Bodies to attend Bawku Mediation Report handover,"The formal presentation of the Bawku Mediation Report to President John Dramani Mahama will take place at the Jubilee House in Accra on Thursday, 11th December 2025, at 10:00 a.m.Key national bodies, including the National Peace Council, Christian Council, Office of the National Chief Imam, Catholic Secretariat, and other stakeholders, have been invited to the event. Development partners such as the UNDP, the British High Commissioner, as well as selected Ministers, the Upper East Minister, and the North East Minister, will also be in attendance.Representatives from the Upper East Regional House of Chiefs and the Coordinator for National Security have similarly been invited.The presentation marks a significant milestone in the national initiative, led by His Majesty Otumfuo Osei Tutu II, to restore lasting peace, stability, and reconciliation in Bawku and its surrounding communities.The mediation process involved extensive consultations and high-level engagement, aiming to end years of conflict and strengthen social cohesion in the area.The invitation highlights that the presence of religious bodies, government officials, development partners, and regional leaders reflects a unified national commitment to sustainable peacebuilding efforts.The Presidency described the occasion as one of national significance and looks forward to welcoming all invited stakeholders for the formal handover of the report.Mahama to receive Bawku Mediation Report December 11Tags: BawkuChristian CouncilGhana NewsJohn MahamaOtumfuo Osei Tutu IIUNDP",Juliana Odame Asare,,"December 8, 2025",https://citinewsroom.com/2025/12/national-and-regional-bodies-to-attend-bawku-mediation-report-handover/
Mahama to receive Bawku Mediation Report December 11,"President John Dramani Mahama will on Thursday, December 11, 2025, receive the official Bawku Mediation Report at a ceremony to be held at the Jubilee House in Accra.The event represents a major milestone in the ongoing national efforts to restore sustainable peace and stability in Bawku and surrounding communities.The report is the outcome of mediation processes led by the Asantehene, His Majesty Otumfuo Osei Tutu II, who has been spearheading national reconciliation efforts aimed at ending longstanding tensions in the area.The ceremony is expected to highlight the collective commitment of state institutions, traditional authorities, religious bodies, and development partners toward building social cohesion in the region.The presentation, scheduled for 10:00 a.m., will bring together senior government officials, traditional leaders, the mediation team, and selected dignitaries.Among the invited institutions are the National Peace Council, the Christian Council, the Office of the National Chief Imam, the Catholic Secretariat, UNDP, the British High Commission, and key regional authorities, including the Ministers for Upper East and North East, as well as representatives from the Upper East Regional House of Chiefs and National Security.Read alsoBawku Conflict: Otumfuo to brief Mahama after landmark joint mediationTags: Bawku Mediation ReportGhana NewsheadlineHis Majesty Otumfuo Osei Tutu IIJohn MahamaMahama",Abigail Arthur,,"December 8, 2025",https://citinewsroom.com/2025/12/mahama-to-receive-bawku-mediation-report-dec-11/
Newmont wins multiple honours at 2025 Ghana Mining Industry Awards,"Newmont has emerged as one of the standout performers at the 2025 Ghana Mining Industry Awards (GMIA), earning multiple recognitions for excellence in innovation, environmental stewardship, and community development.The company’s Ahafo South mine delivered an exceptional performance at this year’s event, emerging as the Best Green Mine as well as the Best Performer in Innovation. The mine was also 1st Runner-up for Best Performer in Environmental Management, 2nd Runner-up for Best Performer in Exploration (Senior Category), and 2nd Runner-up for Best Performer in Corporate Social Investment Project.These wins reinforce the mine’s leadership in sustainability, operational excellence, and innovative mining practices.The Ahafo North mine, Newmont’s newest large-scale gold operation, was also named 1st Runner-up for Best Performer in Corporate Social Investment Project.There were some individual recognitions as well. Abena Acheampomaa Ankomah, Newmont’s Lead for Communities and Social Performance at Ahafo North, was honoured as the Female Mining Professional of the Year (Non-Technical) for her exceptional leadership in community engagement and dedication to driving sustainable development in Ahafo North’s host communities.The industry also posthumously honoured the late Kwame Addo-Kufuor Jnr. with a Lifetime Achievement Award. Mr. Addo-Kufuor, who once served as Head of Government Relations for Newmont Ghana, as well as President of the Ghana Chamber of Mines, contributed significantly to Ghana’s mining sector and strengthened industry-government collaboration.Speaking on the company’s achievements, Danquah Addo-Yobo, Country Manager for Newmont’s Ghana business, said: “This has been a defining year for Newmont in Ghana. The company successfully transitioned Ahafo North from a project to an operational mine, while the Ahafo South mine achieved a milestone 10 million ounces of gold production. Awards such as the ones we received at the Ghana Mining Industry Awards, remind us of the responsibility we bear as industry leaders, in terms of our mining practices and the value we generate for communities and the country.”Newmont is the world’s leading gold company and a producer of copper, zinc, lead, and silver. The Company’s world-class portfolio of assets, prospects and talent is anchored in favorable mining jurisdictions in Africa, Australia, Latin America & Caribbean, North America, and Papua New Guinea. Newmont is the only gold producer listed in the S&P 500 Index and is widely recognised for its principled environmental, social, and governance practices. The Company is an industry leader in value creation, supported by robust safety standards, superior execution, and technical expertise. Newmont was founded in 1921 and has been publicly traded since 1925. Tags: Ahafo South MineGhana Mining Industry AwardsNewmont",Citi Newsroom,,"December 8, 2025",https://citinewsroom.com/2025/12/newmont-wins-multiple-honours-at-2025-ghana-mining-industry-awards/
Overload of Gonja kingdom donates GH50k to U-15 football teams,"The Overlord of the Gonja Kingdom, Yagbonwura Bii-Kunuto Jewu Soale I, has made a generous donation of GH₵50,000 to Ghana’s National Under-15 male and female football teams.The support comes after the teams returned from international tournaments in Burkina Faso, where they showcased their skills, with the female team securing a silver medal.The donation was made during a courtesy visit by the teams to the Jakpa Palace on December 5, 2025.Chief Seidu Benkrowura, the Spokesperson for Yagbonwura, described the contribution as a “token to drink water on the way, “expressing appreciation for the teams’ visit and wishing he could have hosted them longer.Head coach of the male U-15 team, Salifu Fatawu, thanked Yagbonwura on behalf of the Ghana Football Association (GFA).He highlighted the team’s challenging journey, with the males exiting early and the females finishing as runners-up.“Half a loaf is better than none,” Fatawu said, praising the players’ determination.The GFA delegation assured the king of their commitment to developing youth football and hoped for continued partnership with traditional leaders. Ghana’s National Under-15 male and female football teams.Tags: GhanaOverlord of Gonja Kingdomunder-15 male and female football teams.Yagbonwura Bii-Kunuto Jewu Soale I",Gazari Malik,,"December 8, 2025",https://citinewsroom.com/2025/12/overload-of-gonja-kingdom-donates-gh%e2%82%b550k-to-u-15-football-teams/
