title,content,author,category,published_date,page_url
"Violent Attack on Police in Saawie: 9 arrested, service weapons recovered","The Upper West Regional Police Command has arrested 9 suspects and recovered service weapons following a violent attack on officers in the Saawie community of the Jirapa Municipality in the Upper West Region.
This was confirmed in a statement signed by Francis K Viribaare, the Regional Police Commander, on Sunday, December 7, 2025.
On Friday, December 5, 2025, a mob numbering about thirty attacked officers who were conducting enquiries at Saawie near Jirapa, dispossessed them of four service weapons, and caused injuries to the officers, the statement noted.
Clamp down on suspected criminals at Aboabo Forest, 27 arrested, one dead
According to the statement, DCOP Francis Yiribaare immediately led a reinforcement team to the community to rescue the injured officers.
The team successfully retrieved all weapons, and efforts are ongoing to retrieve two magazines. A total of nine suspects connected to the attack have been arrested and will be put before the court, it said.
Police arrest, arraign leader of robbery pack who stormed Juaso Forestry Office
The police condemned the attack and called on residents to assist with investigations.
The Upper West Regional Police Command condemns this attack and assures residents that we are taking decisive measures to protect our officers and law-abiding citizens, the statement added.
Read the full statement below:
JKB/EB
Netizens descend on Kwakye Ofosu for defending Mahamas broken promise:",,Crime,  7 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Violent-Attack-on-Police-in-Saawie-9-arrested-service-weapons-recovered-2012571
Five suspected armed robbers arrested in Sefwi Bekwai,"The Western North Regional Police Command has apprehended five suspected armed robbers involved in a series of robberies in Sefwi Bekwai and surrounding areas.
The suspects have been identified as Iddrisu Abdalla (20), Abdul Rahaman Abubakar (21), Okasha Mohammed (19), Toffic Bawa (24), and Richard Gyapong (35).
In an official post on Facebook on December 7, 2025, it stated that the arrests followed an intelligence-led operation, during which officers intercepted three of the suspects riding an unregistered motorbike.
Police arrest, arraign leader of robbery pack who stormed Juaso Forestry Office
""The arrests followed an intelligence-led surveillance operation within Sefwi Bekwai and its environs, during which officers intercepted three of the suspects riding an unregistered motorbike. Upon reaching the Mpesiem Police snap checkpoint, the suspects failed to stop and were pursued and arrested"", the statement said.
When they failed to stop at the Mpesiem Police snap checkpoint, a pursuit ensued, resulting in their arrest.
Searches of the suspects residences yielded a backpack containing numerous talismans, a face mask, and finger rings items believed to have been used in their criminal activities.
Ahafo Heist: Police nab two robbers, hunt for others intensifies
Preliminary investigations link the five individuals to multiple robbery incidents in the Bekwai area.
All suspects remain in police custody and are assisting with ongoing investigations.
Read the full post below
MRA/EB
Netizens descend on Kwakye Ofosu for defending Mahamas broken promise:",,Crime,  7 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Five-suspected-armed-robbers-arrested-in-Sefwi-Bekwai-2012569
Trial of man accused of stabbing firefighter set for December 17,"The Achimota Circuit Court will, on December 17, 2025, commence the trial of Sampson Azumah, a 21-year-old man accused of stabbing a firefighter at Adjiriganor.
Azumah allegedly stabbed the firefighter with a screwdriver after water used to douse a fire splashed on him.
He was charged with causing harm and entered a plea of not guilty.
On December 3, 2025, prosecution, led by Chief Inspector Emmanuel Addo, informed the Court during the Case Management Conference that three witness statements had been filed and served on the accused, who has no legal representation.
The trial judge directed Azumah to ensure the statements were read and explained to him.
When Azumah asked who should explain them, the judge ordered the Registrar to ensure this was done before the next adjourned date.
The prosecution said the complainant was Leslie Adjie Tetteh, a fire officer residing at Teshie, while Azumah is unemployed and lives in Adjiriganor, East Legon.
On November 14, 2025, at about 2330 hours, Tetteh, stationed at the Ghana National Fire Service headquarters, was among the firefighters who battled a blaze at the residence of one Yvonne Okoro at Adjiriganor.
The Court heard that the scene attracted many bystanders, some of whom pelted the firefighters with stones.
While folding the water hose after the fire was controlled, Tetteh was attacked by Azumah, who accused him of deliberately sprinkling water on him.
Azumah allegedly pulled a concealed screwdriver from his waist bag, stabbed the complainant in the left arm, and fled.
The prosecution said the complainant was rushed to hospital for treatment, after which a report was lodged with the East Legon Police.
A medical form was issued for further treatment.
On November 17, 2025, Azumah was arrested, admitted the offence, and the screwdriver was retrieved.
Rashid Nisawu, Greater Accra Regional Chief Fire Officer, stated that the Service would continue attending court sittings and was determined to pursue the matter to its logical conclusion.
He said that relaxing its stance could cause the public to take the Service for granted.",,Crime,  7 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Trial-of-man-accused-of-stabbing-firefighter-set-for-December-17-2012541
"Clamp down on suspected criminals at Aboabo Forest, 27 arrested, one dead","The IGP Special Operations Team on Wednesday encountered a violent clash during an intelligence-led operation at the Aboabo Forest enclave in the Tamale Metropolis.
The police said the team, while advancing through the area in search of gangs involved in robbery and trafficking of illicit drugs, came under sudden gunfire from a group of armed criminals.
One suspect was struck during the exchange, the source said.
The attack placed the lives of team members in danger. Acting in line with police rules of engagement and legitimate self-defence protocols, the officers returned fire to neutralise the threat, the report said.
The remaining armed individuals fled the scene with their weapons as reinforcements closed in, the source added.
The team, per reports, approached the injured suspect with the intention of providing assistance and transporting him to the Tamale Teaching Hospital.
However, on arrival, the attending medical officer pronounced the
suspect dead.
The source said the body has since been deposited at the mortuary for preservation, pending autopsy.
The confrontation confirmed earlier intelligence indicating that the criminal elements within the area were heavily armed and prepared to violently resist arrest.
Earlier during the day, the IGP Special Operations Team paid a courtesy call on the leader of Masjidul Bayan, Sheikh Basha, as part of its operational activities in the Northern Region.
Assistant Superintendent of Police Bawah Abdul Jalil, who led the team, comprising 50 personnel, was received warmly by Sheikh Basha, together with several Imams and community elders.
ASP Abdul Jalil briefed the religious leaders on the teams mandate, which focuses on combating robbery, attacks on mobile money vendors, rape, illicit drug peddling, and other crimes affecting national security.
Sheikh Basha offered prayers, encouragement, and support for the police, praising their efforts in safeguarding communities.
The team proceeded to Sanzhirigu, where intelligence suggested that a particular house was being used for the sale and consumption of illicit drugs.
The source said on arrival, the officers found several individuals on the premises and arrested five suspects.
Substantial quantities of dried leaves suspected to be Indian hemp, along with bottles of Koffex syrup, were recovered.
Subsequent intelligence led the team to Aboabo Forest, a known hideout for gangs engaged in robbery and drug trafficking.
The coordinated swoop led to the arrest of 27 suspects.
Items retrieved included quantities of dried leaves suspected to be Indian hemp, significant quantities of opioid tablets, six motorbikes believed to be stolen, and three mobile phones also suspected to be stolen.
According to the source, the entire area was secured to prevent escapes
and ensure the safety of officers and civilians.
All suspects arrested were transported to the District Charge Office and the Sakasaka Police Station for detention and further investigation.
The seized substances were handed over to investigators for forensic examination and laboratory analysis, while the suspected stolen motorbikes and mobile phones were deposited at the station for safekeeping and verification.
Throughout the days activities, the Team maintained high levels of discipline, tactical coordination, and adherence to rules of engagement.
Their professionalism remained evident even in the face of armed resistance, reinforcing public confidence in the ongoing efforts to curb violent crime and criminal networks within the Tamale Metropolis.",,Crime,  6 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Clamp-down-on-suspected-criminals-at-Aboabo-Forest-27-arrested-one-dead-2012455
"Police rescue victim, arrest suspect in viral domestic abuse case","The
Ghana Police Service
has rescued a young woman who appeared in a viral video with a visible injury to her left eye, distressed and calling for help from pedestrians and motorists.
In a statement posted on its Facebook page on Friday, December 5, 2025, the police confirmed that the suspect alleged to have inflicted the injuries has also been arrested.
Police arrest 10 men over viral video of brutal assault on two women
""The
Ghana Police Service
, through the IGP's Special Cyber Vetting and Enforcement Team, has rescued a young woman who was seen in a viral video with an injury to her left eye, visibly distressed and calling for help from pedestrians and motorists. The team also arrested the suspect connected to the case,"" it stated.
The police noted that, ""Upon receipt of the video, the Special Cyber Vetting and Enforcement Team launched a swift intelligence operation which led officers to Okushibri near Apollonia, where both the victim and the suspect were located.""
Viral video of young woman assaulting man sparks public outrage
It also noted that the suspect is currently in custody.
""The suspect is currently in police custody assisting ongoing investigations, while arrangements are being made to provide the necessary support for the victim,"" the statement said.
The police, however, entreated the public to report domestic violence cases for investigation and prosecution.
""We urge the public to report incidents of domestic violence to the police for investigation and prosecution"", it added.
See the full post below:
JKB/EB
Netizens descend on Kwakye Ofosu for defending Mahamas broken promise:",,Crime,  5 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Police-rescue-victim-arrest-suspect-in-viral-domestic-abuse-case-2012397
"Police arrest, arraign leader of robbery pack who stormed Juaso Forestry Office","he Ashanti Regional Police Command has announced they have arrested one Prince Agyapong in connection with a robbery attack at the Juaso District Forestry Services Division.
The arrest took place on Monday, December 1, 2025.
Preliminary investigations, police said on Facebook, Thursday, December 4, indicated that about 30 men, armed with knives and other offensive weapons and led by the suspect, stormed the forestry premises while the Forestry Rapid Response Team was away on monitoring duties.
""The group compelled the workers to surrender their mobile phones, and ransacked several offices. They took away two chainsaw machines, one tricycle, two KIA trucks, and cash in the sum of nine thousand Ghana cedis belonging to one of the staff members,"" police indicated.
""A pursuit was immediately mounted, leading to the arrest of the leader of the group, suspect Prince Agyapong. The two stolen KIA trucks were recovered and conveyed to the Juaso District Police Headquarters for investigation, while his accomplices managed to escape.""
Upon arrest, Prince Agyapong was put before the Agogo District Court on a provisional charge of robbery and remanded into police custody to reappear on December 15, 2025.
""Efforts are ongoing to arrest the remaining suspects and retrieve the outstanding stolen items,"" police assured.",,Crime,  5 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Police-arrest-arraign-leader-of-robbery-pack-who-stormed-Juaso-Forestry-Office-2012297
Man who assaulted his naked wife remanded again; sister granted bail,"John Odartey Lamptey, a businessman who allegedly assaulted his naked wife at Ofankor in Accra, has been remanded for the second time by a court.
Lamptey, who first appeared before a District Court, was on December 3, 2025, brought before a Circuit Court at the Police Headquarters.
Also in the dock was his sister, Grace Lamptey, a food vendor.
John has been charged with causing harm, physical assault, two counts of threat of death, and engaging in domestic violence.
Grace, 51, faces a charge of threat of harm. Both pleaded not guilty.
While the court remanded John, it admitted Grace to bail in the sum of GHC20,000 with two sureties, and ordered her to report to the police every two weeks.
The matter was adjourned to December 16, 2025.
The prosecution opposed granting bail to John, arguing that it could compromise his personal security and allow him access to witnesses.
Defence counsel, however, said the accused persons were not flight risks, noting that police arrested them in their known homes, and insisted they would comply with any bail conditions.
The complainant, Harriet Amuzu, a 32-year-old unemployed woman, is the wife of the accused. The couple has two children.
According to the prosecution, investigations revealed that in July 2025, John attacked Harriet, physically assaulted her, inserted pepper into her vagina, and forcibly had sex with her.
He allegedly seized her phone and one of their children, forcing her to flee to relatives for safety.
On November 15, 2025, John reportedly called Harriet, saying their two-year-old child was sick and needed her care. When she returned the next evening, she found the child was not ill.
The following morning, as she attempted to pack her belongings, John allegedly seized her clothes, claiming he bought them, and tore them.
He then locked the door, stripped her naked, tore her dress and waist beads, and threatened to kill her.
You think I will let you go like that? I will kill you. I set a trap for you, and I will bury you at the cemetery behind us, he said.
Prosecution said John assaulted Harriet with an aluminium mop stick and a slipper, and later wielded a cutlass, ordering her to stretch out her hands for him to cut them off.
He allegedly continued the assault with a PVC pipe, as captured in a viral video.
Fearing for her life, Harriet escaped and went into hiding.
Grace, the second accused, allegedly confronted and threatened the witness who posted the video online, saying: I give you three days, you will die. She was subsequently arrested.
The prosecution said Harriet returned from hiding on November 20, 2025, and was medically examined and given psychological counselling.",,Crime,  5 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Man-who-assaulted-his-naked-wife-remanded-again-sister-granted-bail-2012296
"Interior minister condemns attacks on security personnel, urges professional conduct","The Minister for Interior, Muntaka Mohammed-Mubarak, has cautioned citizens against attacks on security personnel and called for an immediate end to such unlawful behaviour.
He also urged security officers to discharge their duties with professionalism and in accordance with the oath they swore to protect citizens.
The Minister gave the caution on Thursday during the official commissioning and handing over of 40 special-purpose armoured vehicles, comprising 15 armoured pick-ups, 20 COBRA-3s, and five COBRA-4 high-grade armoured vehicles, to the Ghana Police Service.
President John Dramani Mahama handed over the vehicles at a ceremony at the Police Headquarters, attended by high-level dignitaries.
The Minister said any assault on a police officer was an attack on the very heart of the state, adding that such conduct would be met with a firm and decisive response under Ghanas laws.
However, he noted that the relationship between the public and the security services should be reciprocal, urging professionalism, discipline, integrity, and respect during policing at all times.
Mr Muntaka described the new fleet as a practical demonstration of the governments unwavering commitment to safeguarding the Republic.
He assured the President of the Interior Ministrys alignment with efforts to build a modern, intelligence-driven, and well-equipped internal security architecture.
The Minister said his outfit was also pursuing comprehensive reforms, including modernising training, strengthening supervision, improving welfare, expanding accommodation, and deploying advanced technology across security agencies.
He said the vehicles would be strategically deployed across the country based on intelligence and operational demand, and integrated into highway patrols, high-crime zones, rapid response units, and special operations.
The Minister issued a warning to criminal networks, saying: Your time is up. The police are prepared. The tools are ready. The intelligence is improving. We will find you, we will stop you, and you will face the full force of the law. Ghana is a peaceful nation, but we are not a defenceless one.
He urged communities to support law enforcement efforts by sharing timely information, reporting suspicious activities, and participating in community-policing initiatives.
Mr Christian Tetteh Yohuno, the Inspector-General of Police, said the Police Service had, in recent years, witnessed a rise in the risks officers faced daily, adding that the new vehicles were essential for confronting criminal threats and protecting officers.
The IGP recalled President Mahamas earlier announcement of a GH1 billion investment to retool the security services, saying the government had walked its talk by fulfilling the promise to provide armoured vehicles for police patrols.
He said the vehicles would significantly enhance officer safety, operational efficiency, and overall national security.
Mr Yohuno highlighted key breakthroughs in policing, including arrests linked to rural bank robberies, the Mpasatia Radiance filling station robbery, MoMo vendor attacks, the Wa and Bole serial murders, vehicle theft syndicates, and fake online food-delivery scams.
He said many of those operations required officers to enter dangerous environments where criminals often fired at police, resulting in casualties.
Some officers sustained severe injuries, while others had died in the
line of duty.
He noted that the vehicles would completely change the face and dynamics of police operations, enabling the launch of more robust and targeted nationwide operations aimed at dismantling criminal networks.
To those disturbing the peace of this country, we are coming for you. You can run and hide, but we will surely get you, he warned.
The IGP expressed deep gratitude to the President and government for prioritising police welfare and pledged that the vehicles would be well-maintained and strategically deployed.
He urged officers across all 25 police regions to sustain their momentum and remain committed to protecting lives and ensuring national security.
Mr Yohuno assured the public of continued safety during the Christmas season, noting that comprehensive security arrangements had been put in place before, during, and after the festivities to ensure public safety.",,Crime,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Interior-minister-condemns-attacks-on-security-personnel-urges-professional-conduct-2012271
"Ahafo Heist: Police nab two robbers, hunt for others intensifies","The Ghana Police Service has made significant progress in investigating a recent robbery spree at Nkasiem, Ahafo Region, by arresting two suspects believed to be part of a dangerous criminal syndicate.
According to a post on the Ghana Police Facebook page on December 4, 2025, it noted that the gang targeted a gold-buying company, a cocoa-buying company, and attempting to breach a bank vault on December 2, 2025.
Chief Inspector Kwadwo Boakye, the Public Relations Officer for the Ghana Police Service in Ahafo, stated that the alleged robbers were armed with pump-action guns and shot and wounded one person during the attacks before their arrest.
""The robbers, who were armed with pump-action guns, also shot and wounded one person in the thigh. The victim was treated and discharged at St Elizabeth Hospital, Hwidiem/AHR.
Police arrest 10 men over viral video of brutal assault on two women
""Through a targeted intelligence-led operation, two of the suspects were arrested, and a manhunt is underway to get the remaining suspects arrested,"" he noted.
Kwadwo Boakye additionally stated that the Police Service is working assiduously to apprehend the remaining members who are at large.
""Through a targeted, intelligence-led operation, two of the suspects were arrested, and a manhunt is underway to get the remaining suspects arrested.
""To support this ongoing pursuit, the Inspector-General of Police (IGP) has deployed a special anti-robbery team from the National Police Headquarters in Accra to assist the Ahafo Regional Command. The Command assures the public that all members of the criminal syndicate will be identified and arrested to face the full rigors of the law,"" he added.
Read the full post below:
NAD/AE
Watch some videos from the NPPs 2025 Constitution Amendment",,Crime,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Ahafo-Heist-Police-nab-two-robbers-hunt-for-others-intensifies-2012263
'Trial yet to commence' - Wontumis lawyer dismisses claims of 15-year jail sentence,"The lead counsel for Bernard Antwi Boasiako, commonly known as Chairman Wontumi,
Andy Kwame Appiah-Kubi
, has dismissed some media speculations that his client has been handed a 15-year jail sentence.
According to him, no such verdict exists because the criminal trial against Wontumi has not yet commenced.
While in court on November 25, 2025, Appiah-Kubi told the presiding judge that the defence had yet to receive what it considers key documents from the prosecution, materials it says are essential for preparation.
We expect supplementary disclosures including documents in the prosecutions possession that may not be tendered as evidence but are still relevant for our defence, Appiah-Kubi argued.
As a result, the case has been adjourned to December 8, 2025, giving the defence time to file a formal motion demanding full disclosure.
Meanwhile, during the last proceedings on November 27, Andy Appiah-Kubi stated that the defense team will file a motion seeking a court order to compel prosecutors to release documents they believe are crucial to their case.
Speaking to the media, Appiah Kubi explained that during the previous sitting, the prosecution had indicated an intention to file additional documents.
However, as of that day's appearance, the defence, he stated, had not been served with any such filings.
In the last sitting, there was an indication that prosecution wanted to file further documents, so we inquired whether such documents had been filed. Fortunately, we have not been served with such documents, he noted.
He added that the prosecution has since stated it does not intend to file further documents and is ready for case management.
Nonetheless, the defence maintains that certain documents, believed to be in the possession of the prosecution, are necessary for their submissions.
It is our expectation that they would file some documents that we would rely on, and such documents have not been filed. We believe such documents are within the possession of the prosecution, so we prayed the court that we will come in with a motion pleading for an order directing the prosecution to serve us the documents we need, he added.
According to Appiah-Kubi, the defence will incorporate the requested documents into their own filings once they are served.
He further argued that failure by the prosecution to provide the documents would create a presumption of non-existence, which would prevent any party from relying on them during trial.",,Crime,  4 December 2025,https://www.ghanaweb.com/GhanaHomePage/crime/Trial-yet-to-commence-Wontumi-s-lawyer-dismisses-claims-of-15-year-jail-sentence-2012237
