title,content,author,category,published_date,page_url
Ejura Divisional Council to honor Ejurahene with statue for unparalleled leadership,"The Ejura Divisional Council is set to honor the Chief of Ejura, Barimah Osei Hwedie II, with a statue as part of his unprecedented 10-year rule that has brought massive development to the area.
According to the Nifahene for the council, Nana Osei Kwadwo Ansebie II, the bust (mini statue) will be placed in the Ejura community as a symbol of reverence, good leadership, and appreciation for the good works of Barimah Osei Hwedie II in the last decade.
The divisional council will mark the 10th anniversary of Ejurahene Barimah Osei Hwedie II on December 28, 2025, to celebrate the renowned chief for his exemplary leadership.
Speaking to OTEC news Reporter Kwame Agyenim Boateng on Sunday, November 23, 2025,  Nana Osei Kwadwo said the event will be held soberly due to the recent deaths of Asantehema and Mamponghene Daasebre Osei Bonsu.
""After deliberations, the council decided to be measured in this anniversary celebration, due to the unpleasant news in Asanteman and Asante Mampong recently,"" Nana Osei Kwadwo Ansebie II said.
""We have decided to go to church and thank God for his guidance, pray for Ejurahene's strength and wisdom, and later unveil the bust.""
He noted that, for them at Ejura, Barimah Osei Hwedie II has been more than a leader but a father for all, sacrificing his own happiness and wealth for the community's development.
He praised Ejurahene for leading major and landmark developmental projects, which have significantly improved the living conditions of the people of Ejura.",,Regional, 24 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Ejura-Divisional-Council-to-honor-Ejurahene-with-statue-for-unparalleled-leadership-2010763
Use reclaimed mining lands for non-edible cash crops - Dr Agyemang,"The Founder of HEPA Plus Herbal Mixture, Dr Ebenezer Agyemang, has called on the government to utilise reclaimed illegal mining lands for the cultivation of commercial non-edible cash crops to protect consumers from heavy metals.
The renowned herbal practitioner argued that these plants will help in the treatment of the land while providing jobs and revenue at the same time.
He noted that it would be dangerous for the country to allow the cultivation of edible crops on recently reclaimed mining sites.
""Research by scientists at The Kwame Nkrumah University of Science and Technology, KNUST and the Crop Research Institute has proven the presence of heavy metals in foods grown at these illegal mining sites,"" he said.
""These heavy metals, which have been detected in maize, cowpea and other edible crops may find their way in meals which will be dangerous for consumption,"" Dr Agyemang added.
""My suggestion is that Ghana must reclaim all these mining sites but rather use them for the plantation of thick trees, rubber and other non-edible cash crops.""
Speaking to OTEC news on Monday, Dr Ebenezer Agyemang noted that these cash crops will not only treat the land but will create jobs for the youth.
He appealed to the government to team up with academia in this discussion and find a lasting solution to the problem.",,Regional, 24 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Use-reclaimed-mining-lands-for-non-edible-cash-crops-Dr-Agyemang-2010762
Greater Accra NPP disassociates itself from chairman's statement on Naa Torshie Addo,"The Greater Accra Regional Secretariat of the
New Patriotic Party
(NPP) has distanced itself from a statement issued by the Regional Chairman, Divine Otoo Agorhom, regarding
Irene Naa Torshie Addo
, a former Administrator of the District Assembly Common Fund, insisting that the release did not reflect the official position of the regional leadership.
In a clarification issued on November 23, 2025, the secretariat said its attention had been drawn to a publication circulating as though it emanated from the regional hierarchy.
It stressed that no meeting of the Regional Executive Committee, Council of Patrons, Elders, Disciplinary Committee, Finance Committee or any other body was convened to discuss or authorise any statement concerning Naa Torshie.
Paul Afoko's return to NPP a big blow to United Party - Dr Zaato
At no point was any regional leadership meeting convened to discuss or approve that statement. It was issued solely by the Regional Chairman and reflects only his personal views, the secretariat said.
According to the secretariat, the last officially held regional meeting took place on Wednesday, November 12, 2025, at the Shelter and focused on the partys Presidential Primaries and album verification.
It added that the regional chairman used part of that meeting to make what it described as unfounded remarks about Naa Torshie due to her alignment with a different internal camp.
The secretariat also rejected allegations made in the chairmans November 23 statement suggesting that Naa Torshie had claimed that Greater Accra voters withheld support in the 2024 Election because the party selected an Ashanti running mate.
We have monitored her engagements closely, and at no point did she make such a claim, directly or indirectly, the secretariat stated.
It further challenged Chairman Agorhom to provide audio, video, or transcripts to substantiate his allegations, describing the claims as baseless and inappropriate.
They also emphasised that internal party democracy guarantees every member the freedom to support any candidate of their choice without intimidation or backlash.
'How did she get into Parliament?'  Kwesi Pratt slams NPP MP over budget 'ignorance'
The statement also outlined what it said were Naa Torshie Addos extensive contributions to the regional party structure. These include funding for training programmes, research, communication activities, mobilisation drives, womens and youth wing initiatives, Nasara programmes, and logistical support for parliamentary candidates during the 2020 and 2024 elections.
It further highlighted that she is the sole financier of the ongoing construction of the partys ultra-modern regional office. Beyond party matters, the secretariat acknowledged her support for individuals undertaking religious pilgrimages to Mecca and Israel.
Concluding the statement, the secretariat apologised to her, saying, We sincerely apologise for the unwarranted and unnecessary attacks on the Mama of the region. Hon Naa Torshie Addo remains a pillar of unity, a dependable supporter, and an invaluable asset to the Greater Accra NPP.
MRA/AE
'He wanted sex'  Woman assaulted by husband in viral video recounts ordeal",,Regional, 24 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Greater-Accra-NPP-disassociates-itself-from-chairman-s-statement-on-Naa-Torshie-Addo-2010759
Salaga South MP pledges comprehensive renovation of health centres,"The Member of Parliament for the Salaga South Constituency, Zuwera Mohammed Ibrahimiah, has assured her constituents of her strong commitment to improving healthcare and expanding access to potable water across the area.
Speaking at a ceremony, Ibrahimiah revealed that plans are underway to renovate all health centres in the constituency, beginning with Pigyawo and Telpa.
She noted that in 2024, the Abromase Health Centre was successfully renovated and similar upgrades will follow in other communities.
She further stated that new health facilities would be constructed in areas without clinics, in line with President Mahamas policy that every community must have a health post.
According to her, the goal is to ensure that when illness strikes, residents will no longer need to travel from places like Adevokpe to Abromase to seek medical care. Instead, each community will have its own health post, staffed with nurses to attend to patients.
Ibrahimiah also addressed the issue of water access. She explained that during her visit in December 2024, she promised to drill a borehole in every community within the constituency.
""Work on this pledge has already begun, with eight boreholes and three mechanised water systems completed so far.""
She added that although attempts to find water in Akamade and Buman were initially unsuccessful, efforts will continue until water is finally struck in those areas.
She expressed optimism that most communities are responding favourably and reaffirmed her commitment to ensuring that every community receives a borehole.
Ghana Armed Forces outlines new recruitment rules after El-Wak stampede
Parliament's Defence Committee impressed with Accra military recruitment setup
Watch the promo to GhanaWeb's latest documentary, which uncovers the evolution of kayamata,' an exploitative practice fueled by love charms and manipulation, titled, The Dark Side of Kayamata,' below:
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate", Edmond Kofi Appiah ,Regional, 24 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Salaga-South-MP-pledges-comprehensive-renovation-of-health-centres-2010746
"President Mahama breaks ground for construction of 5,000-capacity auditorium","President John Dramani Mahama has broken ground for the construction of a 5,000-seat multipurpose assembly hall complex for Ghana Senior High School (GHANASCO) in Tamale.
The project, which is the first of its kind in Ghana, is to help meet the growing population needs of the school.
President Mahama and his wife, First Lady Lordina Mahama, both alumni of GHANASCO, on Saturday graced the schools 65th Anniversary Celebration in Tamale on the theme: GHANASCO at 65: A Legacy of Excellence, Inspiring Future Generations.
From a humble beginning of 70 students and a handful of teachers, the schools population has grown to 4,524 students, supported by 172 teachers and 52 non- teaching staff across six academic departments, general science, general arts, business, agriculture, home economics, and visual arts.
GHANASCO has risen to become a beacon of excellence in Ghanas educational landscape, a home of knowledge, discipline, and hope.
Construction work has also begun on an ultramodern astro turf project, which is being spearheaded by First Lady Lordina Mahama.
Other projects which are being sponsored by the Ghana Education Trust Fund (GETFund) for the school include the construction of a two-story, 12-unit classroom block to reduce congestion and promote effective living, a two-story boys dormitory block, and two 12-seater toilet facilities, and the rehabilitation and equipment of the science laboratory.
The President also commissioned a SMART Classroom Block.President Mahama, in his keynote address, said one of the major setbacks of Free Senior High School (SHS) was the lack of dedicated funding and so the nations headmasters and their staff were always frustrated because the money to run the schools always came in late and so they had to go around begging for food for the school children.
And I remember in many instances our northern schools would send an appeal to all students to bring food to feed our students that is a thing of the past now because of the dedicated funding for free SHS we are able to release the money to the schools and to the Buffer Stock Company on time so that children can be fed nutritious meals, the President stated.
However, he noted, that one of the initiatives coming up was to try and resolve the problem of the school placement system.
He said the System had run into problems because schools were categorized in three categories: A, B and C, stating that about half of the students population were in category C schools, which most people do not want.
He said the Government needed to improve the infrastructure in category C and category B schools, so that everywhere, every school would be a category A school; saying that is how it should be.
He said in the 2026 Budget Statement and Economic Policy of the Government, government was selecting the first 30 category C schools to build science laboratories, dormitories, classroom blocks, Science, Technical, Engineering and Mathematics (STEM) laboratories.
This will help expand those category C schools to either category B or category A to ensure any school a child gets he would feel confident of the chance of making it into tertiary education.
The President said 30 of the abandoned E-Blocks, which started under his previous administration had been selected for completion in next years budget and that they were going to put resources in and finish all the 30 e-blocks.
With regard to the Governments policy where secondary schools will be having a poultry farm and a livestock farm, the President said GHANASCO would be one of the schools selected for the project.
We will establish a poultry farm here and a livestock farm so that you dont have to go to the market to buy your meat, you take your meat from your own farm, he said.
And so, when we have the farm, you have to be volunteering to go and feed the chickens and the sheep and goats.
And again, the headmaster will have no excuse when you go to the dining hall and theres no meat in your food. And so, well select GHANASCO as one of the early ones to participate in this programme.
Haruna Iddrisu, the Minister of Education, announced that before 31st December, 2,000 furniture would be delivered to GHANASCO and some other schools.
He said the GETFund would acquire a number of buses in 2026 and that about 50 schools, including GHANASCO, would benefit from that.
He said he was aware that a number of Headmasters were without vehicles or pickups and that the President was giving his due attention, and that the GETFund was undertaking a procurement process to get that done.
Douglas Haruna Yakubu, GHANASCO Headmaster, thanked President Mahama for giving the school a 30-seater bus.
He expressed gratitude to First Lady Lordina Mahama for building the Lordina Mahama Hall for the female students at the school.
Alhaji Ibrahim Abdul Fatawu, President of the Old GHANASCANs Association (OGA), expressed delight at the level of progress in the construction of the schools fence well.",,Regional, 24 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/President-Mahama-breaks-ground-for-construction-of-5-000-capacity-auditorium-2010716
Peace returns to Kwahu as Daasebre Agyepong II resumes traditional duty after failed palace coup,"Peace is gradually returning to Kwahu following the enforcement of an order by the Judicial Committee of the Eastern Regional House of Chiefs, which reinstated Daasebre Akuamoah Agyepong II to the Esono Gyimah Mampong Agyei Palace at Abene.
Daasebre Akuamoah Agyepong II has assured indigenes of Kwahu he will ensure reconciliation, foster unity and prioritise peace and development.
The palace had been unlawfully seized since late 2024 by armed thugs and occupied by Baffuor Akoto Osei, who had been paraded as Kwahuhene since January 2025, after an alleged destoolment of the substantive chief.
Daasebre Akuamoah Agyepong II, born Eugene Kwasi Asante Boadi, is a chartered accountant who was lawfully nominated, selected, and enstooled as Kwahuhene on June 5, 2017, following the passing of Daasebre Akuamoah Boateng II on September 9, 2014.
His name was duly entered into the National Register of Chiefs and gazetted on September 28, 2017.
Despite his recognition and active performance of customary and statutory functions as Kwahuhene, some kingmakers were allegedly instigated to perform rites to declare him destooled.
They claimed that Daasebre had brought disrepute to the stool following his resignation as Board Chairman of the Agricultural Development Bank (ADB) after allegations of financial impropriety were leveled against him by a businessman in October 2025.
Supported by some compromised divisional chiefs and invisible forces, Baffuor Akoto Osei was purportedly enstooled in January 2025 under the stool name Daasebre Akuamoah Boateng III, to replace Daasebre Akuamoah Agyepong II.
With the aid of heavily armed men, he occupied the Abene Palace, the traditional headquarters of the Kwahu Traditional Area, and warned Daasebre Akuamoah Agyepong II not to step onto the palace grounds.
However, Some Chiefs and Elders of Kwahu seriously disagree with destoolment.
For instance, Nana Kwaku Boateng, the Etena/Bretuo Abusuapanyin contends that the Chieftaincy Act (2008), Act 759, requires that a lawful process be followed before a chief can be removed hence the kingmakers acted in violation of both tradition and the Chieftaincy Act in attempting to destool Daasebre Akuamoah Agyepong II.
On May 5, 2025, Daasebre Akuamoah Agyepong II filed a motion seeking an interlocutory injunction to restrain Baffuor Akoto Osei from holding himself out as Kwahuhene.
The Judicial Committee of the Eastern Regional House of Chiefs granted the injunction, restraining Baffuor Akoto Osei and six others  the Krontihene of Abene, Nana Simpe Owiredu III; the Akyeamehene of Abene, Nana Asiedu Kwabeng IV; the Baamuhene of Abene, Nana Ntim Sampong II; the Werempehene of Abene, Baffour Nyarko Kyerefuor II; Nana Odame Ansong; and Okyeame Akuoko Boateng  from interfering in the functions and authority of Daasebre Akuamoah Agyepong II as Omanhene of the Kwahu Traditional Area, pending the final determination of the substantive case.
The ruling, delivered on Tuesday, June 24, 2025, at a sitting in Koforidua, was presided over by Committee Chairman Okotwaasuo Kantamanto Oworae Agyekum III, with members Oklepeme Nuer Anobaah Sasraku II and Akusiaku Brempong Kumi Sasraku VIII.
The House of Chiefs ordered that all respondents, their assigns, agents, workers, or anyone acting on their behalf must refrain from interfering with the status, duties, or activities of Daasebre Akuamoah Agyepong II as Kwahuhene.
It further ordered that the respondents are restrained from presenting or recognizing the 7th respondent -Baffuor Akoto Osei as Kwahuhene, and that the 7th respondent himself is restrained from holding himself out as Kwahuhene or performing any function or activity whatsoever at the Abene Palace.
On November 17, the police carried out an operation to enforce the Judicial Committee ruling, restoring Daasebre Akuamoah Agyepong II to the palace.
Despite initial tension, relative calm has since returned to the Kwahu Traditional Area.
Daasebre Akuamoah Agyepong II is expected to carry out his traditional and customary functions as Kwahuhene and continue his efforts to woe investors to the area for development.
Since his installation, Daasebre has demonstrated visionary and peaceful leadership even in the face of daring provocation.
He is not only President of the Kwahu Traditional Council, but also serves as Vice President of the Eastern Regional House of Chiefs and is a member and Judicial Committee member of the National House of Chiefs and also a member of the Research Committee of the National House of Chiefs.
He has held notable leadership roles in institutions such as the Agricultural Development Bank , Abosso Goldfields, and KPMG.",,Regional, 24 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Peace-returns-to-Kwahu-as-Daasebre-Agyepong-II-resumes-traditional-duty-after-failed-palace-coup-2010708
Wa Technical Institute shut down for a week following riot,"Wa Technical Institute (Wa Tech) in the Wa Municipality of the Upper West Region has been temporarily closed down for a week following disturbances by learners on Wednesday, November 19, 2025.
The unrest erupted during prep time as students were returning from classes, resulting in damage to school property, including administration offices and school buses.
Saaka Adams, Acting Regional Director of Ghana TVET and Principal of Wa Technical Institute, said the students had been traumatised by the incident.
He explained that the school would remain closed for a week to allow them to rest and recover.
Following the disturbances, Deputy Minister of Education Dr Clement Abas Apaak visited the campus on Saturday, November 22, expressing disappointment at the extent of damage.
He assured parents and guardians that the matter would be addressed to restore effective teaching and learning at the institution.
A committee has, however, been established to investigate the causes of the riot and identify those responsible.
The ministry of education emphasised that acts of indiscipline would not be tolerated and that perpetrators would face the full force of the law.
The temporary closure of Wa Tech is intended to ensure the safety of both students and staff before classes resume.",,Regional, 23 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Wa-Technical-Institute-shut-down-for-a-week-following-riot-2010696
Salaga South MP cuts sod for construction of Sawaba-Abromase Road,"The Member of Parliament for Salaga South, Hajia Zuwera Mohammed Ibrahimah, has cut sod and officially handed over the Sawaba No.1Abromase Road project to the contractor for construction.
Speaking to the media during the ceremony, Zuwera Mohammed Ibrahimah revealed that ""securing the project required persistent engagement with the Roads Minister and other key authorities.""
She explained that each time she visited the minister, he assured her that the President had raised the matter at Cabinet, while the regional minister also followed up consistently.
According to her, this collective effort made it possible to deliver one of the most important and challenging developmental projects for the area.
The MP noted that the road, when completed, will be of a standard comparable to those in Accra.
She introduced the contractor to the community and performed all necessary traditional rites to enable the immediate commencement of work.
She disclosed that the contractor has already begun concrete works around Abromase to ensure steady progress. She added that President John Dramani Mahama has sent his best wishes and pledged his full support for the project.
Zuwera emphasised that she does not view development through a political lens, stating that development has no name and must benefit everyone.
She recalled participating in the Annual Homecoming activities on 28th December after the general election, during which the community leader, one Klora, highlighted several pressing concerns, top among them was the deplorable state of the road.
She further recounted that before the election, Klora had appealed directly to the then former President Mahama, who assured the community that the road would be prioritized once he returned to office.
She assured residents that the President has not forgotten the said promise.
Addressing questions about her silence on the road in Parliament, Zuwera explained that the Roads Minister and the energy minister are both natives of the area and she therefore prefers to meet them privately to discuss concerns.
According to her, our sons and daughters are handling the issues effectively, reducing the need for repeated statements on the floor of Parliament.
She concluded by expressing gratitude to the Roads Minister and President John Dramani Mahama for taking the Sawaba No.1Abromase Road project seriously and ensuring that it finally becomes a reality for the people.
Ghana Armed Forces outlines new recruitment rules after El-Wak stampede
Parliament's Defence Committee impressed with Accra military recruitment setup
Watch the promo to GhanaWeb's latest documentary, which uncovers the evolution of kayamata,' an exploitative practice fueled by love charms and manipulation, titled, The Dark Side of Kayamata,' below:
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate", Edmond Kofi Appiah ,Regional, 23 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Salaga-South-MP-cuts-sod-for-construction-of-Sawaba-Abromase-Road-2010694
"Students, staff of Bortianor Basic Schools petition MP for urgent Infrastructure support","Students and staff of the Bortianor Basic Schools have formally petitioned the Member of Parliament for Bortianor-Ngleshie Amanfro, Felix Akwetey Okle, to intervene in what they describe as critical infrastructure and safety challenges affecting teaching and learning in the community.
The petition, signed by Eunice Ofori, Civic Education Club teacher at CFA, outlines five major concerns ranging from security and sanitation to transportation and road development.
One of the main issues raised is the absence of a fence wall around the school. According to the petitioners, the lack of proper fencing exposes students and staff to safety risks and leaves the schools land vulnerable to encroachment.
They emphasized that constructing a perimeter fence would not only protect lives and property but also create a conducive environment for academic activities.
The petition also highlights the lack of a canteen for learners. Students from both basic schools on the compound currently have no designated place to access meals.
A canteen, the petition argues, would help ensure that schoolchildren can eat nutritious meals in a hygienic environment, supporting their overall health and academic concentration.
Sanitation remains another pressing challenge. The petition requests a public solid waste dumping container with regular collection by the assembly to prevent waste accumulation.
Additionally, the petitioners are calling for the renovation or construction of new toilet facilities, alongside the employment of permanent cleaners to maintain hygiene standards in the school.
Transportation difficulties were also highlighted, with many students reportedly walking long distances due to the lack of vehicles on the BortianorRed TopNew Bortianor route.
To address this, the school is requesting an Ayalolo or Metro Mass Transit bus to transport learners safely to and from school. According to the petition, this intervention would significantly reduce absenteeism and ease the burden on students who trek long distances daily.
The petition further underscores the poor state of the road linking Bortianor to Red Top and onward to West Hills Mall. The untarred road, they said, generates excessive dust, posing serious respiratory health risks to students and residents.
The petitioners are therefore appealing for the urgent construction and asphalting of the road to improve air quality and ensure a safer environment for the community.
We believe these improvements will greatly benefit our school community and enhance our learning experience. We kindly request your support and action on these matters, the petitioners stated.
AM
Ghana Armed Forces outlines new recruitment rules after El-Wak stampede
Parliament's Defence Committee impressed with Accra military recruitment setup
Watch the promo to GhanaWeb's latest documentary, which uncovers the evolution of kayamata,' an exploitative practice fueled by love charms and manipulation, titled, The Dark Side of Kayamata,' below:
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Regional, 23 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Students-staff-of-Bortianor-Basic-Schools-petition-MP-for-urgent-Infrastructure-support-2010692
Climate Reporting: Jospong Group empowers Ghanaian journalists at COP30,"As part of its ongoing efforts to boost Ghanaian journalists' capacity for climate change reporting, the Jospong Group sponsored twenty journalists to participate in the 30th United Nations Framework Convention on Climate Change Conference of Parties (COP30).
The global climate talks took place in Belem, Brazil, from November 10 to 21, 2025, under the theme Delivering on the Paris Promise, which focused on accelerating climate action and turning commitments into concrete results.
While in Belem, the 20 journalists, selected from various media outlets, covered the Jospong Group's activities and a Ghana Day event, while gaining valuable insights into key areas including Adaptation, Cities, Infrastructure, Water, Waste, Local Governance, Bioeconomy, Circular Economy and Tourism. They also participated in sessions on Health, Sustainable Jobs, Education, Culture, Justice, Human Rights and Information Integrity.
The journalists further explored systems transformation across Energy, Industry, Transport, Trade, Finance and Carbon Markets, and engaged with discussions on Forests, Oceans and Biodiversity, where Indigenous Peoples and local communities were central. They also examined Agriculture, Food Systems, Food Security and the crucial role of Women and Gender Groups in climate action.
This marks the third time the Jospong Group has sponsored Ghanaian journalists to attend the global summit, bringing the total number supported to about 100, following COP28 in Dubai and COP29 in Baku.
The General Manager of the Jospong Green Transition Office, Ing Glenn Kwabena Gyimah (PhD), highlighted the importance of the initiative and the influential role journalists play in shaping public understanding.
Journalists need to understand climate change and its impacts to effectively share this knowledge with the public, he stated.
He further stressed that as the reality of climate change becomes more apparent, the medias voice is indispensable in the global conversation. Conferences such as COP, he added, equip media practitioners with the knowledge needed to better educate the population.
Beneficiary journalists commended the Jospong Group for its consistent support for quality media practice in Ghana, particularly in the areas of climate change, climate resilience and Environmental, Social and Governance (ESG).
A senior journalist at the Daily Graphic, Timothy Ngnenbe, described the sponsorship as a step in the right direction. The environment and climate change reporter said participating in COP30 was a golden opportunity to gain practical experience that will improve their reportage.
Scientists and experts use jargon and technical language that make it difficult for the ordinary person to understand. Journalists who get the opportunity to participate in COP activities will be able to understand these technicalities and break down the complex concepts to the understanding of the masses, he said.
He urged the government to design a special programme to enable more journalists to participate in future COPs.
A News Editor at GBC Television, Alex Adi, expressed gratitude, saying, As I reflect on my journey, I'm grateful for Jospong's sponsorship to COP29 and COP30. This opportunity has given me valuable insights into climate change's global impact and world leaders' efforts to mobilise resources for mitigation and adaptation.
He noted that climate financing is the lifeblood of climate action, and commended the Jospong Groups commitment to climate mitigation through waste management and green transition partnerships.
Their efforts show that with determination and collaboration, we can drive change, he said.
The Editor of Business Week, Kofi Ahovi, described the opportunity as transformational.
The opportunity granted by Jospong Group to journalists to attend COP29 and 30 has indeed been a game-changer for many journalists, including myself, he noted. He said the experience had ignited a stronger passion for climate issues and motivated him to pursue further studies in the field.
My experience is a testament to the impact that such opportunities can have on individuals and the country as a whole. By empowering journalists with knowledge and exposure to global climate discussions, Jospong is contributing to a more informed and engaged community, he added.
For his part, the Assignment Editor and Producer at Metro TV, Derick Adottey, praised the Executive Chairman of the Jospong Group, Dr Joseph Siaw Agyepong, for equipping journalists with critical knowledge on climate change.
That he is not only equipping his staff members but also journalists in the country to understand the climate space, we must commend him for that, he said.
Adottey underscored the importance of journalists understanding climate change issues, stating, Because when journalists understand the issues of climate change at the global level, they can better appreciate and inculcate that understanding in their stories. This will also equip the public, enabling a concerted effort to tackle climate change.
He also encouraged other businesses to emulate the initiative, saying: This is a laudable initiative and I urge all businesses in the space to emulate the same.
He expressed personal gratitude, noting, Personally, I've gained so much experience and understanding by attending this conference and I thank Jospong Group for the opportunity.
The Jospong Groups initiative to sponsor Ghanaian journalists for COP30 has proven to be a significant investment in strengthening climate journalism. By providing direct exposure to global climate negotiations and critical thematic areas, the programme has equipped journalists with the essential knowledge needed for accurate and impactful reporting.
This third sponsorship underscores the Groups sustained commitment to promoting informed public dialogue on climate change in Ghana. The widespread appreciation from journalists, along with calls for more corporate support, highlights the programmes crucial role in fostering collaboration between industry and media in addressing the global climate crisis.",,Regional, 23 November 2025,https://www.ghanaweb.com/GhanaHomePage/regional/Climate-Reporting-Jospong-Group-empowers-Ghanaian-journalists-at-COP30-2010673
