title,content,author,category,published_date,page_url
AGI Presidential hopeful Ralph Ayitey details strategy to cut $2bn food import bill,"Association of Ghana Industries (AGI) Presidential hopeful Ralph Ayitey is proposing a significant reduction in Ghana’s over-$2 billion food import bill by through a stronger consumer preference for locally produced foods.He maintains that a strong domestic demand base can help reduce import dependence and stabilize the sector.Ghana’s annual food import bill now exceeding $2 billion continues to mount pressure on foreign exchange reserves and deepen the country’s broader economic vulnerabilities.Industry watchers warn that without a decisive shift toward local consumption, the strain on the economy will persist.AGI Presidential hopeful and Chief Executive Officer of Coconut Grove Hotels, Ralph Ayitey, in an interview with Citi Business News argued that increasing patronage of Ghana-made food products offers a viable pathway to easing the burden.“It is very important that we try as much as possible to reduce the 2-2.5 billion import bill that we have on food. Most of the foods we consume take just about 3 months. Talk of maize, rice and millet. It is important we develop the appetite and consciousness to produce and consume what we have. When we do that we reduce the burden on our cedi,” he said.Beyond food consumption, Ralph Ayitey is also advocating a revitalisation of the cotton value chain to support existing textile factories, with trial activities expected to commence in January.“We want to gauge the productivity which is the output. But the emphasis here is that we are going quite mechanized but most importantly irrigated. We want to have two cycles in a year.“We are talking about feeding GTP, Akosombo Textiles and Printex. All of them put together consumer about 50 million yards of fabric a year. It is a whole industry and a whole gold mine that is waiting to be mined,” he added.Tags: AGI ElectionsFood Import BillGhana News",Daniel Sackitey,,"November 25, 2025",https://citinewsroom.com/2025/11/agi-presidential-hopeful-ralph-ayitey-details-strategy-to-cut-2bn-food-import-bill/
Prestea Huni-Valley NDC hails appointment of new Sankofa Gold Company Board,"The National Democratic Congress (NDC) in the Prestea Huni-Valley Constituency has congratulated the newly constituted Board of Sankofa Gold Company Limited, describing the move as a significant step toward strengthening Ghana’s mining governance and ensuring that the nation’s mineral wealth benefits ordinary citizens.In a statement, the constituency expressed particular pride in the appointment of Hon. Emmanuel Nii Ashie Moore as Board Chairman.The NDC lauded him as a dedicated public servant whose leadership and extensive experience in governance have earned respect across the country.According to the constituency, Hon. Ashie Moore’s “political maturity, integrity, and unwavering commitment to national development” make him well positioned to steer Sankofa Gold Company toward greater transparency, operational efficiency, and strategic growth.The party also congratulated the other members of the newly appointed Board, Kwame Ntow Amoah, Hajia Amina Adam, and Alhaji Ishaq Dauda praising their combined expertise and strong ethical grounding.Their inclusion, the statement noted, brings valuable diversity and depth to the leadership team of the state-owned mining enterprise.The Prestea Huni-Valley NDC expressed confidence that the new Board will collaborate effectively with stakeholders, especially mining communities, to promote responsible mining practices, safeguard the environment, create employment opportunities, and drive inclusive economic growth.“As a constituency deeply connected to the mining sector, we believe this Board will champion policies that uplift local communities and enhance Ghana’s global standing in mineral management,” the statement said.The group also commended the President for demonstrating trust in a competent and balanced team capable of advancing the mandate of Sankofa Gold Company Limited.It pledged the constituency’s full cooperation and support as the Board undertakes its national assignment.The NDC concluded by expressing optimism that the appointment marks the beginning of a new era of progress, accountability, and prosperity within Ghana’s mining sector.Tags: Ashie MooreGhana NewsNDCPrestea Huni ValleySankofa Gold Company Board",Citi Newsroom,,"November 25, 2025",https://citinewsroom.com/2025/11/prestea-huni-valley-ndc-hails-appointment-of-new-sankofa-gold-company-board/
"IMF: Chronic underfunding, political influence undermine Ghanas anti-corruption efforts","Ghana’s ability to fight corruption is being “severely weakened” by chronic underfunding of its key accountability institutions, according to the 2025 IMF Governance Diagnostic Report that warns the country’s anti-corruption architecture is approaching a breaking point.The report conducted in September 2023 according to the IMF reveals that major institutions, including the Office of the Special Prosecutor (OSP), the Economic and Organised Crime Office (EOCO) and the Commission on Human Rights and Administrative Justice (CHRAJ), routinely receive less than half of the budget approved for them by Parliament.As a result, the agencies responsible for investigating corruption, prosecuting financial crimes, safeguarding public funds and protecting whistleblowers are operating without the basic resources needed to function.The report points out that although budgetary allocations are approved annually, actual releases from the Ministry of Finance fall far below those figures — leaving institutions unable to recruit staff, maintain critical investigations, upgrade technology or conduct specialised prosecutions.Even the OSP, established to lead high-profile corruption cases, must obtain “clearance” from the Ministry of Finance before hiring or paying its own staff, a situation the IMF describes as incompatible with operational independence.Beyond the funding crisis, the IMF warns that Ghana’s anti-corruption framework is structurally vulnerable, describing it as “fragmented, overlapping and exposed to political influence.” This deepens the systemic weaknesses caused by underfunding and further undermines the fight against corruption.The report identifies harmful overlaps among the OSP, EOCO and CHRAJ — three agencies that simultaneously investigate corruption-related offences but lack clear coordination protocols.This duplication, the IMF argues, creates confusion, delays cases and allows political actors to exploit institutional gaps.The Attorney-General’s constitutional power over all prosecutions also weakens the independence of agencies like EOCO and OSP, whose prosecutorial autonomy is more symbolic than guaranteed.The IMF cites recent examples, including the resignation of the first Special Prosecutor and the removal of the Auditor-General, as evidence of political pressure.Despite progress in digitalisation, access-to-information reforms and upgraded procurement laws, the IMF said these gains are overshadowed by deep structural weaknesses. Anti-corruption institutions lack the independence, funding and legal clarity to enforce the very laws Ghana has invested in.Without decisive reforms — including guaranteed financing, mandate clarification, and insulation from political interference — the IMF warns that corruption will continue to drain public revenue, weaken investor confidence and undermine Ghana’s economic recovery.Diversified growth pushes Ghana’s economy into expansion mode — BoGTags: Anti-corruptionCHRAJCorruptionEOCOGhana NewsIMFOSP",William Narh,,"November 25, 2025",https://citinewsroom.com/2025/11/imf-chronic-underfunding-political-influence-undermine-ghanas-anti-corruption-efforts/
Group to march to Jubilee House to demand Kissi Agyebengs removal,"A group of Ghanaians is expected to stage a protest on Tuesday, November 25, 2025, calling for the removal of Special Prosecutor Kissi Agyebeng over what the group describes as his failure to fulfil his mandate.On Monday, November 24, Apostle Abraham Larbi Lincoln, the Lead Convener of the demonstration, said the group believes President John Dramani Mahama should terminate the Special Prosecutor’s appointment.He noted that the protest, themed “Agro Ne Fom,” aims to highlight what the group sees as inefficiency at the Office of the Special Prosecutor.“We will be in our reds, and we will be there to present our case. If he doesn’t listen, then we know the kind of person he is. We are marching straight to the Jubilee House, and we will petition the President,” he said.Apostle Lincoln added that the group does not hate Mr. Agyebeng but wants the office either reformed or dissolved entirely, with all staff removed.Meanwhile, private legal practitioner Martin Kpebu has disclosed that 15 separate petitions have been submitted seeking the Special Prosecutor’s removal, suggesting deepening public dissatisfaction.“As we speak now, there are 15 petitions to remove Kissi Agyebeng. When was the last time you heard of other persons subject to Article 146 proceedings ever having 15 petitions filed against them? That tells you that there is something wrong,” Mr. Kpebu stated.The protest will end with the submission of a formal petition to President Mahama at the Jubilee House.OSP and AG must cooperate, avoid tension – Inusah FuseiniTags: Apostle Abraham Larbi LincolnKissi AgyebengOffice of the special prosecutor",Sammi Wiafe,,"November 25, 2025",https://citinewsroom.com/2025/11/group-to-march-to-jubilee-house-to-demand-kissi-agyebengs-removal/
Agbodza: Citi FM/Channel One TVs advocacy spurred action on PokuaseNsawam road,"The Minister of Roads and Highways, Kwame Governs Agbodza, has acknowledged the significant role played by Citi FM and Channel One TV in prompting renewed government attention to the Pokuase–Nsawam road project.His remarks follow months of media advocacy on the Citi Breakfast Show and extensive reports by Citi FM and Channel One TV, which spotlighted the daily struggles of residents and commuters who rely on the deteriorating stretch.The platforms amplified the voices of affected community members, bringing national attention to the long-standing challenges and delays surrounding the project.Speaking on Channel One TV’s The Point of View with Bernard Avle on Monday, November 24, Mr. Agbodza commended the two stations for their consistency and public-interest journalism, noting that their advocacy contributed to the government’s response.He also confirmed that contractors have returned to the site and that work is progressing as expected.“I want to take the opportunity to thank you and your network [Channel One TV/Citi FM] for your consistent way in which you were the voice of the people. In the specific case of Pokuase-Nsawam, you gave a voice to people to speak.“I keep telling people that was feedback for me that needed to be done. And together, today, the contractor is fully back on site and is going to complete that project ahead of schedule,” he said.…..Explore the world of impactful news with CitiNewsroom on WhatsApp!Click on the link to join the Citi Newsroom channel for curated, meaningful stories tailored just for YOU:
https://whatsapp.com/channel/0029VaCYzPRAYlUPudDDe53xNo spam, just the stories that truly matter! #StayInformed #CitiNewsroom #CNRDigital Tags: Channel One TVCiti FMGhana NewsKwame Governs AgbodzaMinister of Roads and HighwaysOfankor-Pokuase road",Leticia Osei,,"November 24, 2025",https://citinewsroom.com/2025/11/agbodza-citi-fm-channel-one-tvs-advocacy-spurred-action-on-pokuase-nsawam-road/
Kasoa-Winneba road to be completed June 2026  Agbodza,"The Kasoa-Winneba stretch of the coastal highway is expected to be completed by June 2026, the Roads and Highways Minister, Kwame Governs Agbodza, has confirmed.Speaking on the progress of ongoing road projects on Channel One TV‘s The Point of View on Monday November 24, Agbodza said, “The contractor says that by June next year it will all be done.”He added “For the Winneba to Mankessim section, the contract allows for two years, but I am confident it will be completed before 2027.”He noted that once these projects are finished, the route from Kasoa to Takoradi will be fully dualised, enhancing connectivity between the Greater Accra and Central Regions.The Kasoa-Winneba-Mankessim project involves three separate contractors, while the Cape Coast to Takoradi section is handled by another.Mr Agbodza who is also the Member of Parliament for Adaklu explained that the Cape Coast to Takoradi road is a larger project that links the two regions. Within the Central Region, the Kasoa-Winneba and Winneba-Mankessim sections are progressing steadily.“When you travel from Winneba to Mankessim, we are building a brand new road alongside the existing one to dualise it. The Winneba interchange was not initially part of the project, but it has now been included,” he added.Addressing the traffic bottlenecks experienced this year on the Kasoa-Winneba section, the Minister acknowledged that construction planning had contributed to delays.“We made a mistake when we started working on the main carriageway and the expansion at the same time. This led to many of the bottlenecks we saw,” he said.Once completed, the dual carriageway will significantly improve travel along the coastal corridor, supporting trade and easing congestion for motorists.Read also…2026 budget stable but not transformative – CERPATags: Cape Coast to TakoradiChannel One TVGhanaGhana NewsheadlineKasoa-WinnebaKasoa-Winneba-MankessimKwame AgbodzaRoads and Highways Minister",Abigail Arthur,,"November 24, 2025",https://citinewsroom.com/2025/11/kasoa-winneba-road-to-be-completed-june-2026-agbodza/
EC Staffer behind petition for Jean Mensas removal interdicted,"Joseph Blankson Adumadzie, a staff member of the Electoral Commission (EC) who petitioned President John Dramani Mahama to remove Chairperson Jean Mensa and her two deputies, has revealed that he is currently on interdiction.Mr Adumadzie, who filed the petition under Article 146 of the Constitution over alleged misconduct by the three top EC officials, explained that his current situation at the Commission was not the reason he decided to speak out. He said his decision was prompted by broader concerns over how the Commission was being run.According to him, he has been on interdiction for sometime now over issues related to Biometric Verification Devices (BVDs).“For a while now I don’t go to work. I have not resigned, I have not been sacked. I am on an interdiction. It’s a whole lot,” he said on Citi Eyewitness News on Monday November 24. He explained that the interdiction stemmed from allegations linking him to old BVDs that were reportedly found in a refuse dump.He insisted that the claims against him were false. “It was about these BVDs. They were saying things that were not true about me but I don’t want to go there. Yes, the old machines, but they are not with me and it is not even true. That is the whole thing,” he said.Mr Adumadzie further disclosed that the Commission took legal action against him but failed to prove the allegations in court.“They sued me and couldn’t prove anything. And for one year I won the case, and I have sued them,” he added.He clarified that his decision to petition President Mahama was not driven by personal anger or his interdiction. Instead, he said it was motivated by concerns about the Commission’s integrity and the need for accountability at the highest levels.In the petition he submitted to the President, Mr Adumadzie cites 12 grounds of alleged misconduct against the Chairperson and her deputies, including cronyism, abuse of office and gross incompetence. He argues that their actions have weakened public confidence in the EC and pose a threat to Ghana’s electoral credibility.He has since called on President Mahama to refer the petition to the Chief Justice to determine whether a prima facie case exists, in line with constitutional procedures.Read alsoEC staff petitions Mahama to remove Chairperson Jean Mensa, deputiesTags: Biometric Verification Devices (BVDs)Bossman AsareGhanaGhana NewsheadlineJean MensaJoseph Blankson Adumadzie",Abigail Arthur,,"November 24, 2025",https://citinewsroom.com/2025/11/ive-been-interdicted-ec-staff-who-petitioned-mahama/
Matthew Nyindam: Im not afraid of Kpandai rerun,"The Member of Parliament for Kpandai, Mathew Nyindam, says he is unfazed by the prospect of a rerun of the constituency’s parliamentary election if the legal process ultimately requires it.His comments come after the Tamale High Court on Monday ordered the Electoral Commission to conduct a fresh poll within 30 days, following a petition challenging the outcome of the December 7, 2024, election.Nyindam has since filed notices of appeal and a stay of execution to halt the implementation of the High Court’s directive.Speaking to Citi News, the Kpandai MP insisted that the certified results clearly affirm his victory and that he continues to hold the mandate of his constituents.“If you look at the pink sheets, it is on record that they have admitted that every single pink sheet was given to all the political parties. I have my 152, they have theirs. If you put the results together, we have won the elections. Let me put it on record that I am still their MP,” Nyindam said.He added that while he has confidence in his legal challenge, he will fully comply with a rerun if the courts ultimately order one.Nyindam further alleged that the governing NDC is attempting to use state institutions to unseat him but stressed he was not intimidated.“I am not afraid of a rerun. If genuinely we have to run, we won’t have a problem. But if you decide to pave your way through because you think you are in government and you can use state powers to coerce the people to vote for you that is where we have a difficulty,” he stated.The High Court ruling followed a petition filed by former MP and NDC parliamentary candidate Daniel Nsala Wakpal, who alleged irregularities and inconsistencies in FORM 8A—the Statement of Polls and Declaration of Results for MPs—across 41 of the 152 polling stations in Kpandai. Wakpal argued that these issues compromised the integrity of the election that declared Nyindam the winner.Kpandai MP Matthew Nyindam files appeal, seeks stay of rerun orderTags: Daniel Nsala WakpalGhanaGhana NewsKpandaiMathew Nyindam",Juliana Odame Asare,,"November 24, 2025",https://citinewsroom.com/2025/11/matthew-nyindam-im-not-afraid-of-kpandai-rerun/
You are the Leaders of today: Comfort Ocran rallies youth as Springboard marks 18 Years,"The Executive Director of the Springboard Road Show Foundation, Comfort Ocran, has reaffirmed the organisation’s commitment to empowering young people as Springboard celebrated 18 years of nationwide impact at its 2025 Grand Finale held at the University of Professional Studies, Accra on Saturday 22nd November.Addressing thousands of participants, Comfort Ocran said the Ghana Grows programme “is not ending today; it is only beginning,” adding that hope must be treated as a practical skill young people can apply. She noted that since 2007, Springboard’s nationwide interventions have reached more than one million young people across Ghana and West Africa.Under the Ghana Grows programme, delivered in partnership with the Mastercard Foundation, Springboard has engaged more than 500,000 participants.In 2025 alone, 145,605 young people took part, with young women making up 93.3 percent of the total. Another 3,469 persons with disabilities participated across all sixteen regions.Comfort Ocran said many participants have moved into agriculture, agribusiness, and TVET pathways, contributing to better livelihoods in their communities.Technical Director of the Foundation, Rev. Albert Ocran, urged the youth to prioritise excellence, collaboration, and value creation as anchors for national progress. He reminded them that progress is a collective effort, saying, “You cannot build something significant working alone, if you want to go farther and faster, go together.” He encouraged young people to build networks, share what works, and support one another as they rise.The Grand Finale drew an audience of more than 6,000, including young women, young men, persons with disabilities, traditional leaders, institutional heads, and associations.As part of the celebration, five rising changemakers were honoured under the Young Innovators Awards. The awardees, three young women and two persons with disabilities, included Kow Aboagye Ghunney (Agriculture), Clara Messe (Akorfa) (Agribusiness), David Wakpal (ATVET), Mary Tetteh (Most Promising Agripreneur and YLO Model Ambassador), and Justine Mauda A. Aniaku (Best YLO Facilitator).Emelia Asamoah, Head of Workforce Development at the Mastercard Foundation, commended Springboard for helping reshape perceptions about agriculture and vocational careers. She noted that TVET enrolment has risen by 193 percent since 2020 and praised the progress of young farmers under the Ghana Grows programme, saying, “These sectors were once seen as fallback options, but Ghana Grows is proving they are innovative and future focused.”Building on these achievements, Dr. Kafui Mills-Odoi, Head of Inclusion for Nigeria at the Mastercard Foundation, encouraged the young innovators and wider youth audience to pursue growth with confidence and preparation. “You must have confidence and believe, not only to secure a job, but to maintain it and grow in it,” she said.“Your voice is not just the sound you make; it is the influence you carry. Take time to prepare, to build competence, and to understand the challenges around you so you can create real solutions.”Tags: Comfort OcranGhana NewsSpringboard",Juliana Odame Asare,,"November 24, 2025",https://citinewsroom.com/2025/11/you-are-the-leaders-of-today-comfort-ocran-rallies-youth-as-springboard-marks-18-years/
Ghana calls for global gold certification regime to combat smuggling,"Ghana is urging the international community to establish a multilateral certification scheme for gold, similar to the United Nations–backed Kimberley Process for diamonds, to prevent smuggled gold from entering the global supply chain.The proposal was announced by the Chief Executive Officer of the Ghana Gold Board (GoldBod), Sammy Gyamfi, during the 2025 Dubai Precious Metals Conference in Dubai.Mr. Gyamfi said the absence of a unified international certification framework has enabled illicit gold to flow freely across borders, fuelling money laundering, terrorist financing and other criminal activities.He stressed that a global mechanism is urgently needed to protect both producing and importing countries from the growing risks associated with illegal gold trading.According to him, a certification regime would enhance transparency, improve accountability and restore integrity to the global gold industry.“Just as the Kimberley Process helped curb conflict diamonds, a similar scheme for gold will prevent smuggled metal from entering legitimate supply chains,” he said.He added that Ghana stands ready to work with the United Arab Emirates, the Dubai Multi Commodities Centre (DMCC), the World Gold Council, the London Bullion Market Association (LBMA), and governments worldwide to advance the initiative.“We are confident that these steps will bolster global Anti-Money Laundering and Counter Terrorism Financing efforts,” he noted.The call comes amid concerns that discrepancies between gold export records in Ghana and import records in other countries reflect large-scale smuggling. Mr. Gyamfi warned that the phenomenon has strengthened criminal networks and undermined good governance across several gold-producing nations.In his speech, he also highlighted Ghana’s recent reforms to tighten control over its artisanal and small-scale mining (ASM) sector, including stricter licensing, increased enforcement, and the impending rollout of a blockchain-based Track and Trace system by 2026 to verify the origin of all ASM gold.Mr. Gyamfi emphasised that global cooperation is essential to closing the loopholes exploited by smugglers. He called on industry leaders and international organisations to support developing countries that are working to transform their ASM sectors and safeguard the integrity of the global gold supply chain. Tags: Chief Executive Officer of the Ghana Gold Board (GoldBod)GhanaGhana NewsinternationalKimberley ProcessSammy Gyamfi",Abigail Arthur,,"November 24, 2025",https://citinewsroom.com/2025/11/ghana-calls-for-global-gold-certification-regime-to-combat-smuggling/
