title,content,author,category,published_date,page_url
2026 budget was heavy on slogans but empty on substance  Davis Opoku,"The Member of Parliament for Mpraeso, Davis Ansah Opoku, has criticised the governments 2026 Budget Statement, describing it as heavy on slogans but empty on substance.
Contributing to the debate in Parliament on Friday, November 20, the Deputy Ranking Member of the Public Accounts Committee (PAC) argued that the budget failed to provide clear, measurable policy direction for addressing the countrys economic difficulties.
According to Opoku, the government devoted more effort to crafting catchy expressions than to outlining credible programmes that could deliver relief to households and businesses.
He stated that Ghanaians are tired of slogans that lead nowhere, adding that the budget once again repeated promises without demonstrating how those commitments would be funded or implemented.
We expected solutions, not soundbites, he remarked.
The Mpraeso MP said that beyond the messaging, the budget lacked concrete initiatives capable of stimulating growth or reducing unemployment.
He pointed out that sectors such as agriculture, manufacturing, and small-scale enterprises received what he described as minimal attention, despite their central role in economic recovery.
A budget must reflect urgency and seriousness. What we received instead was a document full of lofty words and empty pages, he added.
Mr Opoku further argued that the government had failed to provide a transparent account of how it intended to finance key projects, especially in the face of limited fiscal space.
He said the absence of detailed costings and timelines undermined public confidence in the administrations economic management.
Parliament cannot approve a budget that does not tell the country how programmes will be delivered or what they will cost, he cautioned.
Concluding his submission, the Deputy Ranking Member urged the government to revise the budget and present a more practical framework that responds to the needs of ordinary Ghanaians.
He insisted that the country requires a plan rooted in realism rather than rhetoric.
This is not the time for branding exercises; it is the time for action, he stressed.",,Politics, 23 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/2026-budget-was-heavy-on-slogans-but-empty-on-substance-Davis-Opoku-2010613
Where is Ken Ofori-Atta? - Afenyo-Markin questioned in Parliament,"Minority Leader Alexander Afenyo-Markin came under intense scrutiny in Parliament on Friday November 21, 2025 as MPs demanded explanations for the continued absence of former Finance Minister Ken Ofori-Atta, who is expected to return to Ghana to face investigations into alleged corruption-linked contracts, including the controversial GRASML deal and the National Cathedral project.
The issue resurfaced when the Minister for Local Government, Ahmed Ibrahim, reminded the House of an earlier assurance by Afenyo-Markin that Ofori-Atta would return to the country by February 18, 2025.
He directly queried the Minority Leader for an update on the former ministers whereabouts.
He gave us authoritative information that by February 18th, the honourable former Finance Minister was going to be in Ghana. So Im asking, where is the former Finance Minister? Ahmed Ibrahim demanded.
Ministers of Finance who have occupied that office, after their tenure, remain in this country. Where is he?
In response, Afenyo-Markin rejected claims of misleading Parliament. He explained that Ofori-Atta had officially communicated to the Office of the Special Prosecutor (OSP), through his lawyers, outlining his health challenges and travel plans.
The records will bear me out...Ken Ofori-Atta had written to the OSP that he would be in Ghana on or before May. He also indicated that he had been booked for surgery.
OSP formally charges Ken Ofori-Atta, seven others with 78 counts
He further explained that doctors later advised an extended recovery period after the scheduled procedure, leading to additional communication from the former minister seeking more time.
Afenyo-Markin urged MPs to show empathy, stressing the sensitivity of medical issues.
When it comes to ill health, all of us may go through it one way or the other. If a man is going through a serious medical condition, how many of us would be bold enough to disclose our medical records? But the man has disclosed his medical record, he said.
He warned against politicising Ofori-Attas condition, adding, Lets be fair to Ken Ofori-Atta. It can be you tomorrow.
However, Majority Leader Mahama Ayariga rejected suggestions that MPs were being insensitive. He argued that concerns about Ofori-Attas health only became pressing after he was needed to answer accountability-related questions.
You are giving the impression that members on this side are insensitive to the medical condition of Ken Ofori-Atta...Ken Ofori-Atta was very sick in this country. You could see the sickness in his face. But at that time, it was sweet to be a Finance Minister.
He continued, How come that suddenly, because today he is being sought after by the law enforcement agencies, he cannot live in this country and is claiming illness? He was sick when he was the Finance Minister. We all saw it.
The former Finance Minister was invited by the OSP earlier this year to provide evidence or respond to allegations surrounding the GRASML revenue assurance contract and other public expenditure issues. His prolonged stay abroad has since become a major point of contention.
AM
President Mahama visits 37 Military Hospital to console El-Wak stampede victims
Chaos at El-Wak: Watch citizens recount harrowing experiences during GAF recruitment
Ghana Armed Forces gives details of stampede which led to the death of six people
Watch the promo to GhanaWeb's latest documentary, which uncovers the evolution of kayamata,' an exploitative practice fueled by love charms and manipulation, titled, The Dark Side of Kayamata,' below:
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Where-is-Ken-Ofori-Atta-Afenyo-Markin-questioned-in-Parliament-2010536
Several pages of my memoir will be for 'Prime Minister' Gabby Otchere-Darko - Afenyo-Markin,"The Minority Leader of Parliament,
Alexander Kwamena Afenyo-Markin
, has hinted that several pages of the memoir he plans to write in the future will be dedicated to New Patriotic Party (NPP) stalwart, Gabby Otchere-Darko.
According to him, Gabby whom he referred to as Prime Minister is one of the few people within the party who sat him down and advised him during some of the lowest moments of his life.
Speaking in an interview on Asasepa, shared on social media, Afenyo-Markin explained that during the early years of the previous NPP administration, when the party recaptured power from the then
National Democratic Congress
(NDC), he felt neglected because he was not rewarded with any position or appointment.
He added that despite being a long-standing Member of Parliament for the Effutu Constituency in the Central Region, he was not given any parliamentary committee leadership role, even though new entrants secured such positions.
Look, God has planned everything. For me to even be here, I never dreamt of becoming a Whip, then a Deputy Leader and eventually the Leader of the Minority.
Your boss, Gabby Otchere-Darko, aka Prime Minister, the day I write my memoir, I will dedicate several pages in his honour, he said.
There have been attempts to remove Afenyo-Markin from leadership - Kwesi Pratt alleges
We fought hard to win power and when they shared the positions, I didnt get any. Even in Parliament, I didnt get committee leadership but newcomers were made committee leaders. We went through trials but people like Gabby sat me down and said, Alex, how old are you? You are in your 30s. Go and work hard and pray. Politics is always like that.
He noted that Gabbys advice encouraged him to stay focused and work harder, ultimately contributing to his rise as Minority Leader.
@asaasepa
""I intend to devote several pages of my future memoir to honouring
Gabby Asare Otchere-Darko
"" Minority Leader Alexander Afenyo-Markin recounts how
Gabby Asare Otchere-Darko
supported him during some of his most difficult and dejected moments.
#Atumpan
#AsaasePa
#FollowWhoKnowRoad
#AsaaseRadio
 original sound - AsaasePa107.3
AM/SSM
President Mahama visits 37 Military Hospital to console El-Wak stampede victims
Chaos at El-Wak: Watch citizens recount harrowing experiences during GAF recruitment
Ghana Armed Forces gives details of stampede which led to the death of six people
Watch the promo to GhanaWeb's latest documentary, which uncovers the evolution of kayamata,' an exploitative practice fueled by love charms and manipulation, titled, The Dark Side of Kayamata,' below:
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics, 22 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Several-pages-of-my-memoir-will-be-for-Prime-Minister-Gabby-Otchere-Darko-Afenyo-Markin-2010531
No proxy voting in 2026 NPP presidential primaries  Election Committee reaffirms ban,"The decision was confirmed after a closed-door meeting between the partys Presidential Election Committee and all aspirants in Accra.
Chairman Joseph Osei Owusu said the committee carefully considered concerns raised about the ban but concluded that allowing proxy votes could compromise the transparency and credibility of the election.
Weve read the petitions presented by sections of the party. And after listening to all that, we came to a conclusion that for the sake of conducting an election that is incident-free, an election that is respected, an election in which its accessible to all, a very credible election, that provision or that ban should be maintained, Osei Owusu told journalists.
We will still not have proxy voting in the 2026 presidential primaries.
Under this directive, all registered delegates must be physically present at their designated polling centres to cast their votes.
To enhance transparency, the committee provided each aspirant with soft copies of the provisional voters register.
Osei Owusu urged candidates to carefully review the document and submit any corrections through the official channels before it is publicly displayed at the constituencies.
The issue of proxy voting had resurfaced after some members argued that the ban could disenfranchise delegates who might be away on official duties, ill, or otherwise unable to attend on election day.
However, the committee maintained that physical presence is crucial for a credible and incident-free election.
Osei Owusu described the meeting as productive and peaceful, emphasizing the committees commitment to ensuring a transparent electoral process in the lead-up to the 2026 NPP presidential primary.",,Politics, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/No-proxy-voting-in-2026-NPP-presidential-primaries-Election-Committee-reaffirms-ban-2010510
Abu Jinapor outlines 5 reasons why Bawumia remains the best man for NPP,"Member of Parliament for Damongo and former lands and natural resources Minister,
John Abdulai Jinapor
has made a compelling case for the retention of former Vice President,
Dr Mahamudu Bawumia
, as the flagbearer of the
New Patriotic Party
(NPP) for the 2028 election.
In an interview with Paul Adom Otchere on Good Evening Ghana on Thursday, November 20, 2025, the MP said he decided to remain supportive of Dr Bawumias candidature after a careful assessment of the situation the NPP finds itself in, as well as messages of all the aspirants.
NPP Primaries: Dr Bawumia receives widespread endorsements in Central Region
""I have listened carefully to each one of the Presidential candidates. They are people I know very well at the personal level, and I have listened to all of them carefully, and I have not been convinced as to why we should not present
Dr Mahamudu Bawumia
. I don't have any credible and compelling reason why we should change
Dr Mahamudu Bawumia
,"" he said.
He then gave a number of reasons why he believes Dr Bawumia is the best person to lead the NPP to victory in 2028, urging the party to rally behind him, just as both the National Democratic Congress (NDC) and NPP did for the late Prof Mills, Nana Akufo-Addo and John Dramani Mahama.
""He is well marketed, he is formidable, he is credible, he is somebody you cannot associate with anything corruption or incompetence.""
""And I believe that if we present him again for 2028 and we rally behind him, I believe he has a very great, strong chance of winning the 2028 elections,"" Abu Jinapor added, reiterating his belief that the NPP will elect him as its presidential candidate.
22 out of 25 Assin South electoral area coordinators declare support for Dr Bawumia
""I am convinced that the party will support him come January 31, 2026, and I am convinced that the party will elect him because the party wants to win the 2028 election.""
""And I am convinced and that is the sentiment within the party that
Dr Mahamudu Bawumia
is the man who is the most formidable, the most marketed, a string candidate and has a national appeal. We have taken him once and if take him again and rally behind him in 2028, I believe that by the grace of the Almighty God, the Ghanaian people will have favour with us and elect him as President of Ghana come 2029.""
Jinapor's final reason was history, adding that over the years, both the NPP and the NDC have consistently backed presidential candidates over and over until they emerged Presidents.
He cited John Evans Atta Mills, Nana Akufo-Addo and President Mahama, who were all presented a number of times before they eventually won.
This is becoming too many! Afenyo Markin clashes with First Deputy Speaker
TWI NEWS",,Politics, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Abu-Jinapor-outlines-5-reasons-why-Bawumia-remains-the-best-man-for-NPP-2010487
OSP Probe: Majority and Minority leaders clash over continued absence of Ken Ofori-Atta,"A heated exchange erupted on the floor of
Parliament
on Friday, November 21, 2025, as the Majority Leader,
Mahama Ayariga
, and the Minority Leader, Alexander Kwamina Afenyo-Markin, clashed over the continued absence of former Finance Minister Ken Ofori-Atta, who is expected to return to the country to face investigations into alleged corruption-linked contracts, including the GRASML deal and the National Cathedral project.
OSP formally charges Ken Ofori-Atta, seven others with 78 counts
The exchange began when the Minister of Local Government, Ahmed Ibrahim, reminded the House of an earlier assurance from the Minority Leader that the former minister would return to Ghana by February 18, 2025.
He pressed for an update, questioning why Ofori-Atta had still not appeared.
He gave us authoritative information that by February 18, 2025, the honourable former Finance Minister was going to be in Ghana. So, Im saying, where is the former Finance Minister?
""I thought you were going to tell us his whereabouts. Ministers of Finance who have occupied that office, after their tenure, remain in this country. Where is he? he quizzed.
In response, Afenyo-Markin rejected suggestions that he had misled the House.
He explained that Ofori-Atta had formally notified the Office of the Special Prosecutor (OSP) about his medical condition and plans for travel.
The records would bear me out... Ken Ofori-Atta had written to the OSP, through his lawyers, that he was going to be in the country on or before May... Ken Ofori-Atta again indicated that he had been booked for surgery.
When it comes to ill health... all of us may go through it one way or the other. If a man is going through a serious medical condition, how many of us would be bold enough to disclose our medical records? But the man has disclosed his medical record,"" he noted.
The Member of
Parliament
for Effutu also condemned attempts to politicise Ofori-Attas situation.
How Ken Ofori-Atta and ex-GRA boss allegedly forced through SML deal
Lets be fair to Ken Ofori-Atta. It can be you tomorrow,"" he remarked.
But the Majority Leader,
Mahama Ayariga
, pushed back sharply, insisting that MPs were not being insensitive.
He argued that Ofori-Attas health concerns had only become a matter of national debate because he was required to account for his stewardship.
You are giving an impression that members on this side are insensitive to the medical condition of Ken Ofori-Atta... Ken Ofori-Atta was very sick in this country. You could see the sickness in his face. But at that time, it was sweet to be a Finance Minister.
How come that suddenly, because today he is being sought after by the law enforcement agencies, he cannot live in this country and is claiming illness? He was sick when he was the Finance Minister. We all saw it,"" he noted.
Meanwhile, the OSP has announced that it will arraign eight accused persons, including Ken Ofori-Atta, before the court on Monday, November 24, 2025.
He has formally charged Ofori-Atta, along with seven other individuals, with a total of 78 counts of corruption and corruption-related offences.
JKB/MA
This is becoming too many! Afenyo Markin clashes with First Deputy Speaker
TWI NEWS",,Politics, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/OSP-Probe-Majority-and-Minority-leaders-clash-over-continued-absence-of-Ken-Ofori-Atta-2010484
22 out of 25 Assin South electoral area coordinators declare support for Dr Bawumia,"Former Vice President, Dr Mahamudu Bawumia's campaign momentum in the Central Region continued on Thursday with another public show of support.
Dr Bawumia, who has been touring the region and receiving widespread endorsements since Monday, continued with visits to four constituencies; Asebu, and the three Assin constituencies - Assin South, North and Central respectively.
Electing Dr Bawumia as flagbearer will show NPP is open to all - Professor Sikanku
The Assin zone, where Kennedy Agyapong, one of the NPP flagbearers hails from, was energised and offered Dr Bawumia a rousing welcome and endorsements.
While Assin Central, the home of Kennedy Agyapong was not as electric, Assin South and North showed up so strongly for Dr Bawumia.
In Assin South, where former deputy Minister of Education, Rev Ntim Fordjour is MP, Dr Bawumia received a major boost with almost all electoral area coordinators declaring their support for Bawumia.
22 out of 23 electoral area coordinators endorsed Dr Bawumia and pledged to work for his victory.
""We are electoral area coordinators from Assin South and our message is that we have seen the goodness in Dr Bawumia so we have all decided to back him to be our party's Flagbearer again,"" the group's rep announced in the presence of the coordinators.
""We are 25 in number. Only 2 are not with us and one has passed away, so the remaining 22 are here to pledge our support for Dr Bawumia to lead our party to victory in 2028.""
NPP Primaries: Dr Bawumia receives widespread endorsements in Central Region
""We are not paying attention to the propaganda against him that he caused the defeat of the NPP. We the electoral area coordinators have been asking ourselves that for the number of parliamentary candidates who lost across the country, was it also the cause of Bawumia?"" they quizzed.",,Politics, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/22-out-of-25-Assin-South-electoral-area-coordinators-declare-support-for-Dr-Bawumia-2010429
Ugly utterances against NPP caused our defeat - Assin South coordinators,"Electoral area coordinators in the Assin South Constituency of the Central Region, have said that one of the main causes of the NPP's defeat in the 2024 election, was the utterances of some party leaders against the party.
Speaking on Thursday, November 20, 2025, during the campaign tour of Dr Bawumia in the constituency, 22 out of 25 electoral area coordinators of the constituency who openly declared their support for Bawumia, said propaganda is being waged against Bawumia as being responsible for the NPP's defeat, adding, however, that the real reasons for the defeat are known.
NPP Primaries: Dr Bawumia receives widespread endorsements in Central Region
""We are not paying attention to the propaganda against him that he caused the defeat of the NPP. We the electoral area coordinators have been asking ourselves that for the number of parliamentary candidates who lost across the country, was it also the cause of Bawumia?,"" the group said.
""The real reason for the party's defeat is known. Some people's utterances against the party really caused us. Also greed and neglect were some of the reasons, not the propaganda against Bawumia.""
The group reiterated it's confidence in Dr Bawumia to transform the country as a leader, should he be given the nod.
""We have seen that Dr Bawumia is blessed with the vision to transform our country. So many good things he did when he served as Vice President are today benefiting the country, even under the  NDC government.""
Electing Dr Bawumia as flagbearer will show NPP is open to all - Professor Sikanku
""We are 25 in number. Only 2 are not with us and one has passed away, so the remaining 22 are here to pledge our support for Dr Bawumia to lead our party to victory.""",,Politics, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Ugly-utterances-against-NPP-caused-our-defeat-Assin-South-coordinators-2010428
"'President Mahama deserves a third term, we will test the law' - NDC's Kojo Adu Asare","A leading member of the ruling
National Democratic Congress
(NDC), Kojo Adu Asare, has asserted that President
John Dramani Mahama
should vie for the presidency for a third term.
According to him, the president deserves another term in office because the people of Ghana want him to continue to lead the country because of his good works.
Kojo Adu Asare, a former Member of
Parliament
(MP) for Adentan, who made these remarks in a recent interview on Asempa 94.7 FM, said that the laws of the country, which border on presidential term limits, will be tested.
Asked whether Mahama deserves another term in office, the former NDC MP said, I think so.
If Ghanaians want him, why not? he added when pressed on why he was harbouring such thoughts.
He reiterated, Im saying that you talk to the people of Ghana... gauge the mood of the people and the acceptability, approval rating for John Mahama.
He suggested that President Mahamas first term in office does not count, saying that he will now be running for his second.
It is about law and we are going to law... It is about governance, and the people love someone who they think can help develop the nation.
He asserted that the president's achievement has shown that he would transform the country if he were given more time.
He added that countries like Singapore have made significant progress in their development process because they had leaders who were in office for longer periods.
President Mahama announces 'plans' for 2028 presidential run
Meanwhile, President Mahama, in August 2025, dismissed growing speculation that he may seek another term in 2028, firmly stating that he will not contest in Ghana's next general elections.
For months, sections of the public and political commentators had suggested that President Mahama could be persuaded to run again.
But the President has now put those rumours to rest, making it clear that he has no intention of returning to the ballot, while on an official visit to Singapore.
Explaining his decision, President Mahama said stepping aside in 2028 would give him the moral authority to prioritise the national interest over electoral considerations.
""I will not be a candidate in the next elections and therefore I can hold the line when it comes to fiscal discipline,"" he said.
Watch video of the former MP's remarks below:
BAI
Watch the promo to GhanaWeb's latest documentary, which uncovers the evolution of kayamata,' an exploitative practice fueled by love charms and manipulation, titled, The Dark Side of Kayamata,' below:",,Politics, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/President-Mahama-deserves-a-third-term-we-will-test-the-law-NDC-s-Kojo-Adu-Asare-2010391
'This is becoming too many!' - Afenyo-Markin clashes with First Deputy Speaker,"Minority Leader
Alexander Kwamena Afenyo-Markin
got into a heated exchange with the First Deputy Speaker of Parliament,
Bernard Ahiafor
, after Ahiafor interrupted him while he was speaking on the floor of the House.
Afenyo-Markin was making his submission and accusing the National Democratic Congress of double standards. He argued that when the NDC was in opposition, they criticised the Hubtel software system, yet now that they are in government, they are still using the same system.
In the middle of his point,
Bernard Ahiafor
, who was presiding as Speaker, attempted to draw his attention to something.
'NPP talking as if Torkonoo was their woman organiser' - Rashid Tanko Computer
Afenyo-Markin was not ready to entertain that interruption. He pushed back, saying that the Majority Leader had been allowed to make his point without any interference, so he did not understand why the Deputy Speaker was interrupting him.
Afenyo-Markin raised his voice saying the interruptions were becoming too frequent and he would no longer accept them.
According to him, the Majority Leader always gets the space to speak without interruption, but when it is the Minoritys turn, the interjections start.
Mr Speaker, when the Majority Leader was on his feet, you never asked him a question. This is becoming one too many; I wont accept this. You allowed him (Majority Leader) to speak, but when it gets to us (Minority), then you start asking questions. Why didnt you interrupt him? Mr Speaker, dont do this, the Minority Leader stated.
He went on to question why the Deputy Speaker did not interrupt the Majority Leader at all but decided to do so only when the Minority Leader was speaking.
Bernard Ahiafor
, unhappy with Afenyo-Markins reaction, confronted him and demanded to know which question he had even asked.
But Afenyo-Markin stood his ground and insisted that unlike with the Majority Leader, the Deputy Speaker had interrupted him, and that was exactly his problem.
Watch the video below:
@ghanapolitics
#afenyomarkin
#speaker
#ghanaparliament
#npp
#ndc
#fyp
#winneba
#accra
 original sound - Beyond_the_Commentary 
TWI NEWS
AK/SSM",,Politics, 21 November 2025,https://www.ghanaweb.com/GhanaHomePage/politics/This-is-becoming-too-many-Afenyo-Markin-clashes-with-First-Deputy-Speaker-2010377
