title,url,error
President Mahama extends IGP Yohuno’s tenure by 2 years,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-extends-IGP-Yohuno-s-tenure-by-2-years-2011005,False
NPP Minority raises concerns over sanitary pads expenditure in budget,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/NPP-Minority-raises-concerns-over-sanitary-pads-expenditure-in-budget-2011008,False
Oseneso residents dethrone chief over alleged involvement in illegal mining,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Oseneso-residents-dethrone-chief-over-alleged-involvement-in-illegal-mining-2011007,False
Dr Ayew Afriye raises alarm over government's failure to prevent Zipline shutdown,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Dr-Ayew-Afriye-raises-alarm-over-government-s-failure-to-prevent-Zipline-shutdown-2010997,False
President Mahama hasn’t asked contractor on Accra–Kumasi bypass to stop work - Roads minister,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-hasn-t-asked-contractor-on-Accra-Kumasi-bypass-to-stop-work-Roads-minister-2011006,False
2 found dead in parked vehicle at Atonsu Agogo shoe factory,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/2-found-dead-in-parked-vehicle-at-Atonsu-Agogo-shoe-factory-2010990,False
Wesley Girls' Controversy: CenPOA weighs in on 'discriminatory' religious policies,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Wesley-Girls-Controversy-CenPOA-weighs-in-on-discriminatory-religious-policies-2010999,False
Democracy Hub joins Wesley Girls SHS religious discrimination suit,https://www.ghanaweb.com/GhanaHomePage/politics/Democracy-Hub-joins-Wesley-Girls-SHS-religious-discrimination-suit-2010992,False
Why the EC staff who petitioned Mahama to remove Jean Mensa was interdicted,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Why-the-EC-staff-who-petitioned-Mahama-to-remove-Jean-Mensa-was-interdicted-2010873,False
"President Mahama shares when he will appoint defence, environment ministers",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-shares-when-he-will-appoint-defence-environment-ministers-2010996,False
