"id","title","content","link","published_date","scraped_at"
1,"Mahama meets CSOs on the establishment of a Governance Advisory Council.","President John Dramani Mahama has met with representatives of various Civil Society Organisations (CSOs) at the Presidency to discuss the formation of a Governance Advisory Council, a key pledge from his 2024 election campaign to bolster accountability and transform governance in Ghana.
President Mahama elaborated on the proposed council’s mandate, emphasising its crucial role in monitoring and advising the government on critical issues such as human rights, corruption, and overall governance.
“This council is a commitment to the Ghanaian people, a promise to foster a more transparent and accountable government,” President Mahama stated during the meeting.
“President Mahama believes that by bringing together the wisdom and expertise of civil society, religious leaders, traditional authorities, academia, labour, and ordinary Ghanaians, we can create a powerful mechanism for ensuring that our governance truly reflects the values and aspirations of our nation”, a statement to the Press after the meeting stated.
As promised during his campaign, the President expects the Governance Advisory Council to function as an independent watchdog responsible for producing an annual report on the state of human rights, corruption, and governance in Ghana. He explained that this report would be publicly accessible and serve as a guide for the government to evaluate its progress and address areas in need of improvement.
“This annual report will not be just another document gathering dust on a shelf,” the President stated during his campaign engagements in 2024. “It will be a living, breathing instrument for change, holding us accountable and pushing us to do better on issues ranging from human rights violations and corruption to media freedoms and the fight against torture and crime.”
Senior President Advisor for Governmental Affairs, Dr Valerie Sawyerr, has been tasked with leading the government’s effort to establish the Council.","https://presidency.gov.gh/mahama-meets-csos-on-the-establishment-of-a-governance-advisory-council/","26 May 2025","2025-12-05T19:45:02.115548"
2,"Damango to host the Catholic Science and Technology University – President Mahama.","President John Dramani Mahama has announced that Damongo, the Savannah regional capital, will host two major projects: a Catholic Science and Technology University and a regional hospital that will serve as a teaching facility.
The President made the announcement during a courtesy call by Most Reverend Philip Naameh, Catholic Metropolitan Archbishop of Tamale, at the Presidency in Accra.
According to President Mahama, initial funding for the proposed university will come from the grant promised by the Chinese President.
The regional hospital, he explained, “shall also serve as a teaching facility for the proposed Catholic Science and Technology University, which will have a Faculty of Medical Sciences to train medical doctors and other allied health professionals.”
The President reiterated the government’s commitment to revamp the nation’s Technical and Vocational Education and Training (TVET) institutions during the discussions.
The name and location of the proposed university in Damongo were proposed by Archbishop Naameh and his delegation, who raised various educational and social issues affecting the northern sector of the country and made a passionate plea for redress.
Present at the meeting were Haruna Iddrisu (MP), Minister for Education; Joyce Bawah Mogtari, Presidential Advisor and Special Aide to the President; Elvis Afriyie Ankrah, Office of the President; and Rita Naa Odoley Sowah, Deputy Minister for Local Government, Chieftaincy, and Religious Affairs.","https://presidency.gov.gh/damango-to-host-the-catholic-science-and-technology-university-president-mahama/","24 October 2025","2025-12-05T19:45:02.172719"
3,"Presidency Communications newsletter, Dec. 02, 2025","Click below to read the Presidency communications newsletter from Dec. 02, 2025.
The Presidency Communications
#PromisesDelivered
#MahamaThePresiden","https://presidency.gov.gh/presidency-communications-newsletter-dec-02-2025/","03 December 2025","2025-12-05T19:45:02.231654"
4,"President nominates 13 deputy ministers.","President John Dramani Mahama has nominated thirteen (13) deputy ministers to assist their respective ministers in helping the government achieve its vision and objectives and fulfil its promises to the people of Ghana.
The nominees, as announced by the presidential spokesperson, Felix Kwakye Ofosu, are
1. Ministry of Finance – Thomas Nyarko Ampem
2. Ministry of the Interior – Ebenezer Okletey Terlabi
3. Ministry of Defence -Ernest Brogya Gyenfi
4. Ministry of Education -Clement Abas Apaak
5 Ministry of Energy & Green Transition -Richard Gyan-Mensah
6. Ministry of Roads & Highways -Alhassan Sayibu Suhuyini
7. Ministry of Justice & Attorney General- Justice Srem-Sai
8. Ministry of Lands and Natural Resources -Yusif Sulemana
9. Ministry of Local Government, Chieftaincy and Religious Affairs -Rita Naa Odoley Sowah
10. Ministry of Works, Housing and Water Resources -Gizella Tettey-Agbotui
I I. Ministry of Tourism, Culture and Creative Arts -Yussif Issaka Jajah
12. Ministry of Food and Agriculture -John Kofi Setor Dumelo
13. Ministry of Trade, Agribusiness and Industry -Samson Ahi
The President has meanwhile nominated Lydia Lamisi Akanvariba as Minister of State, Public Sector Reforms.","https://presidency.gov.gh/president-nominates-13-deputy-ministers/","05 February 2025","2025-12-05T19:45:02.289174"
5,"Government supports Kantamanto market fire victims with GH¢ 1m","The Chief of Staff, Julius Debrah, has presented one million Ghana cedis to the Katamanto Traders Association to support victims of a devastating fire that ravaged the market earlier this year.
The presentation fulfills a pledge President John Dramani Mahama made during a meeting with the association shortly after his assumption of office.
Mr. Debrah expressed the government’s sympathy for the traders’ losses and indicated the government’s readiness to facilitate the engagement of all stakeholders in redesigning the market into a modern, multi-purpose facility to prevent future disasters.
“There is hope. The President was elected to solve problems and is ready to do that devoid of politics,” Mr. Debrah assured.
The Chairman of the Join Kantamanto Traders Association, Reverend Opoku Afreh, thanked the President for the support.","https://presidency.gov.gh/government-supports-kantamanto-market-fire-victims-with-gh%c2%a2-1m/","23 January 2025","2025-12-05T19:45:02.354502"
6,"VP leads gov’t delegation in condolence visits to families of helicopter crash victims.","Vice President Naana Jane Opoku‑Agyemang on Tuesday led a government delegation to pay courtesy calls on the families of five victims of the 6 August military helicopter crash.
The visits, which followed last Friday’s state funeral, were intended to comfort the bereaved and to assure them of the Government’s continued support.
The Vice‑President reiterated the administration’s commitment to work closely with the families to address their welfare needs, particularly those of the widows and children left behind.
The families visited were those of the late Samuel Sarpong, Vice Chairman of the National Democratic Congress (NDC); Samuel Aboagye, Deputy Director General, National Disaster Management Organisation (NADMO); Alhaji Mohammed Muniru Limuna, Deputy National Security Coordinator (Human Security); Dr Edward Kofi Omane Boamah, former Defence Minister; and Alhaji Dr Ibrahim Murtala Muhammed, former Minister for Environment, Science and Technology.
Professor Opoku‑Agyemang, who is acting President while President Mahama is on official duties in Japan, held separate private meetings with each family to listen to their concerns and to convey the nation’s sympathy.
The Government delegation included Julius Debrah, Chief of Staff; Dr Valarie Sawyerr, Senior Presidential Advisor on Governmental Affairs; Alex Segbefia, Chief of Staff at the Office of the Vice President; Seth Terkper, Economic Advisor to the President; Nana Oye Bampoe‑Addo, Deputy Chief of Staff (Finance & Administration); Fifi Fiavi Kwetey, General Secretary, NDC; and Hajia Shamima Muslim, Deputy Presidential Spokesperson.
A spokesman for the Limuna family expressed gratitude to the Government, describing the courtesy calls as comforting and saying the visits had strengthened the family following the outpouring of national support.","https://presidency.gov.gh/vp-leads-govt-delegation-in-condolence-visits-to-families-of-helicopter-crash-victims/","20 August 2025","2025-12-05T19:45:02.409889"
7,"Mahama Challenges African Leaders: Health is Economic Engine, Not Drain","President John Dramani Mahama today issued a strong challenge to fellow African leaders, urging them to abandon the outdated notion that health spending hampers national economies. Instead, he advocated for health as a vital investment and the “engine of productivity,” essential for the continent’s inclusive growth.
Speaking at a high-profile Accra Health Sovereignty Summit in Accra, President Mahama called for a fundamental shift away from dependence on donor support for health infrastructure.
He advocated for a “new multilateralism,” grounded in co-creation and mutual respect, rather than extraction or charity.
“The outdated notion that health drains our economies must be rejected,” President Mahama declared in his keynote address. “In truth, health is the engine of productivity and the bedrock of inclusive growth.”
To underscore his point, the President cited World Health Organisation (WHO) research indicating that every $1 invested in health resilience yields up to $4 in returns. He emphasised that this return is even greater in Africa, given its youthful populations and “latent economic dynamism.”
“Every malaria case prevented is a day of work regained. Every maternal death avoided is a family stabilised. Every vaccinated child is a future secured,” he stated, illustrating the tangible economic and social benefits of health investment.
President Mahama, who convened the Accra Meeting, urged economists across the continent to revise national accounts to reflect health as a productivity multiplier rather than a mere consumption expense. He implored Ministers of Finance to treat health as a capital investment.
To achieve this paradigm shift, he outlined a three-pronged strategy:
1. Globally: Championing a new health governance architecture that reflects a multipolar, digitally interconnected, and climate-challenged world.
2. Regionally: Scaling up homegrown solutions.
3. Nationally: Demonstrating the political will to mobilise funds and promote good governance fit for 21st-century realities, moving beyond mere plans.
Success, he observed, would hinge on scaling innovations such as PANABIOS for data health verification and pandemic preparedness, PROPER for transparent medical supply chains, and BIONOVAC to transform vaccine production from molecule to market.
“In Ghana, we have not stood still,” noted. The President announced the “uncapping” of the National Health Insurance Scheme (NHIS) financing, effectively opening up approximately 3.5 billion cedis more in fiscal space for broader and deeper health coverage.
He also referred to the Ghana Medical Trust Fund (MahamaCares), designed to mobilise public, private, and philanthropic capital to tackle chronic disease burdens like hypertension, diabetes, and kidney failure.
The President announced plans to launch a national Primary Healthcare Programme in the coming months, which will come along with the recruitment of community health volunteers. These initiatives, he noted, represent a significant step forward in preventive care, aimed at improving the general health and wellness of citizens.
The high-profile Africa Health Sovereignty Summit attracted a remarkable group of leaders and experts, including former Nigerian President Olusegun Obasanjo, former Liberian President Ellen Johnson Sirleaf, former Mauritius President Dr Ameenah Firdaus Gurib-Fakim, and the Director-General of the WHO, Dr Tedros Adhanom Ghebreyesus.
The summit convened health professionals from across the continent and the diaspora, global experts, non-profit organisations, investors, donors, and students, all committed to advancing health equity and sovereignty in Africa.","https://presidency.gov.gh/mahama-challenges-african-leaders-health-is-economic-engine-not-drain/","05 August 2025","2025-12-05T19:45:02.477135"
8,"Japanese business to invest $100m to make Ghana Africa’s first AI-powered agriculture hub.","Degas Limited has announced a $100 million investment over the next four years to help establish Ghana as Africa’s first AI-powered agricultural hub, expanding a model that has already financed more than 86,000 smallholder farmers across 122,000 acres nationwide.
“Ghana has shown that when technology meets a clear national vision, smallholder farmers can thrive,” said Doga Makiura, CEO and founder of Degas Limited, at a meeting with President John Dramani Mahama on the sidelines of the Ghana Presidential Investment Forum.
“Our $100 million commitment will scale AI-driven satellite monitoring and precision agriculture techniques so farmers can boost yields, reduce risk, and access fairly priced finance.”
“We’ve already seen incomes double with a 95% repayment rate from the farmers”, he stated in the meeting with President Mahama.
Degas’ platform combines AI-driven satellite monitoring and agriculture techniques. The results, according to Makiura, are drawing strong interest from Japanese investors.
“Many Japanese partners now consider Ghana’s integrated approach the gold standard for agricultural investment in Africa,” he said.
“President Mahama’s focus on value-chain integration aligns closely with Japan’s search for credible, scalable partnerships.”
President Mahama welcomed the announcement, calling it a vote of confidence in Ghana’s agricultural transformation agenda.
“This investment reinforces our commitment to integrated agricultural value chains that connect farmers to markets, finance, storage, and processing,” he said.
“By leveraging AI and precision technologies, we will improve productivity, enhance food security, and create dignified jobs for youth across rural communities.”
The new funding will support the expansion of Degas’ farmer financing, satellite-enabled crop monitoring, and precision agronomy services, while deepening partnerships across input supply, logistics, and offtake to strengthen local value chains.","https://presidency.gov.gh/japanese-business-to-invest-100m-to-make-ghana-africas-first-ai-powered-agriculture-hub/","22 August 2025","2025-12-05T19:45:02.535373"
9,"Specialised Courts to prosecute persons indicted in Auditor General’s Annual Report, galamsey and environment related crimes","Specialised Financial Courts will soon be established to deal with infractions in the Auditor General’s Annual Report, the illegal mining (galamsey) menace and other environment-related crimes.
President John Dramani Mahama made the announcement at the end of a meeting with the Acting Chief Justice Paul Baffoe-Bonnie, Attorney General and Minister for Justice Dr Dominic Ayine and the Auditor General Johnson Akuamoah Asiedu.
The meeting recommended that the specialised courts would hold circuit adjudications across the country. In addition, the Auditor General will in line with Article 187(7)(b) of the Constitution continue to “disallow” illegal expenditures and “surcharge” the persons responsible for them.
Present at the meeting were Supreme Court Judge Justice Gabriel Pwamang, Judicial Secretary Musah Ahmed, Chief of Staff Julius Debrah, Legal Counsel to the President Marietta Brew, Presidential Advisor Joyce Bawah Mogtari, and the Minister of State for Government Communications and Presidential Spokesperson Felix Kwakye Ofosu.","https://presidency.gov.gh/specialised-courts-to-prosecute-persons-indicted-in-auditor-generals-annual-report-galamsey-and-environment-related-crimes/","20 October 2025","2025-12-05T19:45:02.592688"
10,"UNGA80 Side Event: Mrs Mahama & other First Ladies to champion women’s resilience amidst Climate and Conflict","First Lady Mrs Lordina Dramani Mahama and other First Ladies from the continent convened for a high-level side event during the 80th session of the UN General Assembly (UNGA 80), organised by the Organisation of African First Ladies for Development (OAFLAD).
The critical gathering, themed “Building Resilience for Women and Girls in the Face of Climate Change and Conflict,” culminated in a unified campaign commitment from all participating First Ladies to address these pressing global challenges.
The discussions underscored the disproportionate impact of environmental degradation and armed conflicts on vulnerable populations, particularly women and girls, who often bear the brunt of displacement, resource scarcity, and increased violence.
A central outcome of the event was the collective commitment made by all First Ladies to a campaign pledge, which signifies a concerted effort to advocate for policies, mobilise resources, and implement programmes to target the unique challenges faced by women and girls in climate and conflict-affected regions.
Mrs Mahama’s commitment statement centred on the theme of “Strength.”
“I pledged to support this campaign that centres on African solutions and strength, which is rooted in its women and girls,” she stated. “In the face of climate and conflict challenges, their courage sustains families and communities. By investing in their strength, we build resilience for generations to come.”","https://presidency.gov.gh/unga80-side-event-mrs-mahama-other-first-ladies-to-champion-womens-resilience-amidst-climate-and-conflict/","24 September 2025","2025-12-05T19:45:02.654363"
