title,url,error
"NACOC nabs 3 in connection with 1,158kg suspected cocaine shipment to Belgium",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/NACOC-nabs-3-in-connection-with-1-158kg-suspected-cocaine-shipment-to-Belgium-2012807,False
'Let’s choose unity over division' - NPP running mate NAPO urges Bono executives,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Let-s-choose-unity-over-division-NPP-running-mate-NAPO-urges-Bono-executives-2012818,False
Why Randy Abbey didn’t attend Farmers Day Celebrations - COCOBOD PRO explains,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Why-Randy-Abbey-didn-t-attend-Farmers-Day-Celebrations-COCOBOD-PRO-explains-2012800,False
Alhaji Talal Fattal stable after heart procedure,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Alhaji-Talal-Fattal-stable-after-heart-procedure-2012792,False
Pregnant Dzodze-Penyi SHS student breaks silence on alleged sexual abuse by headmaster,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Pregnant-Dzodze-Penyi-SHS-student-breaks-silence-on-alleged-sexual-abuse-by-headmaster-2012774,False
Kpandai chiefs urges President Mahama to intervene in election rerun dispute,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Kpandai-chiefs-urges-President-Mahama-to-intervene-in-election-rerun-dispute-2012817,False
Professor Alabi challenges GTEC over decision on SMC doctorate degrees,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Professor-Alabi-challenges-GTEC-over-decision-on-SMC-doctorate-degrees-2012727,False
Wontumi Illegal Mining Case: Court dismisses request for further disclosures,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Wontumi-Illegal-Mining-Case-Court-dismisses-request-for-further-disclosures-2012735,False
"60,000 surveillance cameras to be deployed nationwide – Mahama",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/60-000-surveillance-cameras-to-be-deployed-nationwide-Mahama-2012803,False
Parliament officially notifies EC of vacant Kpandai seat,https://www.ghanaweb.com/GhanaHomePage/politics/Parliament-officially-notifies-EC-of-vacant-Kpandai-seat-2012784,False
‘This is the real picture' - Dr Kpikpi says 2025 WASSCE reflects long-standing decline,https://www.ghanaweb.com/GhanaHomePage/politics/This-is-the-real-picture-Dr-Kpikpi-says-2025-WASSCE-reflects-long-standing-decline-2012791,False
Okyehene declares Alhaji Sanusi as legitimate chief of Akyem Kyebi Zongo,https://www.ghanaweb.com/GhanaHomePage/regional/Okyehene-declares-Alhaji-Sanusi-as-legitimate-chief-of-Akyem-Kyebi-Zongo-2012798,False
19-year-old remanded on three charges,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/19-year-old-remanded-on-three-charges-2012802,False
No student was sent home despite $86m scholarship arrears NPP inherited – Dr Agyemang,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/No-student-was-sent-home-despite-86m-scholarship-arrears-NPP-inherited-Dr-Agyemang-2012729,False
How I became a Catholic and a Freemason - Kufuor,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/How-I-became-a-Catholic-and-a-Freemason-Kufuor-2012648,False
Kufuor hosts NPP presidential aspirants as he marks 87th birthday,https://www.ghanaweb.com/GhanaHomePage/politics/Kufuor-hosts-NPP-presidential-aspirants-as-he-marks-87th-birthday-2012762,False
The plot against me by some NPP members is similar to the rivalry you're seeing now - Kufuor,https://www.ghanaweb.com/GhanaHomePage/politics/The-plot-against-me-by-some-NPP-members-is-similar-to-the-rivalry-you-re-seeing-now-Kufuor-2012650,False
"OSP defends handling of former PPA boss case, adjourned to January 20",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/OSP-defends-handling-of-former-PPA-boss-case-adjourned-to-January-20-2012808,False
Nkawkaw MP reportedly escapes near-fatal road crash,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Nkawkaw-MP-reportedly-escapes-near-fatal-road-crash-2012780,False
Miracles Aboagye slams government over U-turn on $60m presidential jet purchase,https://www.ghanaweb.com/GhanaHomePage/politics/Miracles-Aboagye-slams-government-over-U-turn-on-60m-presidential-jet-purchase-2012750,False
Former Buffer Stock CEO petitions court to lift EOCO freeze on 'wrongfully tagged' properties,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Former-Buffer-Stock-CEO-petitions-court-to-lift-EOCO-freeze-on-wrongfully-tagged-properties-2012666,False
'I never supported Alan against anybody' – Kufuor rejects 2008 bias claims,https://www.ghanaweb.com/GhanaHomePage/politics/I-never-supported-Alan-against-anybody-Kufuor-rejects-2008-bias-claims-2012698,False
"$40k Adu Boahen Bribe, Smear Campaign: Kpebu makes wild allegations against Agyebeng",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/40k-Adu-Boahen-Bribe-Smear-Campaign-Kpebu-makes-wild-allegations-against-Agyebeng-2012637,False
"NPP urged to withdraw from 2028 general elections, seek group counseling",https://www.ghanaweb.com/GhanaHomePage/politics/NPP-urged-to-withdraw-from-2028-general-elections-seek-group-counseling-2012633,False
OSP files motion to call additional witness in former PPA CEO trial,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/OSP-files-motion-to-call-additional-witness-in-former-PPA-CEO-trial-2012746,False
Daddy Lumba's 'maternal principal family' files suit to block release of his body,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Daddy-Lumba-s-maternal-principal-family-files-suit-to-block-release-of-his-body-2012644,False
"Interference by chiefs, politicians sabotaging galamsey fight – NAIMOS",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Interference-by-chiefs-politicians-sabotaging-galamsey-fight-NAIMOS-2012723,False
Professor Opoku-Agyemang reviews 46th change of guards at Jubilee House,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Professor-Opoku-Agyemang-reviews-46th-change-of-guards-at-Jubilee-House-2012772,False
"NDC welcomes Kufuor’s criticism of NPP, questions timing of his remarks",https://www.ghanaweb.com/GhanaHomePage/politics/NDC-welcomes-Kufuor-s-criticism-of-NPP-questions-timing-of-his-remarks-2012709,False
President Mahama arrives in Abidjan for Ouattara's inauguration,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/President-Mahama-arrives-in-Abidjan-for-Ouattara-s-inauguration-2012638,False
"Afenyo-Markin diagnoses Mahama's nearly first year in office, offers 'guidance'",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Afenyo-Markin-diagnoses-Mahama-s-nearly-first-year-in-office-offers-guidance-2012685,False
Assassination attempt on OSP happened before 2025 - Interior Ministry details preliminary findings,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Assassination-attempt-on-OSP-happened-before-2025-Interior-Ministry-details-preliminary-findings-2012700,False
Over 200 Dormaa farmers set to thrive under Nkokonkenkete initiative,https://www.ghanaweb.com/GhanaHomePage/regional/Over-200-Dormaa-farmers-set-to-thrive-under-Nkokonkenkete-initiative-2012770,False
'Why do we speak when it's too late?' - Prof Azar jabs Kufuor over Akufo-Addo criticism,https://www.ghanaweb.com/GhanaHomePage/politics/Why-do-we-speak-when-it-s-too-late-Prof-Azar-jabs-Kufuor-over-Akufo-Addo-criticism-2012639,False
National Teaching Council must withhold licenses of teachers involved in sexual misconduct — IFEST boss,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/National-Teaching-Council-must-withhold-licenses-of-teachers-involved-in-sexual-misconduct-IFEST-boss-2012760,False
NDC’s Dela Coffie justifies purchase of presidential jets amid backlash,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/NDC-s-Dela-Coffie-justifies-purchase-of-presidential-jets-amid-backlash-2012694,False
"Unemployed trained teachers allege 'secret' GES recruitment, announce mega protest",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Unemployed-trained-teachers-allege-secret-GES-recruitment-announce-mega-protest-2012730,False
MoD delegation attends funerals of El-Wak stampede victims in Kasoa,https://www.ghanaweb.com/GhanaHomePage/regional/MoD-delegation-attends-funerals-of-El-Wak-stampede-victims-in-Kasoa-2012724,False
'Security is the foundation of development' - Mahama as he opens Volta NSB office,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Security-is-the-foundation-of-development-Mahama-as-he-opens-Volta-NSB-office-2012754,False
3 times in 2025 GES took action against SHS staff over allegations of sexual misconduct,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/3-times-in-2025-GES-took-action-against-SHS-staff-over-allegations-of-sexual-misconduct-2012702,False
"Police arrest 9 after mob attacks officers, steals weapons",https://www.ghanaweb.com/GhanaHomePage/crime/Police-arrest-9-after-mob-attacks-officers-steals-weapons-2012627,False
Government probes alleged assassination attempt on Special Prosecutor,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Government-probes-alleged-assassination-attempt-on-Special-Prosecutor-2012686,False
Dr Bawumia will win NPP flagbearer race - Prophet Emmanuel Worlasi declares,https://www.ghanaweb.com/GhanaHomePage/politics/Dr-Bawumia-will-win-NPP-flagbearer-race-Prophet-Emmanuel-Worlasi-declares-2012693,False
Kojo Bonsu meets the Police Chief of the People's Republic of China,https://www.ghanaweb.com/GhanaHomePage/diaspora/Kojo-Bonsu-meets-the-Police-Chief-of-the-People-s-Republic-of-China-2012657,False
Manasseh Azure turns heat on Office of the Special Prosecutor over PPA 'Contract for Sale' case,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Manasseh-Azure-turns-heat-on-Office-of-the-Special-Prosecutor-over-PPA-Contract-for-Sale-case-2012643,False
LIVESTREAMED: 46th ceremonial Change of Guards at Jubilee House,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/LIVESTREAMED-46th-ceremonial-Change-of-Guards-at-Jubilee-House-2012658,False
"Police arrest 9 after mob attacks officers, steals weapons",https://www.ghanaweb.com/GhanaHomePage/crime/Police-arrest-9-after-mob-attacks-officers-steals-weapons-2012627,False
Government probes alleged assassination attempt on Special Prosecutor,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Government-probes-alleged-assassination-attempt-on-Special-Prosecutor-2012686,False
Dr Bawumia will win NPP flagbearer race - Prophet Emmanuel Worlasi declares,https://www.ghanaweb.com/GhanaHomePage/politics/Dr-Bawumia-will-win-NPP-flagbearer-race-Prophet-Emmanuel-Worlasi-declares-2012693,False
Kojo Bonsu meets the Police Chief of the People's Republic of China,https://www.ghanaweb.com/GhanaHomePage/diaspora/Kojo-Bonsu-meets-the-Police-Chief-of-the-People-s-Republic-of-China-2012657,False
Manasseh Azure turns heat on Office of the Special Prosecutor over PPA 'Contract for Sale' case,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Manasseh-Azure-turns-heat-on-Office-of-the-Special-Prosecutor-over-PPA-Contract-for-Sale-case-2012643,False
LIVESTREAMED: 46th ceremonial Change of Guards at Jubilee House,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/LIVESTREAMED-46th-ceremonial-Change-of-Guards-at-Jubilee-House-2012658,False
Speaker Bagbin pushes for structured mentorship to guide first-term MPs,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Speaker-Bagbin-pushes-for-structured-mentorship-to-guide-first-term-MPs-2012740,False
Why Ghana needs more cancer centres,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Why-Ghana-needs-more-cancer-centres-2012689,False
Former First Lady Nana Konadu Agyeman-Rawlings is dead,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Former-First-Lady-Nana-Konadu-Agyeman-Rawlings-is-dead-2006414,False
Former First Lady Nana Konadu Agyeman-Rawlings hospitalised at Ridge Hospital,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Former-First-Lady-Nana-Konadu-Agyeman-Rawlings-hospitalised-at-Ridge-Hospital-2006415,False
See full list of properties allegedly acquired by former NAFCO CEO,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/See-full-list-of-properties-allegedly-acquired-by-former-NAFCO-CEO-2006276,False
Chairman Wontumi rearrested,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Chairman-Wontumi-rearrested-2004036,False
"Military Recruitment Stampede: Six dead, five in intensive care unit, 12 in critical condition - Reports",https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Military-Recruitment-Stampede-Six-dead-five-in-intensive-care-unit-12-in-critical-condition-Reports-2009170,False
Ghana drawn in challenging group for 2026 World Cup after pot 4 placement,https://www.ghanaweb.com/GhanaHomePage/NewsArchive/Ghana-drawn-in-challenging-group-for-2026-World-Cup-after-pot-4-placement-2010154,False
This is the real picture' - Dr Kpikpi says 2025 WASSCE reflects long-standing decline,https://www.ghanaweb.com/GhanaHomePage/politics/This-is-the-real-picture-Dr-Kpikpi-says-2025-WASSCE-reflects-long-standing-decline-2012791,False
'Let’s choose unity over division' - NPP running mate NAPO urges Bono executives,https://www.ghanaweb.com/GhanaHomePage/politics/Let-s-choose-unity-over-division-NPP-running-mate-NAPO-urges-Bono-executives-2012818,False
"NACOC nabs 3 in connection with 1,158kg suspected cocaine shipment to Belgium",https://www.ghanaweb.com/GhanaHomePage/politics/NACOC-nabs-3-in-connection-with-1-158kg-suspected-cocaine-shipment-to-Belgium-2012807,False
Okyehene declares Alhaji Sanusi as legitimate chief of Akyem Kyebi Zongo,https://www.ghanaweb.com/GhanaHomePage/regional/Okyehene-declares-Alhaji-Sanusi-as-legitimate-chief-of-Akyem-Kyebi-Zongo-2012798,False
Report responsibly on security matters – Journalists urged,https://www.ghanaweb.com/GhanaHomePage/regional/Report-responsibly-on-security-matters-Journalists-urged-2012795,False
Kpembe community applauds demolition of old toilet facility as MP begins modern sanitation project,https://www.ghanaweb.com/GhanaHomePage/regional/Kpembe-community-applauds-demolition-of-old-toilet-facility-as-MP-begins-modern-sanitation-project-2012793,False
19-year-old remanded on three charges,https://www.ghanaweb.com/GhanaHomePage/crime/19-year-old-remanded-on-three-charges-2012736,False
"Police rescue victim, arrest three suspected kidnappers at Bakpaba",https://www.ghanaweb.com/GhanaHomePage/crime/Police-rescue-victim-arrest-three-suspected-kidnappers-at-Bakpaba-2012712,False
