title,content,author,category,published_date,page_url
NPP MP prays for 'incurable malaria' for those urging Mahama to seek a third-term,"The Member of Parliament for Suhum, Frank Asiedu Bekoe, has levelled serious accusations against President John Dramani Mahama, alleging attempts to improperly retain power beyond his constitutionally mandated term.
Bekoe further claimed that the ruling party is leveraging its substantial majority in Parliament to intimidate the Minority Caucus, a tactic he insists will not succeed.
He asserted that the actions taken by the Minority Caucus on Tuesday, December 9, 2025, were a direct response to the Majority Caucuss refusal to adhere to due process and parliamentary procedures.
The MP warned that the majority would face continued instability if they persisted in what he termed an abuse of process.
""The minority had no intention to disrupt the proceedings. However, the majority refused to allow the rule to work. If you choose to abuse the law and intimidate your opponents, you will not secure peace.
""If you want to trample on peoples rights, then you will not secure peace. I want to emphasise with the greatest of clarity that if you wish to trample on the rights of others, you will not find peace.
Bekoe characterised the President as a greedy man aspiring to become a life president of Ghana, disregarding the potential existential threats such an ambition poses to the nation.
 President John Dramani Mahama has been consumed by greed and thus seeks to be elected president for life.
""We recently received information that he has created a government platform that includes civil society organisations, Supreme Court judges, journalists, and other officials. This fundamentally undermines the stability of Ghanas laws.
He then made a controversial statement, invoking a divine prayer against those he claimed are hell-bent on staying in power even after his term is over, I pray and ask God to strike any individual or individuals who seek to undermine our laws to create tension and threaten our peace and stability with malaria that is extremely difficult to cure.
The Suhum MP, affectionately known as Protozoa, also condemned the Tamale High Courts decision to order a rerun of the Kpandai constituency election, labelling it as unconstitutional, disastrous, and manipulative.
He argued that the election of Matthew Nyindam as the MP was lawful and reflected the legitimate will of the people, asserting that the National Democratic Congress (NDC) is attempting to illegitimately snatch the seat through an abuse of power, which they are prepared to resist.
The MP criticised the Speaker of Parliament, Alban Bagbin, for confirming that he instructed the Clerk to notify the Electoral Commission about the vacancy of the Kpandai seat.
Bekoe added that the chaotic actions by the minority were intended to forcefully convey their demand that they are not prepared to cooperate with any business in the House until their concerns are addressed.",,Politics, 12 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/I-pray-that-God-afflicts-those-encouraging-Mahama-to-seek-a-third-term-with-incurable-malaria-NPP-MP-2013367
High Court grants bail to five accused in Ofori-Atta SML case,"An High Court in Accra has granted bail to five accused persons who are standing trial with the former finance minister
Ken Ofori-Atta
over charges of causing procurement breaches and causing financial loss to the state.
It also approved the Office of the Special Prosecutors (OSP) application to serve summons on the first and second accused persons, Ofori-Atta and his Chief of Staff, Ernest Akore  with proceedings held in camera.
The 3rd, 4th, 5th, 7th, and 8th accused persons, namely Emmanuel Kofi Nti, Rev Ammishaddai Owusu-Amoah, Isaac Crentsil, Evans Adusei, and Strategic Mobilisation Ghana Limited were granted a GH50 million bail with two sureties to be justified.
This update was shared by the OSP on its official social media pages on Thursday, December 12, 2025.
""The Court admitted Emmanuel Kofi Nti (A3), Ammishaddai Owusu-Amoah (A4), Isaac Crentsil (A5), Evans Adusei (A7), and Strategic Mobilisation Ghana Ltd (A8) to GH50 million bail each, with two sureties to be justified"", it noted.
The post further indicated that the accused persons,""Must deposit all passports and travel documents and report to the OSP once every week"".
Ken Ofori-Atta
, seven co-accused face court as high-profile trial opens
All the five accused persons will report to OSP on Friday, December 12, 2025, at 11:00 am. to begin the processes leading to the fulfilment of the courts bail requirements.
""The bail terms will take effect on Monday, 15 December, when the accused persons return to complete the bail procedures. Until then, they remain on their existing OSP bail terms"", it noted.
Trial of
Ken Ofori-Atta
and seven others opens in Accra
The accused persons are standing trial for their alleged roles in a scheme prosecutors say was designed to improperly secure procurement contracts for Strategic Mobilisation Ghana Limited, causing the state losses exceeding GHS 1.4 billion, with a further US$2.8 billion expected to be paid but for the intervention of petitioners and the OSP.
See the post below:
The Republic v Kenneth Nana Yaw Ofori-Atta & 7 Ors
The High Court has granted the OSPs application to serve summons on Kenneth Nana Yaw Ofori-Atta (A1) and his Chief of Staff Ernest Akore (A2), with proceedings held in camera.
The Court admitted Emmanuel Kofi Nti (A3),...
pic.twitter.com/IAmGICazOl
 Office of the Special Prosecutor-Ghana (@ospghana)
December 11, 2025
JKB/AM
Also, watch below Amnesty International's 'Protect the Protest' documentary as the world marks International Human Rights Day 2025",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/High-Court-grants-bail-to-five-accused-in-Ofori-Atta-SML-case-2013345
Nana Agyei Baffour Awuah doubts OSP repeal has no presidential support,"Member of Parliament for Manhyia South, Nana Agyei Baffour Awuah (Esq), expressed his concerns over the recent push to scrap the Office of the Special Prosecutor (OSP).
His remarks come in the wake of a controversial Private Members Bill introduced by Majority Leader Mahama Ayariga and Majority Chief Whip Rockson-Nelson Dafeamekpor, seeking the complete repeal of the OSP Act of 2017.
I doubt this move to scrap the OSP is without the support of the President [Mahama] and the Attorney General, Awuah said during the interview on Good Morning Ghana on Metro TV. His statement adds fuel to the growing controversy surrounding the proposed repeal.
According to the MP, the decisions made by Mahama Ayariga and Rockson-Nelson Dafeamekpor were driven by personal, parochial considerations.
The bill, titled the Office of the Special Prosecutor (Repeal) Bill, 2025, was submitted on December 8, 2025 and proposes to return full prosecutorial authority over corruption cases to the Attorney-Generals office.
The bills sponsors argue that the OSP has faced numerous challenges during its eight years of operation, citing structural and constitutional deficiencies that have hindered its effectiveness.
One of the primary arguments for the repeal is the claim that the OSPs role overlaps with that of the Attorney General, leading to friction, duplication of efforts, and delays in prosecuting criminal cases.
The sponsors believe that the OSPs existence has led to unnecessary confusion in the judicial process and that consolidating prosecutorial power in the hands of the Attorney-General will streamline the handling of corruption cases.
However, the proposed move has raised alarms among some lawmakers and anti-corruption advocates, who argue that abolishing the OSP could diminish the independence and focus required for effective anti-corruption work.
Nana Agyei Baffour Awuahs comments echo these concerns, with the MP questioning whether the President and the Attorney-General are behind the push to weaken the OSPs mandate.
The OSP was established under the administration of former President Akufo-Addo with the aim of strengthening the countrys fight against corruption, a move that was widely supported by anti-corruption campaigners.
Meanwhile, President John Dramani Mahama has directed the Majority Leader, Mahama Ayariga, to withdraw the Private Members Bill seeking to repeal the OSP Act.
The announcement was made in a statement issued by the Minister of State in charge of Government Communications, Felix Kwakye Ofosu, on December 11, 2025.
President John Dramani Mahama has requested the Majority Leader and Majority Chief Whip in Parliament to withdraw the Private Member's Bill tabled for the repeal of the Act establishing The Office of Special Prosecutor, it noted.
According to the statement, President Mahama made the request following his public endorsement of the OSP as a vital cog in the fight against corruption during a meeting with the Peace Council on Wednesday, December 10, 2025.
#TrendingGH: Extension of IGP's contract draws praise and criticism
Watch some videos from the NPPs 2025 Constitution Amendment
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Nana-Agyei-Baffour-Awuah-doubts-OSP-repeal-has-no-presidential-support-2013334
Frequent election reruns undermining confidence - Election Watch Ghana,"Election Watch Ghana has raised alarm over the increasing number of election reruns in constituencies such as Kpandai, warning that the trend is draining public funds and eroding trust in the electoral process.
In a statement released on Thursday, December 11, 2025, the watchdog organisation said the frequency of repeat polls points to shortcomings within Ghanas election administration system. It stressed that the neutrality and professionalism of election officials are fundamental to delivering credible outcomes.
The group noted that the recurring disputes and subsequent reruns reflect deeper operational and managerial weaknesses within the Electoral Commission, and urged urgent structural improvements.
Election Watch Ghana also appealed to political parties, particularly the NPP and NDC, to fully engage in the upcoming Kpandai by-election, saying broad participation enhances democratic legitimacy.
It further called on the Electoral Commission to strengthen its procedures, strictly comply with electoral laws, and improve transparency throughout the electoral cycle. The organisation said fixing administrative lapses is essential to preventing avoidable repeat elections.
The statement ended by urging citizens, civil society organisations, and all political stakeholders to support reforms that fortify Ghanas electoral system and rebuild public confidence in democratic institutions.",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Frequent-election-reruns-undermining-confidence-Election-Watch-Ghana-2013293
Kpandai Rerun: 'We will win that seat'  Mustapha Gbande declares,"The Deputy General Secretary of the
National Democratic Congress
(NDC), Mustapha Gbande, has expressed strong confidence that the party will win the pending Kpandai parliamentary election rerun.
Speaking on Adom FMs Dwaso Nsem on Thursday, December 11, 2025, Gbande said the party is already intensifying its efforts on the ground.
We are already on our way. We are doing preparations and campaigning hard, and we will win that seat, he stated.
EC sets December 30 for Kpandai parliamentary election rerun
He criticised the
New Patriotic Party
(NPP) and incumbent MP Matthew Nyindam, accusing him of neglecting parliamentary duties during crucial moments.
Nyindam was in Kpandai doing campaign when the Minority was disrupting Parliament and needed numbers just to make noise. Of what use will it be to keep Nyindam in Parliament when their numbers will only be used for noise, he claimed.
Gbande also accused the NPP of attempting to rig the earlier election, saying residents of Kpandai deserve better.
The people of Kpandai deserve a very peaceful constituency, but the NPP tried to manipulate that election. They did nothing for the constituency when they were in power for eight years, so it is best that the NDC wins, he stated.
He dismissed suggestions that the NPP could secure a sympathy vote in the rerun.
The NPP just wants a sympathy vote, but Ghanaians wont give them that, he indicated.
However, NPP General Secretary Justin Frimpong Kodua challenged the allegations, questioning whether the developments recorded in Kpandai during the 2024 polls reflected positively on the NDC.
Tamale High Court sets December 18 for ruling on Kpandai MP's stay of execution
Was what happened in Kpandai a good thing? he asked, blaming the NDC for the disturbances that marred the elections and criticising the governments economic management.
The rerun follows a ruling by the Tamale High Court that nullified the 2024 parliamentary results.
While the NDC has welcomed the decision, the NPP has rejected it, arguing that only the affected polling stations, not the entire constituency, should have been subject to a rerun.
MRA/AE
Also, watch below Amnesty International's 'Protect the Protest' documentary as the world marks International Human Rights Day 2025",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Kpandai-Rerun-We-will-win-that-seat-Mustapha-Gbande-declares-2013280
What Dr Opoku Prempeh said about ethnic groups in Ghana,"Former Member of
Parliament
for Manhyia South, Dr Matthew Opoku-Prempeh, widely known as NAPO has stressed the importance of understanding Ghana's ethnic diversity particularly in discussions about political leadership.
In an  Adom TV interview on December 11, 2025, he stated that there is no major ethnic group in the country.
NAPO reaffirms support for Bawumia, slams Mahama government over CJ saga
There is no majority ethnic group, take it from me, every ethnic group is a minority on its own in the context of Ghana, there is no majority group, there is no tribe that is 50 percent of the population. We have the Bonos the Adansis, the Fantes and so on"", he stated.
The running mate of the
New Patriotic Party
(NPP) in the 2024 general elections, also touched on ethnic diversity in Northern Ghana and the need for the public to understand their distinct identities.
He urged Ghanaians to refrain from addressing the tribes as one entity.
NAPO details attempts by top party gurus to block his selection as Bawumia's running mate
""In the Northern Region, the Mamprusi and the Kusasi are different ethnic groups
but people make a mistake of lumping all the tribes together"", he noted.
Watch the video below:
There's no majority ethnic group in Ghana
~
Dr. Matthew Opoku Prempeh
pic.twitter.com/A2OH4hVzM5
 Harrydarling (@AcheampongHarry)
December 10, 2025
JKB/EB
From Protests to Pushes:
Parliament
of Ghana's 5-year chaos record",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/What-Dr-Opoku-Prempeh-said-about-ethnic-groups-in-Ghana-2013277
"Suame MP reacts to Kpandai rerun, dismisses claims his seat is at risk","The Member of Parliament for the Suame Constituency, John Darko, has responded to news of the Kpandai parliamentary seat being declared for a rerun.
According to him, shortly after the announcement, a friend who is a member of the National Democratic Congress (NDC) caucus jokingly told him that Suame would be the next seat the NDC would capture.
Darko said he found the comment amusing, insisting that his seat remains one of the safest in the country.
He remarked that even if the president, his vice president and the Speaker of Parliament were to contest the Suame seat against him, he would still defeat them convincingly.
One of my friends told me they were coming for my seat, and I said they can bring the president, the vice president, and even the Speaker to Suame to challenge me; I will beat all of them, John Darko boasted.
Darko made these comments in an interview with a JoyNews reporter, which was later shared on X on Wednesday, December 10, 2025.
His bold declaration has sparked reactions on social media.
Some users mocked the political dynamics of the constituency, with a few suggesting that even an animal presented under the New Patriotic Party (NPP) would still win the Suame seat.
Watch the video below:
I laughed when a friend told me they were coming for my seat; they can bring the President, the Vice President, the Speaker to Suame, and I will beat all of them - Suame MP John Darko.
#JoyNews
#Suame
#Election
#NPP
#NDC
#Parliament
pic.twitter.com/JFYCyjQznR
 JoyNews (@JoyNewsOnTV)
December 10, 2025
VKB/AE
Akufo-Addo could have cleared out NDC leadership' - Fatimatu on double salary scandal",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Suame-MP-reacts-to-Kpandai-rerun-dismisses-claims-his-seat-is-at-risk-2013255
Gbande labels Afenyo-Markin 'subcontractor' over Torkornoo row,"The NDC Deputy General Secretary of the National Democratic Congress (NDC), Mustapha Gbande, has accused Minority Leader
Alexander Kwamena Afenyo-Markin
of having a vested proprietary interest in the Judiciary, describing him as a subcontractor whose companies were doing business at the Judiciary.
According to a myjoyonline.com report on December 11, 2025, Gbande alleged that the Effutu MP personally damaged the image of former Chief Justice Gertrude Torkornoo and exposed her to public distrust.
Gbande was quoted to have said that Afenyo-Markin, helped in politicising her. The individuals who are bystanders, when they look at the issues, what they see is politicisation and who caused it? It was Afenyo-Markin.
ECOWAS court dismisses Torkornoo's application for interim measures
The report added that Gbande stated that Afenyo-Markins companies were reportedly conducting business with the judiciary as subcontractors.
Gbande, who is also a Deputy Director of Operations at the Presidency, dismissed claims that the NDC had orchestrated any campaign against the former Chief Justice.
Instead, he said the crisis was deepened by Afenyo-Markins own interventions.
Gbande cited past concerns he raised about Justice Torkornoos appointment, noting that committees had flagged issues before her confirmation.
He contrasted her tenure with that of former Chief Justice Sophia Akuffo, whom he said managed the office with integrity and without public suspicion.
Pressed on for evidence of the Effutu MPs alleged business dealings, Gbande maintained that Afenyo-Markin had never denied the claims, reinforcing his description of him as a subcontractor allegedly profiting from the Judiciary.
He added that his criticisms were principle-driven rather than partisan, insisting he would speak against any public official, including President
John Dramani Mahama
, if he perceived wrongdoing.
Sacked Chief Justice Torkornoo wins key ruling against government at ECOWAS Court
Gbande underscored his commitment to strong institutions, warning that public trust suffers when politics infiltrates the Judiciary.
MAG/AE
Also, watch below Amnesty International's 'Protect the Protest' documentary as the world marks International Human Rights Day 2025",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Gbande-labels-Afenyo-Markin-subcontractor-over-Torkornoo-row-2013238
"Kpandai Dispute: Bawumia slams Parliament for undermining precedents, democratic tenets","Former Vice President,
Dr Mahamudu Bawumia
has expressed disappointment in the apparent undermining of democratic institutions in the country in the Kpandai parliamentary issue.
Despite an appeal process filed by the Member of
Parliament
for Kpandai Martin Nyindam, challenging a high court order for the 2024 parliamentary election to be rerun,
Parliament
wrote the
Electoral Commission
declaring the seat vacant and the EC has subsequently announced a date for the election to be re-run.
Both parliament and the EC have come under criticism for ignoring the appeal process, and the former Vice President has also taken a dim view of the raw deal being handed to the MP, which he said, goes against democratic principles and precedent.
Grand welcome for Bawumia in Wa as he begins tour of the North
""To say the least I'm very disappointed with what is going on in our country. It looks like our institutions of democracy, and our tenets of democracy are being undermined,"" Dr Bawumia said in an interview.
""The issue of Kpandai with Mathew Nyindam is not a new issue in our democratic politics. We have had issues with Dan Abodakpi, issues with Takyi Quaison in Assin. Basically you've had the House allow the legal processes to take place and be exhausted before state institutions are subpleaded into acting into ways that undermine democracy.""
Dr Bawumia, who expressed surprise at the ""indecent haste"" with which the MP is being denied a fair court process, slammed
Parliament
and called for all involved to respect the democratic institutions and tenets of the country.
""Martin Nyindam should be given his day in court. He has filed appeal processes at the high Court. He has filed for a judicial review at the Supreme Court and none of those cases has been adjudicated so why the rush? Why the indecent haste?""
""I think that he is being railroaded, I think that this undermines our institutions of democracy, and I think that we should take a halt to these processes and allow him to have his day in court as others have done in the past.""
Why Dr Bawumia continues to receive strong backing from NPP MPs
""The House has never really rushed in this way when it came to the other cases. What is the difference with the case of Martin Nyindam?""
""It should not be the case. We should uphold the tenets of democracy. Democracy is something precious that we've all had and we have all subscribed to.""
Dr Bawumia further warned against using political power to ""break down"" the pillars of democracy, saying its consequences are severe for the country.
""When you start undermining its  (democracy) pillars, you break it down and the consequences for the nation are very severe. Simply because you have power, you shouldn't feel that you can run roughshod over your opponents and the principles of democracy.""
Highlights: President Mahama, IGP Yohuno lead tribute to fallen police officers",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/Kpandai-Dispute-Bawumia-slams-Parliament-for-undermining-precedents-democratic-tenets-2013215
"When lawmakers break the law, punches take over  4 times Parliament descended into chaos","Ghanas
Parliament
is expected to be a chamber of law, order and democratic maturity. But over the past five years, the House has repeatedly made headlines for all the wrong reasons, from shoving matches to midnight brawls.
Here are four major moments when lawmakers abandoned procedure and chaos took over.
January 7, 2021  Chaos during election of Speaker
The 8th
Parliament
began on a turbulent note when the election of the Speaker turned into chaos.
Tempers flared, ballot papers were snatched, and members nearly came to blows.
The MPs-elect at thew time on the eve of the event were captured arguing over who sits on the majority or minority side of the House.
It generated into pushing and shoving, calling each other names, kicking of a ballot box, snatching of ballot papers, among others, causing chaos in the chamber at the watch of the world.
At some point, military and police barged into the Chamber to maintain peace and order. This has incurred the displeasure of most Ghanaians who are calling on the Speaker to start an investigation into what happened.
However, despite the widespread public condemnation and regular calls for investigations into the incident no formal investigative committee was ever established.
December 20, 2021  Midnight brawl over E-Levy approval
A brawl broken out in Ghana's parliament during a late-night session over a contentious government-proposed levy on electronic transactions.
MPs shoved, pushed and threw punches at each other, while others tried to stop the fighting.
The chaos started after opposition MPs rushed forward to prevent the then Deputy Speaker Joseph Osei Owusu from leaving his seat to vote.
He was chairing the session, which was then adjourned because of the disorder.
The then opposition National Democratic Congress (NDC) rejected the proposed levy of 1.75% on electronic transactions, which includes mobile-money payments.
The NDC at the time said it will hit low-income people and those outside the formal banking sector.
But former Finance Minister Ken Ofori-Atta stated that it was necessary to widen the tax net, arguing that it could raise an extra 6.9bn Ghanaian cedi ($1.15bn; 870m) next year.
February 1, 2025  Physical altercation during ministerial vetting
There was chaos in the
Parliament
of Ghana over the vetting of Minister of Foreign Affairs, Samuel Okudzeto Ablakwa.
The Appointments Committee had agreed on vetting four nominees on January 30, 2025.
However, five were vetted and two more were being added, including the then minister-designate of Foreign Affairs, Samuel Okudzeto Ablakwa and the minister-designate of Health, Kwabena Mintah Akandoh, which generated the chaos.
As a result of the chaos between the Majority and Minority, microphones and tables were destroyed.
The Minority side were seen overturning the vetting table.
We agreed on four; we have done five. Kofi Adams was not part of the process, but we have done it. It will not happen, Frank Annoh-Dompreh, the Member of
Parliament
for Nsawam Adoagyire, who doubles as Minority Chief Whip, said in an interview at the time.
Four MPs were suspended and a committee was set up to investigate but its findings were never made public.
December 9, 2025  Chaos over declaration of Kpandai seat vacant
Chaos erupted in Ghanas
Parliament
during proceedings on Tuesday, December 9, 2025, after members of the Minority Caucus abandoned their seats and massed at the centre of the chamber.
The disturbance flared during heated exchanges over the declaration of the Kpandai parliamentary seat as vacant, a decision the Minority maintains is unlawful and procedurally flawed.
Before the confrontation, Majority Leader Mahama Ayariga had dismissed what he described as the Minoritys continuous and orchestrated protest, insisting he was not surprised by their attempts to obstruct parliamentary business.
The Bawku Central MP accused the Minority of deliberately derailing parliamentary work over the contested Kpandai seat, arguing that the caucus had resorted to noise-making and unruly behaviour to prevent the Speaker from delivering rulings.
However, Minority Chief Whip Frank Annoh-Dompreh countered sharply, warning that government business would continue to suffer until the Kpandai matter is resolved.
Moments after his remarks, tensions escalated.
Despite the Speakers attempts to proceed, Minority MPs intensified their protest, rising from their seats, marching into the middle of the chamber and chanting in opposition.
The sudden movement triggered a chaotic confrontation, with MPs from both sides surging toward the centre of the floor.
GhanaWeb cameras captured dramatic scenes inside the chamber as MPs in a heated face-off, papers flying through the air and the Member of
Parliament
for Assin South, John Ntim Fodjour, seen angrily yelling at a colleague.
AM
#TrendingGH: Extension of IGP's contract draws praise and criticism
Watch some videos from the NPPs 2025 Constitution Amendment
The wait is over! The GhanaWeb Excellence Awards 2025 is officially launched. Let's Celebrate impact, innovation and excellence across Ghana.
Who deserves to be honoured this year?
Nominate now 
https://ghanaweb.com/ghanaexcellenceawards/nominate",,Politics, 11 December 2025,https://www.ghanaweb.com/GhanaHomePage/politics/When-lawmakers-break-the-law-punches-take-over-4-times-Parliament-descended-into-chaos-2013180
